accession_id,ncbi_taxon_id_1380,ncbi_taxon_id_1730,ncbi_taxon_id_239934,ncbi_taxon_id_286,ncbi_taxon_id_239759,ncbi_taxon_id_292632,ncbi_taxon_id_841,ncbi_taxon_id_33024,ncbi_taxon_id_1654,ncbi_taxon_id_2172,ncbi_taxon_id_375288,ncbi_taxon_id_1678,ncbi_taxon_id_838,ncbi_taxon_id_61170,ncbi_taxon_id_946234,ncbi_taxon_id_904,ncbi_taxon_id_419014,ncbi_taxon_id_264995,ncbi_taxon_id_713,ncbi_taxon_id_1696,ncbi_taxon_id_216851,ncbi_taxon_id_547,ncbi_taxon_id_1378,ncbi_taxon_id_836,ncbi_taxon_id_1017280,ncbi_taxon_id_543311,ncbi_taxon_id_283168,ncbi_taxon_id_248744,ncbi_taxon_id_1263,ncbi_taxon_id_872,ncbi_taxon_id_29465,ncbi_taxon_id_577310,ncbi_taxon_id_1301,ncbi_taxon_id_816,ncbi_taxon_id_191303,ncbi_taxon_id_100883,ncbi_taxon_id_244127,ncbi_taxon_id_52225,ncbi_taxon_id_570,ncbi_taxon_id_581,ncbi_taxon_id_1578,ncbi_taxon_id_32207,ncbi_taxon_id_35832,ncbi_taxon_id_459786,ncbi_taxon_id_1350,ncbi_taxon_id_447020,ncbi_taxon_id_1485,ncbi_taxon_id_84162,ncbi_taxon_id_1080709,ncbi_taxon_id_189330,ncbi_taxon_id_102106,ncbi_taxon_id_397864,ncbi_taxon_id_906,ncbi_taxon_id_33042,ncbi_taxon_id_724,ncbi_taxon_id_104264,ncbi_taxon_id_135858,ncbi_taxon_id_577309,ncbi_taxon_id_572511,ncbi_taxon_id_1348911,ncbi_taxon_id_39948,ncbi_taxon_id_117563,ncbi_taxon_id_207244,ncbi_taxon_id_561,ncbi_taxon_id_177971,ncbi_taxon_id_158846,ncbi_taxon_id_40544,ncbi_taxon_id_84111,ncbi_taxon_id_-1,ncbi_taxon_id_32008,group
ERR695605,0.0,0.08481659999999999,0.0002418,0.0,0.034292500000000004,0.0157196,0.11017000000000002,0.00028480000000000004,9.5e-06,0.0,0.0188423,0.010795700000000002,0.0,0.0016948,0.0011250000000000001,0.0,0.0,0.0,0.0,0.0,0.285674,0.0,0.0,0.0,0.0,0.0,0.0019083,0.0,0.012864200000000001,4.6899999999999995e-05,0.0001525,0.0,0.0002518,0.24190699999999998,0.0,0.0001042,0.0,0.0001859,0.0,0.0,0.0,0.0,0.0246729,0.0101389,0.0,6.91e-05,0.0012169000000000001,0.0,0.0,0.0103681,0.0301684,0.0044413000000000005,0.0,0.0125602,0.0,0.0,0.0,4.7600000000000005e-05,0.0164089,6.900000000000001e-06,0.0,0.0,0.0003612,0.0001195,0.0,0.0,0.0151797,0.0,0.0523958,0.0007580000000000001,Health
ERR695629,0.0,0.132996,0.00038150000000000006,0.0010173,0.0897577,0.020659999999999998,0.04536969999999999,0.0,0.0,0.0038515,0.0244115,0.151451,0.0004928,0.00034339999999999994,0.0005128999999999999,0.0,0.0,0.0,0.0,0.0,0.138879,0.0,0.0,0.0001557,9.11e-05,0.0004371,0.011617800000000001,0.0,0.0351926,0.0,0.0022975,0.0004997000000000001,0.0077078,0.127016,0.0,0.0,0.0,0.0,0.0009274,0.0,0.0058048,6.86e-05,0.004427899999999999,0.0037338000000000007,0.0,0.00025,0.0004434,0.0,0.0,0.008687,0.010293299999999998,0.045788800000000004,0.0,0.0165294,0.0069484,0.0,0.0068767,0.0,0.0025051,0.0002255,0.031047500000000002,0.0,0.0,0.0014160999999999998,0.0,4.0499999999999995e-05,0.037717099999999996,0.0001744,0.0209548,0.0,Inflammatory Bowel Diseases
ERR695622,0.0,0.020587299999999996,7.99e-05,0.0,0.0003682,0.0004522,0.0066406,0.0,0.0,0.0,0.139138,0.0,8.99e-05,0.0,0.0001974,0.0,0.0,0.0,0.0,0.0,0.0004185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0270459,0.0,0.0,0.55722,0.0,0.0001494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001366,0.0,0.0,0.0103503,0.0,0.0,0.0005752999999999999,0.0008357000000000001,0.0,0.0,0.0,0.001919,0.0,0.0,3.3299999999999996e-05,0.0034081999999999997,0.0,0.0,0.0,0.0001134,0.0001496,0.0,0.0,0.226042,0.0,0.0040493000000000005,0.0,Inflammatory Bowel Diseases
ERR695637,0.0,0.182686,1.3599999999999999e-05,0.0,0.0007174,0.0065055,0.024078,0.0,0.0,0.00012159999999999999,0.0061144,0.0101708,0.37532,0.0001262,7.15e-05,0.0,0.0,0.0,0.0,0.0,0.057161800000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021391800000000002,0.0,0.0,0.0,0.0039837,0.11757300000000001,0.0,0.0030643000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.04e-05,0.0,0.0,0.003633,0.0,0.0,0.0089658,0.0019719,7.72e-05,0.0,0.010990100000000001,7.45e-05,0.0,0.0075705,0.0,0.0084549,0.0,0.0011558,0.0,0.00046780000000000004,0.0034126999999999994,0.0,0.129272,0.0010986,0.0,0.0136752,0.0,Inflammatory Bowel Diseases
ERR695604,0.0,0.08404500000000001,0.0002732,0.0,0.035048199999999995,0.013788499999999999,0.112564,0.000329,2.7300000000000003e-05,0.0,0.0196556,0.0121102,0.0,0.0017129,0.0013713,0.0,0.0,0.0,0.0,0.0,0.288582,0.0,0.0,0.0,0.0,0.0,0.0018967,0.0,0.013111600000000001,0.0,0.0002236,0.0,0.0002256,0.24171800000000002,0.0,0.0002104,0.0,0.0,0.0,0.0,0.0,0.0,0.023273000000000002,0.010228600000000001,0.0,7.04e-05,0.0012320999999999999,0.0,0.0,0.0098659,0.0319897,0.0043508,0.0,0.012377,0.0,0.0,0.0,3.73e-05,0.0111775,0.0,8.86e-05,0.0,0.0004083,0.0,0.0,0.0,0.0160436,0.0,0.0519641,0.0,Health
ERR695602,0.0,0.0884493,0.0011004,0.0,0.09064370000000001,0.0222201,0.011072799999999999,0.0,0.0,0.0,0.0469606,0.006608,0.0,9.07e-05,0.0004187,0.0,0.0,0.0,0.0,0.0,0.136233,0.0,0.0,0.0,0.0,0.0,0.0105054,0.0,0.0052128,0.0,0.0001568,0.0,0.0006969,0.470365,0.00013590000000000002,0.0,0.0,0.0,2.2199999999999998e-05,0.0,0.0,0.0,0.011614200000000002,0.0071988,0.0,0.000161,0.0003073,0.0,0.0,0.0017794000000000002,0.0005197,0.00951,0.0,0.0040399,0.0,0.0,0.0,0.0,0.0064485,0.00014130000000000002,0.0172287,0.0,0.0010524000000000002,0.0001118,0.0,0.0,0.040605699999999995,6.2e-06,0.0083836,0.0,Health
ERR695618,0.0,0.0135768,0.0,0.0,0.0,8.269999999999999e-05,0.004187,0.0,0.0,0.0,0.0905233,0.0,0.0,0.0,0.00025780000000000003,0.0,0.0,0.0,0.0,0.0,0.00010149999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0163112,0.0,0.0,0.697727,0.0,3.65e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.470000000000001e-05,0.0,0.0,0.0072293999999999995,0.0,0.0,8.42e-05,0.0005646000000000001,0.0,0.0,0.0,0.001216,0.0,0.0,0.0,0.0027083000000000003,0.0,0.0,0.0,6.659999999999999e-05,0.0001094,0.0,0.0,0.161634,0.0,0.0034892,0.0,Inflammatory Bowel Diseases
ERR695616,0.0,0.0440323,0.0012521,0.0,0.0889057,0.0989294,0.0191209,0.0,0.0,0.0,0.0217347,0.0266858,0.127801,0.0,0.0001714,0.0,0.0,0.0,0.0,0.0,0.16555499999999998,0.0,0.0,0.0,0.0,0.0,0.0057529,0.0,0.0108486,0.0,0.0002596,0.0,0.0035329,0.166461,0.0,0.0,0.00010449999999999999,0.0,0.0003272,0.0,0.0,0.0,0.0013245000000000002,0.0037746000000000004,0.0,0.00031099999999999997,0.00023109999999999998,0.0,0.0,0.0054869,0.0079995,0.0176449,0.0,0.012907,0.0,0.0,0.0,0.031493900000000005,0.0043763000000000005,0.0001888,0.069131,0.0,0.0016489999999999999,0.0014991,0.0,0.0010121000000000002,0.0237113,0.0,0.03578509999999999,0.0,Health
ERR695609,0.0,0.174932,0.0008726000000000001,0.0,0.0566775,0.0337262,0.0249487,0.0003839,0.0,0.0002368,0.0208457,0.012276100000000002,0.0051566,0.0,0.0,3.2e-05,0.0,0.0,0.0,0.0,0.0412315,0.0,0.0,0.0,0.0002596,0.0,0.0162915,0.0,0.0657191,0.0030201,0.00027810000000000004,0.0,0.0004971,0.41769300000000004,0.0,0.0,2.8999999999999997e-05,0.0001437,0.0,0.0,0.0,0.0,0.0064594,0.006937800000000001,0.0,0.00015900000000000002,0.00019630000000000003,0.0,0.0,0.0056121,0.004252000000000001,0.0095557,0.0005625000000000001,0.01325,5.3899999999999996e-05,0.0,0.0,0.0001703,0.0098979,0.0,0.00079,0.0,0.00018700000000000002,0.0,0.0,0.0279372,0.019447700000000002,0.0,0.0192811,0.0,Health
ERR695621,0.0,0.0852274,0.0730956,0.0,0.18712299999999998,0.041856599999999994,0.0013598,0.0,0.0,0.048356500000000004,0.10688700000000001,0.0014532999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067294,0.0,0.0,0.0,0.000722,0.0,0.11694399999999999,0.0,0.0038753999999999998,0.0014562,0.0018029,0.0008426999999999999,0.0009299,0.246979,0.0010773,7.400000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0064726,0.0011986,0.0,7.609999999999999e-05,0.0027859,0.0,0.0048567,0.0005009,0.00016580000000000002,0.0024764,0.0,0.0022596,0.0004873,0.0,0.0,0.0014906,0.0038558000000000004,0.0,0.0020005,0.0,0.00029600000000000004,0.0195776,0.0,0.0,0.0161251,0.0001345,0.0084473,0.0,Inflammatory Bowel Diseases
