taxaId,microbiota_loads_foldChange,logged_relative_abundance_diff,qml_logged_loads_diff,ranksums_on_loads,mwu_diff_pvalue,mwu_logged_pvalue,qml_diff_pvalue,ancomP,qml_diff_qvalue,ANCOM_BC_diff_qval,ANCOM_BC_diff,DR_inferred_foldchange
0,taxa326977,-4.357817936445163,-9.951097917927038,-4.36109791792704,3.207660453902915e-18,3.303681501666156e-18,3.303681501666156e-18,3.303681501666156e-18,1.0,8.867776662367049e-18,0.0,-4.362351959175759,-0.0318742131853854
1,taxa469873,-7.650010719629821,-13.251307199360756,-7.661307199360754,3.207660453902915e-18,3.303681501666156e-18,3.303681501666156e-18,3.303681501666156e-18,1.0,8.867776662367049e-18,0.0,-7.655133636460506,-0.033897807242184386
2,taxa357591,0.0,-5.59259682283686,-0.0025968228368604684,0.8908723153172974,3.303681501666156e-18,3.303681501666156e-18,0.2083089570993979,0.0,0.3319924003771654,1.0,-0.0012641142809769294,-0.6998044382198314
3,taxa190872,0.0,-5.596117329249524,-0.006117329249523351,0.845472787399063,2.2897260782962968e-17,2.2897260782962968e-17,0.7866281695357618,1.0,0.8234657054709722,1.0,1.0901496268339268,0.14033635768547897
4,taxa263681,1.4800216382819789,-4.111105078955989,1.478894921044012,3.5333204278332134e-11,3.303681501666156e-18,3.303681501666156e-18,3.303681501666156e-18,1.0,8.867776662367049e-18,1.0736142153742091e-212,1.470113774939915,-2.1503183263649706
5,taxa361480,4.062924763141458,-1.5344978714341266,4.055502128565873,3.207660453902915e-18,3.303681501666156e-18,3.303681501666156e-18,3.303681501666156e-18,1.0,8.867776662367049e-18,0.0,4.061386292716845,-0.4276395284679873
6,taxa347862,0.0,-5.5907033450204935,-0.0007033450204936287,0.9067630763276632,3.303681501666156e-18,3.303681501666156e-18,0.3026923465351523,0.0,0.4273418922683193,1.0,0.0051810653406248715,-0.09174091174735491
7,taxa517293,9.919362857651343,4.319578571429796,9.909578571429797,3.207660453902915e-18,3.303681501666156e-18,3.303681501666156e-18,3.303681501666156e-18,1.0,8.867776662367049e-18,0.0,9.905619629494078,5.062864163608078
8,taxa2000,0.0,-5.597701071006229,-0.007701071006229299,0.9759735968669696,3.303681501666156e-18,3.303681501666156e-18,0.2872650711311384,0.0,0.41706116906394813,1.0,-0.013867274905125106,0.043106358355612405
9,taxa322235,0.2158712233332772,-5.377564182520373,0.21243581747962725,0.07448762762735052,3.303681501666156e-18,3.303681501666156e-18,3.303681501666156e-18,1.0,8.867776662367049e-18,0.00031688093120377003,0.21832026864957688,-1.9603934134682486
10,taxa158660,-2.4730879775250747,-8.064865295107188,-2.474865295107186,1.0470875336598151e-15,3.303681501666156e-18,3.303681501666156e-18,3.303681501666156e-18,1.0,8.867776662367049e-18,0.0,-2.470964196718185,-3.237691707126544
11,taxa331820,0.0,-5.59259275508647,-0.002592755086469723,0.8803023727476987,3.303681501666156e-18,3.303681501666156e-18,0.0037561971273630712,0.0,0.008707547886159845,1.0,0.001267385422202074,-4.411886401592586
12,taxa244304,7.6228378299882,2.0301630515218503,7.62016305152185,3.207660453902915e-18,3.303681501666156e-18,3.303681501666156e-18,3.303681501666156e-18,1.0,8.867776662367049e-18,0.0,7.624025834217247,3.0889759400276056
13,taxa361496,0.0,-5.595258694568677,-0.005258694568676781,0.9014616869792204,3.303681501666156e-18,3.303681501666156e-18,0.1559415983199001,0.0,0.2607548037480297,1.0,-0.01114285992480928,-1.375037820531841
