taxaId,microbiota_loads_foldChange,logged_relative_abundance_diff,qml_logged_loads_diff,ranksums_on_loads,mwu_diff_pvalue,mwu_logged_pvalue,qml_diff_pvalue,ancomP,qml_diff_qvalue,ANCOM_BC_diff_qval,ANCOM_BC_diff
taxa326977,0.0,-4.650797205420722,-0.0007972054207217028,0.23399811730374875,9.708125692337245e-29,9.708125692337245e-29,0.9048818309796487,0.0,0.9229794675992417,1.0,-0.0036346504865465896
taxa469873,-7.700496907175827,-12.34465883012652,-7.694658830126519,9.533935146683528e-29,9.708125692337245e-29,9.708125692337245e-29,9.708125692337245e-29,1.0,2.539048257995895e-28,0.0,-7.689597166643895
taxa357591,8.747896114449244,4.091046818491881,8.741046818491881,9.533935146683528e-29,9.708125692337245e-29,9.708125692337245e-29,9.708125692337245e-29,1.0,2.539048257995895e-28,0.0,8.738530285873964
taxa190872,0.0,-4.660908294700759,-0.010908294700758603,0.09472069566644928,2.832479621291165e-26,2.832479621291165e-26,0.23884005041803869,1.0,0.3993718875842614,1.0,-0.25229734837765083
taxa263681,5.189376455868104,0.5390778160989473,5.189077816098948,9.533935146683528e-29,9.708125692337245e-29,9.708125692337245e-29,9.708125692337245e-29,1.0,2.539048257995895e-28,0.0,5.1794188682714095
taxa361480,0.0,-4.644216885969299,0.0057831140307014195,0.2562835999209395,9.708125692337245e-29,9.708125692337245e-29,0.21490798348076368,0.0,0.3715358358480999,1.0,0.010532822557941844
taxa347862,0.0,-4.651585932643924,-0.0015859326439233712,0.2302124571602442,9.708125692337245e-29,9.708125692337245e-29,0.5267273073056293,0.0,0.7076438305991523,1.0,0.007610259337855295
taxa517293,0.0,-4.654672934219006,-0.004672934219005498,0.22896030096738684,9.708125692337245e-29,9.708125692337245e-29,0.3992640207575163,0.0,0.5817847159609524,1.0,-0.00652967000189537
taxa2000,0.0,-4.649417988039554,0.0005820119604464935,0.27571140355191925,9.708125692337245e-29,9.708125692337245e-29,0.6075925387122463,0.0,0.7466799873331219,1.0,-0.003046454782843007
taxa322235,-9.084592990246804,-13.733724854062736,-9.083724854062735,9.533935146683528e-29,9.708125692337245e-29,9.708125692337245e-29,9.708125692337245e-29,1.0,2.539048257995895e-28,0.0,-9.093357706390606
taxa158660,-2.8231272408106434,-7.474403142068978,-2.8244031420689772,2.379832850917201e-27,9.708125692337245e-29,9.708125692337245e-29,9.708125692337245e-29,1.0,2.539048257995895e-28,0.0,-2.833939330668472
taxa331820,-3.932736859286412,-8.584960425113252,-3.9349604251132515,9.533935146683528e-29,9.708125692337245e-29,9.708125692337245e-29,9.708125692337245e-29,1.0,2.539048257995895e-28,0.0,-3.9377695950206193
