,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate
0,taxa326977,38,38,1.0,1.0
1,taxa469873,38,38,1.0,1.0
2,taxa357591,38,38,1.0,1.0
3,taxa190872,34,35,0.8947368421052632,0.9210526315789473
4,taxa263681,38,38,1.0,1.0
5,taxa361480,38,38,1.0,1.0
6,taxa347862,38,38,1.0,1.0
7,taxa517293,38,38,1.0,1.0
8,taxa2000,38,38,1.0,1.0
9,taxa322235,38,38,1.0,1.0
10,taxa158660,38,38,1.0,1.0
11,taxa331820,38,38,1.0,1.0
12,taxa244304,38,38,1.0,1.0
13,taxa361496,38,38,1.0,1.0
14,taxa127309,38,38,1.0,1.0
15,taxa248140,38,38,1.0,1.0
16,taxa348374,38,38,1.0,1.0
17,taxa470812,37,37,0.9736842105263158,0.9736842105263158
18,taxa268540,38,38,1.0,1.0
19,taxa291090,38,38,1.0,1.0
20,taxa541301,38,38,1.0,1.0
21,taxa171772,38,38,1.0,1.0
22,taxa259569,38,38,1.0,1.0
23,taxa104780,38,38,1.0,1.0
24,taxa138006,38,38,1.0,1.0
25,taxa181095,38,38,1.0,1.0
26,taxa278234,38,38,1.0,1.0
27,taxa177339,38,38,1.0,1.0
28,taxa510994,0,2,0.0,0.05263157894736842
29,taxa193066,38,38,1.0,1.0
30,taxa405524,38,38,1.0,1.0
31,taxa346780,38,38,1.0,1.0
32,taxa549871,38,38,1.0,1.0
33,taxa544358,38,38,1.0,1.0
34,taxa302160,38,38,1.0,1.0
35,taxa192573,38,38,1.0,1.0
36,taxa175497,38,38,1.0,1.0
37,taxa263461,1,1,0.02631578947368421,0.02631578947368421
38,taxa302974,38,38,1.0,1.0
39,taxa194648,38,38,1.0,1.0
40,taxa195173,38,38,1.0,1.0
41,taxa287978,38,38,1.0,1.0
42,taxa199487,38,38,1.0,1.0
43,taxa190108,38,38,1.0,1.0
44,taxa191306,7,7,0.18421052631578946,0.18421052631578946
45,taxa299892,38,38,1.0,1.0
46,taxa174348,38,38,1.0,1.0
47,taxa192127,38,38,1.0,1.0
48,taxa183200,38,38,1.0,1.0
49,taxa182980,16,14,0.42105263157894735,0.3684210526315789
50,taxa181843,38,38,1.0,1.0
51,taxa194053,38,38,1.0,1.0
52,taxa109014,38,38,1.0,1.0
53,taxa518438,38,38,1.0,1.0
54,taxa193343,38,38,1.0,1.0
55,taxa357795,38,38,1.0,1.0
56,taxa352304,38,38,1.0,1.0
57,taxa179460,38,38,1.0,1.0
58,taxa469991,38,38,1.0,1.0
59,taxa175537,38,38,1.0,1.0
60,taxa288134,38,38,1.0,1.0
61,taxa190464,38,38,1.0,1.0
62,taxa178915,34,34,0.8947368421052632,0.8947368421052632
63,taxa366612,38,38,1.0,1.0
64,taxa261912,38,38,1.0,1.0
65,taxa185281,36,36,0.9473684210526315,0.9473684210526315
66,taxa511008,38,38,1.0,1.0
67,taxa470973,38,38,1.0,1.0
68,taxa162162,38,38,1.0,1.0
69,taxa181028,24,24,0.631578947368421,0.631578947368421
70,taxa204044,11,10,0.2894736842105263,0.2631578947368421
71,taxa470172,38,38,1.0,1.0
72,taxa328422,38,38,1.0,1.0
73,taxa213747,38,38,1.0,1.0
74,taxa262724,38,38,1.0,1.0
75,taxa82283,38,38,1.0,1.0
76,taxa316732,38,38,1.0,1.0
77,taxa293896,38,38,1.0,1.0
78,taxa196731,38,38,1.0,1.0
79,taxa167602,37,38,0.9736842105263158,1.0
80,taxa470114,38,38,1.0,1.0
81,taxa170206,38,38,1.0,1.0
82,taxa365676,38,38,1.0,1.0
83,taxa223059,38,38,1.0,1.0
84,taxa187524,38,38,1.0,1.0
85,taxa191541,38,38,1.0,1.0
86,taxa212619,38,38,1.0,1.0
87,taxa357470,38,38,1.0,1.0
88,taxa326792,38,38,1.0,1.0
89,taxa325407,38,38,1.0,1.0
90,taxa188646,38,38,1.0,1.0
91,taxa171551,38,38,1.0,1.0
92,taxa290260,38,38,1.0,1.0
93,taxa367433,38,38,1.0,1.0
94,taxa310301,38,38,1.0,1.0
95,taxa193761,38,38,1.0,1.0
96,taxa327476,38,38,1.0,1.0
97,taxa189047,38,38,1.0,1.0
98,taxa180658,38,38,1.0,1.0
99,taxa269833,38,38,1.0,1.0
100,taxa367055,38,38,1.0,1.0
101,taxa203708,38,38,1.0,1.0
102,taxa181892,37,36,0.9736842105263158,0.9473684210526315
103,taxa589024,38,38,1.0,1.0
