,taxa100883,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa1348911,taxa1350,taxa1357,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa32207,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa46255,taxa547,taxa561,taxa570,taxa572511,taxa574697,taxa577309,taxa577310,taxa61170,taxa644652,taxa724,taxa816,taxa838,taxa841,taxa84111,taxa846,taxa848,taxa872,taxa904,taxa906,taxa946234,condition
0,,,0.004470569838728552,,,,,0.000763866283541155,,,,0.003939624515876491,0.024866331065615952,0.0026830368846029436,,0.0018489570424863571,0.03091369097960179,,0.10062665856536429,,,0.009151575946899334,0.03917783704424425,0.00028627100082937845,,,0.038525372185517104,0.00016669332465287979,0.006020889300199756,0.02172634393299153,,0.0030020128908823046,0.0009614249570874558,8.76902958627657e-05,,,0.0014497515697125076,0.0004573590605895997,0.0077580361053039846,,,,,,,0.33927252825533616,0.32304675742646355,0.03879672152760992,,,,,,,,Control
1,,,0.005197819994797501,,0.0069885937575314685,,0.0016914219191115321,,,,,0.02503544430408864,0.06542456185023438,0.000734715527299995,,,0.04433288745337734,0.0009540624328205613,0.1923561518519204,,,0.015734098264566333,0.09320890997909442,0.005343441120762013,,,0.0026578906210435946,0.013440057076973173,0.060354668794307925,0.014135418291599797,,0.01894264419084584,0.00024375268082188077,0.02502639382908106,,,0.01627773690940312,,0.06105175875135172,,0.03422950662301558,0.001155003316134719,0.0010871755989431485,,,0.2540824252181622,,0.03741486706275885,,,,0.002055373043292388,,,0.0008432195366604238,Control
2,,,0.001647961219659303,,0.025493776511942977,,,,,,,0.03170865713197711,0.0835786280035807,0.001185648519562319,,,0.03506566126271723,0.010847963210777257,0.1378475848983659,0.0032111962221855342,,,0.23471547339244186,,,,0.02146684415270879,0.00015565979426773735,0.013393068254693856,0.10180067581861914,,0.0047792016114781306,,0.0008350250922343912,,,,,0.025383953912256414,,,,,,,0.24372217101546184,,0.018736523657385012,,,,,0.004424326317684529,,,Control
3,,,,,0.0021118656866643093,,,,,,,,0.10615512653467547,0.014263881558456124,,0.0005197791489442675,0.005829238027803677,,0.03276671730924656,0.012957523327467876,,0.0006589878227462965,0.032251444915928976,,,,0.0041510223825514435,,0.011642652335851442,0.013093226746893592,0.2230803975158763,,,,,,,,0.008385770269634182,,,,,,0.003395589989394101,0.5143299806409808,,0.01440679578688454,,,,,,,,Control
4,,,,,0.0011558665564453902,,,,,,,,0.27645596441812764,0.031204856076150207,,0.001445819602464864,0.01977214708611859,,0.024771560806320363,0.007784116299296697,,,0.01569742661107311,,,,0.00998446130902368,,0.019425640044033205,0.013124068035165453,0.08254516049042734,,,,,,,,0.014502002608363372,,,,,,,0.41261148042073337,,0.06951942963625664,,,,,,,,Control
5,,,,,0.004290451275529149,0.0007318826082210281,,,,,,,0.1750532527281751,0.022552312258009008,,0.00103279248013447,0.031653466266643886,,0.029707697408441626,0.01201072724417284,,,0.01710894804100166,,,,0.002315058114360361,,0.021461995874511447,0.02828086111761538,0.0419548103577926,,,7.578545998629166e-05,,,,,0.01272566718597123,,,0.0009237304058570088,,,0.0008699602669109117,0.5229704004515879,,0.074280200455078,,,,,,,,Control
6,,,,,0.002524210635761514,,,,,,,,0.1832096119537,0.010787494619775248,,0.0018009040881093754,0.02321222030469025,,0.05691944733009133,0.06158162430750736,,,0.007419376261541879,,,,0.003996666839955729,,0.01692142663176445,0.0169637973102933,0.03263213366216185,,,,,,0.0009815373023740904,,0.0054441814390584955,,,,,,,0.514029452529765,,0.06157591478345027,,,,,,,,Control
7,,,0.001756832672320561,,0.06575698347608279,0.0011850870034887393,,,,,,,0.09096878642541803,0.008951324969956088,,,0.23553117353680625,0.0014282736490054898,,,,,0.022199778218764538,,0.00033074006946320406,0.11090900083471752,0.08451070878079832,,0.0008502964197504321,,,,,8.755342394645346e-05,,,,,0.024503118740202813,,,,,,0.00023134668071260386,,0.3454574572927796,0.0053415378057865654,,,,,,,,Control
8,,,0.0076816221584779945,,0.03370081256634867,0.0004139226512634733,,,,0.031093664588582533,,0.04205403939041889,0.15958297345174577,0.0033086621628786684,,0.000556672630792185,0.009731574611754045,0.17307572243254754,0.12184678106116677,0.035746163555083144,,0.01031020877785834,0.0839826888720796,0.00013908972364336017,,,0.004291388578725778,0.00023415179792291986,0.026306049890542665,0.048872364053651814,,,,0.0030187698967588223,,,0.0021107127009728855,,0.0026613197648693455,,,,,,0.0006944028308209861,0.19048389942327962,0.00027713365989090564,0.007537826391553469,,3.806666120765646e-05,,0.0002493157151622336,,,,Control
9,,0.00012641519916524737,,,0.03935571001720549,,,,,0.018760124067023282,,0.022352702963128863,0.01240550870778275,,,,0.044891936164339334,,0.18988648023625865,0.1871606864139144,0.013754190690980052,0.002019930414129682,0.08042643481793607,,,,,0.013641990419789609,0.05364182114278472,0.06201560733985094,,0.0005847652431772688,0.0018707279258445187,0.020218076527095608,,,0.003660723741664193,,0.003674070582434429,,,0.0008184977230072624,,,,0.14149929945362594,,0.07139387894350313,,0.0011863496759430465,,0.014654071589415587,,,,Control
