,taxa102106,taxa1263,taxa1301,taxa1730,taxa189330,taxa216851,taxa239759,taxa239934,taxa292632,taxa33042,taxa375288,taxa397864,taxa459786,taxa572511,taxa816,taxa841,condition
0,,0.11077463066673825,0.00048235490585505795,0.02740551211627809,0.013438840081828858,0.36387899825248854,0.0046043646036489,,0.029738260957731695,0.0019316561994906574,0.07292952697907161,,0.0010437354995318096,0.012782032242480632,0.20015193806771756,0.16083814942713828,Control
1,,0.006545073794104479,,0.13643810641573748,0.005033622189876905,0.01544412552985231,0.057059143266078194,0.03174675233547532,0.011749466052851569,0.0025684263229776645,0.022236406439639204,0.058831653673042765,,0.00903028888754978,0.6094519868172382,0.03386494827557618,Control
2,,0.039952670780981484,0.0017551006990470192,0.45890353625851515,0.01352806538456408,0.05164886096999902,0.026703976341271987,0.007844547083509122,0.07509301949683612,0.016776225238518194,0.015687308713611278,0.01614469986580742,,0.013655357709813616,0.25491023317916467,0.007396398278360798,Control
3,0.012706123236811329,0.12692456330027624,0.00035891399815055205,0.14811352531762942,0.007618564621550735,0.06437691310412458,0.020198321535638875,,0.15680778063311,0.00912549878953258,0.011798535496321079,,0.001299302314921697,0.004294562631649106,0.43154414600125235,0.004833249019031483,Control
4,0.00036572778752538935,0.0038825620888319457,,0.18580305256005863,0.015252644037503461,0.0419923208449348,0.05133043356849682,0.010584870031218687,0.01899045383792073,0.0031378726050600506,0.0199661724878938,0.019799261096504227,,0.008971153874760237,0.5684127937222441,0.0515106814570472,Control
5,0.02244833577298695,0.18590400121510672,0.006380155661595595,0.010353627898083768,0.00542472446285703,0.0003367468758273371,0.031915290830241666,0.0355907632163638,0.30381049520248415,0.008175340575786432,0.046315517169229665,0.015154032107053378,0.0029501280694865196,0.011532664658302662,0.30847281910253715,0.005235357182057054,Control
6,0.0028467319517194267,,,0.0002780422532763712,0.002185924293850419,0.03492768614883126,0.04329410559569182,,0.0028984075678711195,0.002036385121446844,0.24452993024249128,0.0021529982375413747,0.01399083009331793,0.041476312903630005,0.6092143568580859,0.0001682887322462247,Control
7,0.007401398081048315,0.10704043898192989,2.364277460293863e-05,0.03702843385197447,0.0017835449362095896,0.009355390927186067,0.054445681019582096,0.07849665087520032,0.023643764300480152,0.0011677331325981644,0.05337856713703833,0.22712489136759723,0.05761612211063943,0.0030411539784169985,0.3333851151801351,0.005067471345361014,Treat
8,0.006157823051718642,0.012902917512894681,,0.07490308327017976,0.0019939482558479645,0.022397605418962453,0.09340470139403355,0.028239366560402667,0.05327560718609481,0.007756174391772808,0.07769228712155497,0.19284435494351979,0.00027053237030406793,0.026281511752828213,0.3912120999315369,0.010667986838348643,Treat
9,0.0002922023992353766,0.019175908720200033,3.412215409603606e-05,0.2681789935772618,0.032334918201849576,0.021615831015568843,0.025393525898690764,0.0630177806067132,0.020846925012207144,0.006404899437873057,0.005389790517346439,0.033309490439223835,,0.04025332815162217,0.44021604996759206,0.023536233900519503,Treat
10,0.002103921305182488,0.006017184218984845,,0.0024747245345121288,0.00020809633091603755,0.01434221817550269,0.1889632634054982,,0.013776587915710162,,0.031293222944857646,0.08124150276488616,0.012596883918280278,0.04060295549678916,0.577598958177452,0.02878048081142816,Treat
11,0.00858282116251928,0.09806722319260326,0.0008886966386928313,0.025950691503552812,0.003694721916236515,0.0073416980299322926,0.052706100580021197,0.05005643165023707,0.16409562999571026,0.015846965730006893,0.03035829841174337,0.16716195120976313,0.001531881683386468,0.1394810679667077,0.22373415337117436,0.010501666957712546,Treat
12,,0.05248811085347457,0.0007241716104525242,0.049315738118097266,0.0013564890641998585,0.11794852841025583,0.09501143831033106,,0.024096338765128227,0.0035643718465209256,0.06132946219189694,,0.0007514408132243773,0.03306080502620388,0.5263273933947352,0.034025711595479326,Treat
13,0.010165534097509657,0.003728085286587451,0.0005202338974275877,0.012179659000179087,0.003853490837269629,0.02147352083590216,0.14260392439550434,,0.06820491792903664,0.0010116613715470614,0.027776669481226004,0.12609456332552188,,0.006056516589988093,0.549101976589098,0.027229246363202335,Treat
