,taxa102106,taxa1263,taxa1301,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa40544,taxa447020,taxa459786,taxa561,taxa572511,taxa577310,taxa724,taxa816,taxa838,taxa841,condition
0,,0.0045351955410309185,0.0007736320792858134,,,0.18503898080461598,0.023838785112376117,0.001091707037306568,0.033459104847415176,,0.03140234165797484,,0.018084909927735,,0.0024471181615224537,,0.022686272781341374,0.029894112996611412,,,8.010856157838961e-05,,0.013451589441798825,0.0009764236320900099,0.0009195862323088232,0.552802695079361,,0.07851743610564722,Control
1,0.0033698723444439737,0.02418565425931667,,,0.02261952488647229,0.05657859588943776,0.008480641377468111,,0.022341798964468133,0.10387605270256506,0.0952336504574991,,0.16572838076934346,,0.025626965449190256,0.004621333110657112,0.10311424645448597,0.07555303636078271,0.0023685944335899503,,0.0009761393976462484,,0.012655711229745466,,,0.26616876380159027,,0.006501038111297598,Control
2,0.010592622713414714,0.07699120347593533,,,0.0031580014494974485,0.33730371218563043,0.006522534335723741,0.00011801796384505382,0.06149858924633791,,0.008294743535019841,,0.12874881867183036,0.0011429161810081125,0.005125409910793325,,0.00718704897816964,,,5.68650569737846e-05,0.0008718628124885468,0.0008536904962563498,0.012036607212224784,,0.0029319705049014716,0.3253794058040541,,0.011185979465895208,Control
3,0.021828755644116567,0.05863705246800602,0.0014396754808623663,0.011037550571666126,0.13029595115558593,0.15415445492704294,0.02023525879519934,0.0009615570330888264,0.02430632056627544,0.12153275938301672,0.16057794273288295,,0.057783864323539304,0.0012822688027250206,0.01254604087507935,,0.008111821889197034,0.0578124311490352,,0.0006809776053436384,0.003066827982489346,0.006695508751452773,0.009278551183134979,,0.0010152210291621026,0.12220471588557216,0.0055268133197276595,0.008987678445798149,Control
4,0.0003117987120763048,0.2899190051850265,0.0018298841021099311,,0.001022928413055512,0.09840387527020406,0.0922047744205806,0.0017803459889763128,0.08183393681290384,0.0007939547362863206,0.08886117593841941,0.000666410906544108,0.05074182203645803,0.0026076997246151632,0.01662933936218895,0.0006362621453836027,0.003294956986459844,0.013097227064890332,,0.0007293982811619668,0.002877469494553218,0.002230335862803187,0.08274871074819025,0.0003626817513583474,0.014587629391702233,0.06943562303647788,0.06994759159031128,0.01244516203726275,Control
5,0.001660641082072099,0.025689932571137636,,,0.0319526321751587,0.08422170472838052,0.0011947712221591033,,0.035335466009892576,0.010931430393943231,0.1389082217565614,,0.236521438164711,,0.02163201589767834,0.00015685748311561389,0.013496118169175344,0.10258395794171217,0.004815974090195246,,0.0008414500026961513,,0.02557926496646113,,,0.24559743577203352,,0.01888068757291626,Control
6,0.008291158443626693,0.07618820091313279,,,0.04155692865203716,0.07414133619064231,0.004173399750886118,,0.009775418378572577,0.03148632431432009,0.13724438353712448,0.012929871227795244,0.1688978446191946,,0.03131876035994318,0.0012967250057643498,0.03318513873259496,0.08221281391141796,0.008803248412547798,0.0016313189312345943,0.00017407855043616289,,0.028786611629365626,,,0.2445002658702769,,0.0034061725690864905,Control
7,,0.040138562743905315,0.0017632668393249337,,,0.4610387246571938,0.01359100882688573,,0.051889173018250474,0.0032282418137242748,0.02682822472023927,,0.07544241262934204,,0.01685428173334269,,0.015760298692823218,0.0162198179965908,,,,,0.013718893418427936,,,0.2560962806370383,,0.007430812272911205,Control
8,0.0006952736933588644,0.0004483748179297439,0.0008384064020091069,,,0.04692007279782051,0.01315670205281375,,0.025461269883888887,,0.07783421436999907,,0.03053682840931917,0.002386722775765149,0.0072969418253357,0.0020799665687213646,0.02613544714839874,,,,0.0010652182470987362,,0.004924047809151005,0.0018531547236317351,0.00470107167839756,0.7510217636412638,,0.002644523155097109,Control
9,,0.008796842460934075,,,,0.19694261852726297,0.010325165357243638,,0.04200050341539495,,0.023531779541891992,,0.039651897187652566,,0.004938305339829039,,0.01228428151115002,0.01682689604472094,,,,0.0024978441945117213,0.012036042019946389,0.00015333675599750083,,0.5760858769911313,,0.05392861065233282,Control
10,0.000512172170158412,0.08253681626470888,0.0005252224214560587,,0.0016195361860379576,0.01129830525421187,0.0014571107506564777,6.33439120678083e-05,0.05951908418556495,,0.0008669382323575159,,0.00728354602231352,0.0008575018968038328,0.0007379415176077002,,0.009569046570725234,,,,,0.0016608954439966534,0.0028084140792535733,0.0005113690777708644,0.01135130935179,0.01534448547577301,0.7345845914277517,0.05689236975899397,Control
11,0.010270014063869194,0.00982359318244078,0.00040030072564230647,0.0003370661024078612,0.003915434526882216,0.0008568347014720109,0.0006276786503130892,,0.012584134555276674,,0.2913893669147339,0.008475217639903825,0.08246417214042533,,,0.0010088645162079008,0.06656238695699769,0.032394241759633985,,,0.02689071801303256,0.010649199537464848,0.018411721854341437,3.067268192039884e-05,,0.421469321483602,0.0004965418218128334,0.0009425181716192117,Control
12,0.008275502989875748,0.02601058646722495,0.0009564582723060263,0.0014499001506519003,0.012909441519645425,0.003011093520504203,0.0009291210889669758,0.00016001974682565548,0.02666530628911919,,0.32885487741675284,0.006118725044096935,0.27410273130488383,,,0.00046656222108781164,0.06693755260835048,0.022414317089136715,,,0.028638273131860962,0.0051661557434793115,0.010843711263983282,,,0.1754235061573288,,0.0006661579739189544,Control
13,0.0042277061914958395,0.038116463897379535,0.000311830039902716,8.842616757618003e-05,0.0018165976025305765,0.019889470553487994,0.018601254650939064,0.002256770665483591,0.024514387524797128,,0.07672857114733551,0.01947018042309909,0.025336979290330516,,0.12783943983273643,,0.03350677406439839,0.036213180371653116,0.005350055051543319,0.0004562703234711873,,,0.01488996597931002,0.0017122917049837664,0.001446143080065055,0.43767146165627113,0.07654051598898469,0.03301526379222527,Control
