,taxa100883,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa561,taxa570,taxa572511,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa904,taxa946234,condition
0,0.005996313678706988,0.05847153841580246,0.0012374685214629443,,,5.2168542752312575e-05,0.1373225646209054,0.010225417971679385,0.11795211618241346,0.13454938462217125,0.027934912071071967,0.003725639496189971,,0.015016101283691385,,,,0.22216894552415004,,0.1244031784451856,,0.003088684604717802,0.015808986415081314,,,0.0017969377832588848,,,,0.07315544883167399,,,,0.021086831854265645,0.0015036815263901864,0.024503679608429058,,,,,,Control
1,,0.0015969476992244997,0.00842563951215674,0.00010389653129036539,,0.002057045840837265,,0.0014127818681250292,0.10301494021572083,0.003265304486452631,0.00014693184577409035,0.15799867223397374,,0.06858479001192543,,0.0007021717855837182,0.002146175352451842,0.01983390056268674,0.0011721849261216554,0.006136329547561723,0.006511095411190827,0.009895485363457492,,0.000603021796331999,,0.00038320416058669796,0.0015790163181896137,0.0011926477962438187,0.00014492775024666199,0.013867180783972633,0.0010447666420619992,0.0006191600392633957,0.000677595245694728,0.36062538750241807,0.19126349362792555,0.03388303212480748,0.00013522370874542987,0.0002746665659696563,0.0003262456561229444,,0.00037613708688471375,Control
2,,0.004196889054638593,0.03783862049217728,0.0003095570084808038,0.001324066130101185,8.778160024237653e-05,0.0051123874414222455,0.0018033558268735215,0.01974448968010139,0.018465664005721676,0.002240320324020997,0.024335694114918528,,0.07616927142999358,,,0.019328255892974256,0.025152289739313473,,0.12690757623232732,,0.03326253220008331,0.03594921062422975,,0.005311056745783836,0.00045294441945482113,,,,0.014781428134294403,0.0016998102492198446,0.000852874366930544,0.0014356016689085346,0.434481130842956,0.0759825870673625,0.032774604707469165,,,,,,Control
3,,0.0021033144043353727,0.004539508045655812,,0.0032508225298323004,,,0.00564002634756834,0.018570648576000427,0.0028767752173175375,0.00015531592131658005,0.015168252677172428,,0.08370644500776789,,,0.022848801717914684,0.016716837659723812,0.00034119601992035843,0.02628051427658959,0.0006820801604806436,0.013349164329650663,0.06794011167776125,,0.010881678792536187,4.511854742395966e-05,,0.001349605950824526,,0.007422416890388129,,,0.000158746594277388,0.4064858847560022,0.25991610029374873,0.028733653363140686,,,0.0008369802426504589,,,Control
4,,0.004329959634304501,0.07404286675229027,,,,,,0.15078245120174485,0.003609194280139021,,0.03845638129003731,,0.01889170857543669,,,,0.09043767076021957,,0.003470347954361182,,0.00962748877734822,,,,,,,,0.00469302606604305,0.0004835822068484152,,,0.5996247199527335,,0.0015506025484934214,,,,,,Control
5,0.000890672417575243,0.007156668656983469,0.00514963409573085,0.002587863676176133,0.0006780857986942527,,0.001330869045513191,0.007491362680227028,0.08747159957988727,0.018623694800619282,0.0029689833637980578,0.019329116391964545,,0.0981004786926533,,,0.007841983756213526,0.03871640606167812,,0.1598703334582647,0.0002082942216878565,0.011533106468845894,0.040714403997261006,,0.002015506397818016,0.0008847986108899019,0.000313796826382248,0.0035149085120721414,0.00576401168345333,0.025607537991668684,,0.0019293195804927267,,0.4056642925191876,0.003605161810948821,0.039464186835850366,,,0.000572922067462477,,,Control
6,,0.009596293878743237,0.06386089979715011,0.0017022816017189172,,,0.002571754353482873,0.03144554186758603,0.03315879217123118,0.00713341404808374,,0.006055028149446939,0.12230610458027602,0.11317364460613576,0.07663405475230689,,0.012590241694331324,0.15379237283186595,,0.04802981293183551,0.0023034274045095784,0.0383656756004374,0.10686156289580638,,0.0014023688536802586,0.0016649067655258164,,,,0.01231480540151695,,,,0.13445394196358249,,0.006871993318841783,,0.0001621946016314725,,0.013548885930273384,,Control
7,,0.007694983194846274,0.048239238438013476,,,0.04418905481889312,,0.0056683764191445335,0.014623184561220358,0.0006582266683982556,,0.004439268716440235,0.022108684506838294,0.1361996353424257,0.017700968878311758,,0.024423343810281935,0.11350962175892586,,0.0017780478480637324,,0.07224591431915699,0.06942870417841245,,,,0.002122728765372597,0.007987214939530389,,0.0022812255679059545,,,,0.40076914308604455,,0.0027818957575828493,,0.0011505384241907288,,,,Control
8,,0.002561818395316052,0.06102737469499338,,,,,,0.1497088181862148,0.003016065861541051,,0.031895865762452714,,0.023193881683427585,,,,0.08580339858685522,,0.0019283557140322885,0.0004803977426758276,0.039127881212722614,,,,,0.0007779454828325454,0.003429220036200464,,0.0028820835570999358,0.0003279386019779505,,0.0014439193186227429,0.5879359586797361,0.0019465296513340228,0.002512546831964685,,,,,,Control
9,,0.002036097383302134,0.00458741846223597,0.00048450303100518226,0.003221051646657742,,,2.5098582211209185e-05,0.04373889764215887,0.0009877798015043488,,0.0650686767485329,,0.08862128668986043,,,0.018377985049678126,0.03738132637373075,0.0024960038037403318,,,0.04716294662174087,,,0.10936556607041137,0.0015482813394450724,0.0028420630552684835,,,0.0024583559304235175,,,,0.539405677620558,,0.03019098414753469,,,,,,Control
