,taxa102106,taxa1263,taxa1301,taxa1578,taxa1678,taxa1730,taxa189330,taxa216851,taxa2172,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa40544,taxa447020,taxa459786,taxa561,taxa572511,taxa577310,taxa724,taxa816,taxa841,taxa846,taxa904,condition
0,0.012148810061381818,0.085196824665566,0.0005339578739506287,,0.0011358020682495985,0.32572242105551563,0.007627418767269661,0.049063848657139586,,0.03797869242220218,,,0.11034520549057254,,0.005644610546632018,0.0014358616336756736,0.01236322530038936,,,,8.188977656369393e-05,0.006829120288674147,0.004542193529794383,0.0004225390701502124,,0.3230018945255619,0.015925684266711045,,,Control
1,,0.00258021063763928,0.0024487700203932763,,0.00544522727994389,0.07585365658724857,0.003708526273110921,0.038117887005134715,,0.07911277907370332,,,0.02403214020102098,0.005292833926670176,0.014794143688679495,0.0036429679701788574,0.04895261160734054,0.011855900474071854,,,0.004574824704442219,,0.010254636224861308,0.014526294279665453,0.028481356493090883,0.5794835560983587,0.04684167745444562,,,Control
2,0.023096346717637176,0.05419438942165686,,0.0072157939145124075,0.06224784522636552,0.04408335169722096,0.007722130979614997,0.006176361714553796,0.005885019024574342,0.13455486504583017,0.021209437891472366,0.0118287198391871,0.14045300482275463,,0.01563001875234456,0.00923597652439122,0.054325183693115724,0.07960422438635428,0.001240892570689086,0.0010794143350728142,0.0005974591404791428,,0.01921921605467655,,,0.2753839292272817,0.004823064588298169,0.0013228197881194788,0.018870534643796885,Control
3,,0.00022552072871489485,,,,0.06315433388323083,0.014682148401169336,0.020368433048065557,,0.028889746265255024,0.007310283547586694,,0.020690070544922782,,,,0.04580671354820979,0.03367228363767016,,,,0.002606699234717044,0.007530083040102639,0.0001589463438544093,,0.7296604591947391,0.025244278581761714,,,Control
4,0.004393295744825559,0.025103957361665312,0.0007850921051232859,0.0016923807466559277,0.039518194744331096,0.13452868517249272,0.005467985384716289,0.04358226164528347,0.030281622765875253,0.08733367880000523,0.01913500746028432,,0.18941701621859725,,0.03243564633969254,,0.01519850383551603,0.06514478999482833,0.001574312471611753,0.0012022529160748204,0.0006364746959767719,0.0004855867430794086,0.04544699730393571,,,0.18073115430625653,0.06768903747418933,0.001904573380826228,0.006311492388156885,Control
5,0.0005883739299609283,0.019868234062232194,,,0.0025268392535914416,0.03168986957193466,0.00011038483092895979,0.0358284723277862,,0.29297128213327284,0.09770134462392736,0.0072804284174046024,0.26291160805225244,0.001862977010546825,,0.004723973721368806,0.1234249451493012,0.009927489799240437,,0.0009290550685690691,0.006586432979425345,,0.002589280203919925,0.0002459324328858157,0.000993981230850924,0.07774488553735046,0.012159003032372787,0.007335206630876852,,Control
6,0.010687391619584515,0.013203035562802131,,0.002043167270665556,0.041128608047890196,0.07758210293173055,0.0018156822941952022,0.041892761002154257,0.004129435880257315,0.1522736519365196,0.01675945910583867,0.01825008973473532,0.11136423620844177,,0.02885711424967121,0.004456023222714754,0.060690985104136314,0.07187951936990553,0.009203006077800684,0.0006898261797737393,0.0014377009561535505,,0.014026363276922112,6.746741651393506e-05,,0.2965679253554428,0.008577678338700356,0.001157388685417353,0.011259380172032698,Control
7,0.005413869648965937,0.007279077703868511,,,0.02607605346124784,0.06814396228657349,0.000765254298504889,0.04617560324810995,0.0009937184537817118,0.20035151916482738,,0.016388092918500897,0.09708317895850425,0.0055655435805173565,0.0027683670034632916,0.013998698908816217,0.06286333691546488,0.014722963115484234,0.019730003455030478,0.0002538843672686808,0.026066626799300857,0.016954328140619528,0.0635894017204823,0.0012030115325146753,,0.26464347199423466,0.03897003232391791,,,Control
8,0.010982059782090619,0.0019154780827791837,0.0005620206186332494,0.001901173691669614,0.002131791050626953,0.013157965138124186,0.004163014588185862,0.023198337371139,,0.15405829225006654,,0.017326657805223765,0.07368333812512237,,0.0010929209970662896,,0.03000777350842054,0.033790793584688054,0.0005626757815848326,0.005841651263967667,,,0.003000209542950681,,,0.5932074670668693,0.0294163797507913,,,Control
9,0.008784955753482966,0.06042427423221046,2.8062364231997705e-05,,0.07319656563649947,0.04395023067916013,0.0021169464440873057,0.011104212265289322,,0.06462331757968766,0.09317018179321641,0.0011478159584008738,0.028063538935616715,0.00045669866254772074,0.001386019747812017,0.008969253699043804,0.06335672603314206,0.06687117821598285,,8.314291170131413e-05,0.0683864153618864,0.0005051225561759585,0.0016551573991905248,,,0.3957054401960345,0.00601474357459962,,,Control
