,taxa102106,taxa1263,taxa1301,taxa1485,taxa1730,taxa189330,taxa216851,taxa239759,taxa292632,taxa29465,taxa33042,taxa375288,taxa459786,taxa561,taxa572511,taxa816,taxa841,condition
0,0.01394991626325261,0.08753458446126985,0.012379535557886408,0.008734532256759095,0.2072089061004915,0.02028197283201665,0.012678903502591262,0.16492078732399978,0.13626911124011595,0.0008131961828258936,0.005637183306443628,0.028118949045959827,0.010315457944624051,0.003173081097351963,0.010715071696979382,0.25737974166436245,0.019889069523069618,Control
1,,,0.0009526250796620752,0.030782459812490035,0.02590363052253424,,0.011662146813326522,0.0025459210024332646,0.003979321330823332,3.450435903255002e-05,0.000608343415245811,0.13987109302081316,0.007887674705529243,0.016396319027085923,0.009832327319016749,0.7489470456050753,0.0005965879869318823,Control
2,0.012702114444200384,0.12688451849337315,0.00035880076048104944,0.00023468134099419554,0.14806679537531675,0.007616160957979114,0.06435660213367694,0.02019194894813784,0.1567583076459034,8.081950345926393e-05,0.009122619686958426,0.011794813048408676,0.0012988923839441391,,0.0042932076935122635,0.43140799345877007,0.004831724124884526,Control
3,0.0012150031539618614,0.0007967963739428521,,,0.028438631894118216,0.01602920483055661,0.03814940931003873,0.06313860592031464,0.04043784411721893,,0.03780495671508449,0.006728642255097002,0.0010138346182279017,0.0005878642397810209,0.009475814392912292,0.7302326510690647,0.02595074110968081,Control
4,0.012161553900298435,,0.0035094786256334265,0.0006633104366161163,0.045856257724425434,0.0030252936341893274,0.013314512223155233,0.33038868927758824,0.09358830100952861,,,0.08247274770238552,0.08019414553065483,,0.002517388178496925,0.32875125844250863,0.003557063314519411,Control
5,4.33383522278106e-05,0.030103132746730456,0.0011745215602558695,0.048997923309705045,0.05737590558880947,0.002747129382421171,0.09955028366256903,0.05019103336802489,0.07332932740757078,0.0008174761957573529,0.0061858970944924365,0.020874570036552503,0.0018403657380980873,0.0031104405327839492,0.011787405227378056,0.529677163737725,0.062194086058897965,Control
6,0.015661145962764293,0.004555464638199432,0.028050151023830454,0.0021640856239456114,0.1019849026679193,0.06737594831853401,0.03527239850087381,0.08524689113151698,0.08510243355456557,,0.04837346324413331,0.013488094877312078,,0.0035024648705437866,0.07732369609358428,0.33331944318170337,0.0985794163105737,Control
7,,0.016839311978352426,,,0.6336448464550599,0.03361689777362571,0.11160400826480783,0.000785414895285433,0.11047278860351863,,0.003445979105205617,0.04032322589656104,0.0014101534090179286,,0.0005811024716234739,0.003084173787197013,0.0441920973597449,Treat
8,0.009145648985493273,0.10615728270481428,,0.012362090628680735,0.45507902218693397,0.009467265513713385,0.09385229965115298,0.00022019069505464371,0.26808099759835763,0.00020035466950349716,0.0020213804257801374,0.02672703505411533,0.007150608163243321,,5.885806916547167e-05,0.0013449917334791002,0.008131973920512337,Treat
9,0.019265787062879736,0.1777426939159514,0.0008838889742435571,0.07308407283003955,0.2053553519601111,0.04164999246936364,0.042939146605903596,0.0003939997729274009,0.36797701288508056,0.0010726359191138024,0.0022474878394894877,0.009158519092150643,0.0030331197239461274,0.009329727466568212,0.0002637021937251949,0.0001229387263819681,0.045479922562124075,Treat
10,0.0078102917510191015,0.01839687278368359,0.0028268972543559925,,0.147014949408915,0.010176137149287175,0.19612169947340938,,0.0702257714132018,0.0013027243322511343,0.001996879705696924,0.0019785014962504467,0.00022075961567455027,0.5270236468187134,0.0001651924105112059,,0.01473967638703058,Treat
11,,0.02007549951934875,0.01748989149429082,,0.36622709667431064,0.06701334271833947,0.08937608413803302,0.0003121895476588612,0.33927923326086373,,0.004919820541279099,0.04448017198548951,,0.019009559177519276,0.001353010246611158,0.002184995610285277,0.02827910508597036,Treat
12,0.009004254777745895,0.16898959103652114,0.001582583586884109,0.024050484705834055,0.563853865377746,0.007021990345518328,0.03833152088481478,5.989197091656007e-05,0.16829119829355632,0.00010120378175811006,0.0009006628452296452,0.008385195038105508,0.0011031525618336953,0.001045817790419904,0.00012463994502627483,0.000396232776579606,0.006757714281510078,Treat
13,,0.031703365646265406,0.00022565535443420834,0.6793325748210393,0.007843375022927573,0.0038461555539524607,0.10414107330496686,3.823648098129006e-06,0.01829279104656887,2.4554425406138795e-05,0.00012392028675754953,0.02087221095940816,0.00029871395625948315,0.11943678539873911,9.667974398002288e-05,9.957643867818064e-05,0.013658744392518563,Treat
