,taxa102106,taxa1263,taxa1678,taxa1730,taxa189330,taxa216851,taxa239759,taxa292632,taxa33042,taxa375288,taxa397864,taxa561,taxa572511,taxa816,taxa841,condition
0,0.03949248762882554,0.27125485148675144,0.13201025436018907,0.006176402642421845,0.045905510193025814,0.007355766147285938,0.0,0.0001998815655023099,0.02035180400896416,0.000950838475146502,,0.03667484250764812,0.4182618274156559,0.020915333033199646,0.0004502005353837073,Control
1,0.0187734663859611,0.08860142038353001,,0.040348504999665635,0.08287811658817568,0.26744286262461614,,0.34374440105754533,0.057261289703095575,0.03985856959603932,,,0.038957732164116216,,0.022133636497255117,Control
2,0.0016363762397250126,0.0032581879315089542,0.001711936676411773,0.02904192761025445,0.004483800116144057,0.02063818344825638,0.1321782004197875,0.02459941196458997,0.011821923105100298,0.03718164827536588,0.05517806364444632,0.001435648297048445,0.003985977297045488,0.6551965923776165,0.017652122596699016,Control
3,,0.00668758234770876,,0.08658276613562127,0.015208882200098632,0.013572091437876634,0.03753521098848958,0.04424623429979182,0.0029033954858592665,0.0061389279099776425,0.037276454458001325,0.0008482911027954199,0.013352063455934102,0.7230925765186093,0.012555523659236335,Control
4,,0.008514232845981842,,0.15532080646798946,0.02842107132336168,0.037905347783742875,0.04563040996806892,0.06694792088305157,0.009308525775021819,0.018864513978781514,0.028061032840335964,0.005807512932017722,0.021712494644384874,0.5330868877695281,0.04041924278773369,Control
5,0.0054480433377236915,0.10085679288983773,0.0076218004812022445,0.2645345271558972,0.07271786523750721,0.09178464534030772,0.06767424183345397,0.059172148738232004,0.013250108518042602,0.023971939317677212,0.01710555242704864,,0.02465407138926215,0.2017161983115468,0.04949206502226072,Control
6,0.010647153521125602,0.07738755408954297,0.003174258836780314,0.3390401512495905,0.006556112333852437,0.06181518390239375,0.008337444863761258,0.1294116174199729,0.005151795514231367,0.007224047896798261,,0.0008580852938013444,0.012098571650224649,0.3270544585545419,0.011243564873382648,Control
7,0.01851637826344541,,0.0803058927469988,1.0216072854676009e-05,2.155558242224585e-05,1.1775154881094774e-05,0.00028253742562775285,0.010395197516456659,0.006752468364916088,0.00017414943974778277,2.6418765908230755e-05,0.0002515216806438851,0.0003457723889150203,0.0010615825126273051,0.881844534084555,Treat
8,0.052253210831903485,0.005744690919544194,0.4735785227546419,0.00017943847870386368,0.00027091503711816324,3.3140231682883158e-06,0.001495609996651327,0.018282263299963478,0.007525559038781373,0.00016068026096263273,0.00022547135401692042,,0.0032899309428598257,0.0014964199057294655,0.43549397315595517,Treat
9,0.005174351685163328,4.278605788920601e-05,0.023160823724327737,1.8186283976143593e-05,,8.28610125393703e-05,,0.0025729965407420494,0.00018229763104934187,0.019648078621265955,,0.003081576081104419,0.0010637153329818815,0.16467284685230021,0.7802994801766604,Treat
10,0.0018716551296211925,0.002450243254333599,,0.00032194086099119804,1.2081742163902403e-05,2.907097529337002e-05,0.007293823828730746,0.008345276968514987,0.00011391348762603108,0.006482153363634181,,0.0008912193104866501,8.040894342181374e-05,0.03962962517125394,0.9324785869639285,Treat
11,0.021040863620606576,0.02350283477054436,0.29111661474939643,0.0002275150910070074,4.518411870564944e-05,1.957632876404474e-05,0.044157792069902786,0.07812211418150626,0.007261536739471186,0.024718917814194385,0.0033743208673585406,,0.003529742446182494,0.05668958933950314,0.4461933978628571,Treat
12,,0.011171635697539024,,0.0012764670940663548,0.0001327608252389784,9.375513507315275e-05,0.007788021169310895,0.03148385239599335,0.0035257916350137897,0.010591870898886115,0.0006006413952717998,,0.0015177280810918644,0.05357345618840171,0.878244019484113,Treat
13,0.0020228516303376553,0.0020852398588277208,,0.0003276316525230633,0.0001831388481379741,2.3734061156406135e-05,0.0046368759434482045,0.006507885231792828,0.0011267038189780912,0.0019384911591209997,0.0001586340839126668,0.00251434395609727,0.001338019909501696,0.06844758390218576,0.9086888659439797,Treat
