taxa100883,taxa1017280,taxa102106,taxa117563,taxa1253,taxa1263,taxa1301,taxa1348911,taxa1350,taxa1357,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa32207,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa46255,taxa547,taxa561,taxa570,taxa572511,taxa574697,taxa577309,taxa577310,taxa61170,taxa644652,taxa713,taxa724,taxa816,taxa838,taxa841,taxa84111,taxa846,taxa848,taxa872,taxa904,taxa906,taxa946234,condition
,,,,,46867847.12425949,,,,,,,,,3401712980.323634,200294952.2240923,,33437977.120915134,430988910.84683615,,1056842055.1240013,1143406224.8284273,,,137757993.51166272,,,,74207424.61341085,,314185680.5712462,314972390.8622606,605891533.039678,,,,,,18224525.157564234,,101083903.13692966,,,,,,,,9544153509.702576,,1143300214.2218366,,,,,,,,Control
,,373732771.5017216,,,2924075527.5990076,248634640.86742315,,,,,69069357.0499885,,2567018093.791516,6024334332.597493,874991857.9609542,,12667479.554800766,826888533.5802892,1538361584.7940588,2144146935.446694,720412500.5623,,,2367329270.006739,39031483.321823165,,,167099400.7306082,,218235698.8384084,1325550937.1759129,,,6899413.448731154,106346650.21018487,,,58535189.372706436,,361230781.5848102,,,,,,,236917974.50485924,3056774145.9661865,208522961.5455588,1273854983.2017958,,47218707.043583944,,,,,,Control
2023628.8277294652,,20583196.07633399,0.0,,2803325787.807815,11990000.804297082,,,,,47801003.8092953,24601544.74853964,18631839.70673772,29011465598.910946,267935684.03719452,,,2893406179.6250296,,248689528.43632466,10862550.457419237,14801399.425678376,416925356.47877645,61308726.23438947,975678.1847981351,,,106811465.87504917,117384926.49993563,868996809.3477256,,,,,35471322.4517722,,,573409682.8287706,,2142386930.9339318,,1051289630.4970838,,31510791.7460731,,,,14648904539.017334,6266629208.796342,4972453528.251029,,,7118837.126119725,6865883.522653542,,,7075473.651239809,Control
,,,,,383082809.661621,,,,,,,,,8576410454.385894,449637852.7681093,,,1829027963.956917,,1024756355.8491462,904873066.1275564,,,1726751416.831302,,,,215052150.01290584,,534952978.5106516,732773679.1152278,783108733.7215514,,,,,,108775526.71653897,,524142704.00800234,,,6677472.692364638,,,,,25087251174.975372,,2348470349.626977,,,,,,,,Control
,,461109075.95046884,,,771880153.5584562,,,,,,1742920854.452205,,1265957368.3605926,1518532870.9933403,36061682.29384205,7815988.077351986,1091637.5642186005,67459094.9951137,2389266110.186852,2144612679.5326812,2659827967.1692324,,260295672.99286404,1096808298.8879871,,,,243246963.44760677,,1247365309.155578,788846733.6317973,,,10676831.349097284,114457685.29912078,,,304498439.1903928,,115337155.06088938,,,,,,,,15612230860.830803,32841522.582463667,204516073.3164904,,,,37950660.147913106,,,,Control
,,478171869.7809626,,,9346123606.372309,280246732.015856,,,,,27835515.626153044,,235321807.85062367,20386675114.74436,558514919.2771876,,,3261544058.833357,,1055858018.03949,,,,3846024660.2324214,14936925.78415711,,,446254246.70797473,18263490.04176415,397812513.59720033,,,,22829362.55220519,15670726.723335136,,,,,461066154.55434597,,,2511229.880742571,,,,744356801.5771627,10979781919.483086,,1185191792.460245,,,,,,,,Control
,,2458781022.5690236,,,17726976606.166916,188410877.92569926,,,,,7007681.40519691,,646723410.1661893,13455510923.523977,2039642022.536786,,66407737.81442344,6897592170.836187,,691252268.4301672,,,,23368371977.779846,,,,793816930.7379102,,218848110.82469237,,,,213424995.83155328,,,,610964745.6801785,,1140625134.5491545,,,7668623.544985737,,,,40681836.06571991,11574622118.79416,,521263034.24678737,191613905.21852207,,,,,,,Control
,,1830190714.9801564,,438648780.48905116,,,,,,,,1860617219.9851773,29493820273.255203,1330772430.3580732,1296770355.5283604,,197795056.86272937,2121838786.1585228,,,,,,11044335464.447254,,,,20492038560.467365,,,,,,35353351.748598374,,,,,,1283470146.7537105,,,,324139448.77853847,,,,228100098.77391782,151365789.24528733,2670798830.1775036,,,,,,,,Control
17246074.020149298,,521936612.32332927,13762815.44939695,,692093170.7527512,48475002.46973115,27251620.09346654,1420069301.9667807,4151678.8685963647,,25125960.5127452,130271379.53881674,146047759.23948294,2148535331.2873044,2744467316.085627,60867763.8924913,366713642.7842483,1481501694.1854014,,1376638589.3223941,,9079721.68562025,343476696.1567145,4073162317.833471,568780.004997702,,,5701666657.398131,,531510383.7943124,1494380202.035787,,16631625.54759704,70304529.96081086,,186343954.3380792,,,,1348747610.683164,,,14036826.254724309,38967657.86064548,,,8241082.554163784,9436641517.95348,1700797523.7035298,1518679978.4536817,9660956.72722374,,,,,,,Control
,,297694031.09382564,,,1100489270.9308286,,210279716.04747534,,,,,8716668.242582237,1611801105.7968457,10708525989.06049,224048089.74882683,,,4253535996.283709,599340278.8112766,16845258537.934805,359948871.8945408,,2199334261.2613516,10734477887.691813,,,,1745116603.3842483,35262885.16317359,3580272427.5924425,8197937334.405204,,1782717140.4852052,,182079313.2217576,,,,,1753476680.6532702,,,,,,,,25590057846.209015,,2170390960.5740504,,,,,221383562.75194657,,,Control
,,69488209.18455623,,,312475517.5870147,,1764915.5694422731,,,,,36920790.63206715,744971768.2745684,1746178718.1658022,130506636.46175963,,546437.5424098601,353660333.87584877,331058278.6560286,2040076654.1865745,405342707.40713966,,142686237.22931206,1090685450.023002,,,,472904141.56063926,,406194735.6130773,1070954134.2143729,,43519477.16315873,9009745.071298117,13581951.142978726,,,,,363589440.68911606,,,,,,,,2383607175.516754,,293259562.30416554,,,,,166492526.8435426,,,Control
,8337547.743746229,23087572.494227216,,,5469856.16309466,45909617.99024595,257289023.08906057,,,,5828317.610676106,,383182011.1146555,201554906.16510093,50350557.03528276,,,2968571925.445925,,10670799858.753683,,,1885932057.4755404,1753122091.1466148,140218169.5789424,,,,8178231.544821143,4597022452.758704,1423390664.7713258,,134715122.54107165,,648655903.9234926,,,429476643.2523038,,20969994.683514602,,,1606438.3391612957,,,,59418304.024102315,38363207937.66189,,614283434.005405,,,,,,,20837231.184410356,Control
,,289388817.0320811,,,3878648662.0470343,76960480.96827704,,,,,21492356.749199327,,82893909.18995947,1811675834.8802807,198878649.12235817,,,1741033221.859541,1751971620.0970678,3787652504.2951927,17052295522.969193,142547348.91504055,29950030.718003385,15278577670.832266,,,1729529044.402831,141111140.12788516,270522256.14626694,1034643359.5508076,546760333.122223,,,,844229637.9769866,,,,,1353394667.3425102,,747698998.8887838,,69793944.19196622,,,,7055397427.640129,7072232986.200672,1845557305.8136287,,13339333.129185813,,417769924.72836155,,,12345592.705750002,Control
,,256977308.4210914,,,839535890.5839076,,,,,,,166660165.25413367,995373700.4305083,515123120.84232134,82441152.33789895,,,59431665.36642102,786459106.8354276,527759852.57819456,692731164.394628,,,2256456538.0018935,,,,194167936.1792699,7810947.14936354,286193331.7761177,531607699.7349007,,4918215.078708088,26541244.66720915,,,,,,358665684.36283475,,,,,,,,2177491228.6175313,,104859540.60618182,,8682760.6807169,,,155098365.90901294,,,Control
78422715.53523701,,1842222452.7041914,,,1666140320.429817,10437746.981207367,,490604025.22592807,,,,237668163.58674026,6048474928.215124,5231704606.319435,2238797003.771708,,305935682.6163758,148059773.34075075,,415894355.35247725,,,,3536368511.45142,,,,2903970685.1967077,,19299859.545506362,491498214.3781398,,,105481078.72855802,,302292443.5426805,,,,2400555488.9944825,,,,,11940250.68678244,,,577440096.687737,63902945.21233454,297442547.73198575,1219953.2299691413,,,,,,,Control
,,10791697.971535206,,,364414482.5410876,,,,4041663.7246439485,,,,46346183.36877896,581241764.4003578,2024630.4184541584,,,657150210.8678601,,5373551461.271682,1791995445.2508035,14375635.68225096,133534442.27080204,4822210031.465812,34169911.68706263,,,,86645065.37512074,2263806505.3171344,182085687.4743139,,,17040322.80897815,120805480.67185292,,,,,47491448.04263248,,,4510785.406968692,,,,18231170.156417884,1425962777.7974057,,223015129.79859826,,134539160.36776474,,123473966.3547123,,,,Control
,,494413510.73544675,,,4394981538.102779,18825796.987286408,,,,,23258342.470159296,,1283453561.6177835,1993609328.4828908,55773066.99741967,42844809.33904041,,251230792.95122135,4934650211.300015,2213771608.7805014,1917050878.7126775,,,7350324892.891122,,,,176469151.87251145,,479873133.78068364,1066462304.3245167,,,,,,,47665515.58453777,,56793554.16367431,,,,,,,,2638403831.448008,,179189407.53961352,,8614664.667278381,,,,,,Control
,,134617738.64253706,,,711142359.8615611,,245141985.04322505,,,,,,3018141767.775174,12375624356.363007,313595605.19656765,,,2435211501.105916,44194820.93213272,12096007600.77407,298577466.12163126,,1516369187.02637,3152123074.5471716,,,,2381412344.6729155,,7406066758.628453,3350995636.0672846,,3302287934.5986,,58436017.204073,,,,,1808036821.4107163,,,,,,,,22735247445.930336,,2475554669.4189396,,,,,413077345.37594855,,,Control
,,793787309.5056443,,,1232256585.4544802,30073361.066547815,,,,,1595140166.9836679,,3656162919.3896093,6769708153.927927,106989081.28275126,,19564515.266607545,101952224.330983,5300809602.133933,3541403039.2399487,2457912302.140873,,,2092532869.7342,,,,290758417.1913161,,893132847.4760953,1168821743.9910128,,,,91484428.70994875,,,295081001.03011966,,52412868.42720208,,,,,,,,8070588323.459596,,836335819.9417306,,,,31584007.650289226,,,,Control
,,689549050.7346833,,,1613346610.8798273,42630359.913248025,,,,,362497085.69777405,,4289358329.7162104,3439752337.0357833,710142617.289732,,15540065.97520927,695838341.8493305,12021240698.096275,3087309290.0461965,4799854572.570103,,,2342758733.4373136,34571240.211250834,,,280559759.70238644,,236340526.24438536,1869962928.9703107,,,27478685.248978388,13792305.07598096,,,390465673.62305135,,164775013.6661354,,,,,,,28061272.21538782,4288166674.5576463,163137591.20751494,693203459.8876152,,,,16268299.683221063,,,,Control
,,39724321.73754792,,,1486852794.3780794,26796392.25481307,,,,688868421.213945,,,,2056925168.214436,202401354.8280596,,,5325672879.500683,32295165.530712005,,,,,501966491.37881005,,7478472.559086125,2507799918.6620235,1910899449.2015502,,19226332.18440512,,,,,1979699.283187189,,,,,554048081.9516261,,,,,,,5231055.935112056,,7811252258.877396,120779269.25736503,,,,,,,,Control
,,,,,536504585.5782636,,,,,,,,,17992474030.891865,2168519952.824296,,507408822.39318097,2485064227.5217924,,2145286582.6216319,849539739.9373474,,,1500065790.1608963,,,,1824834045.9358563,,1113064698.8108692,915314957.6549821,6547020697.352802,,,,,,,,1595701792.5591912,,,,,,,203046683.46766132,35627466821.621765,,5802646466.70432,,,,,,,,Control
,,457363604.5602574,,,2239065809.7547007,,28975131.29950418,,,,,111518619.5232056,1688107163.7025435,9748596255.495497,348414295.19176036,,,2559156100.1930127,123502867.57359265,9770505783.869553,210269879.3392807,,1464242817.9624932,10583358085.554398,,,,748179597.448175,168219423.0743762,4094002153.3657165,5242580581.6016035,,705161250.3715653,,63379250.151937015,,,,,1531766400.5900047,,,,,,,,32602962041.923122,,1105128929.7977002,,,,,1167927445.4626138,,,Control
,,520880606.72138816,,,519082813.55506945,,78567556.46404985,,,,,294638324.47999984,2236470679.2840924,6335934490.385316,168664959.76808992,,,1894578360.2013881,1172728448.061127,7900957387.720872,2388723784.991656,,1038876754.184816,4506500164.339466,,,,656082643.0204004,52104041.05583943,6571868875.341125,4046376976.447798,,1719201639.279042,,22883909.459273744,,,,,1019380686.0700717,,,,,,,,33092018763.38651,,902388296.9979048,,,,,754409943.9302547,,,Control
,,107426066.89969617,,,673445480.570144,,,,,,616902758.4606164,,79133556.11010478,204147450.77187204,9189195.13194957,,,61974557.45419131,308649019.8557652,1901419505.0885937,247114960.3269467,,340962897.46738595,1584654821.468675,,,,24822495.675479013,,1008591471.6587659,969261716.4940217,,,,29634424.999336418,,,111505777.8178014,,31847124.843013797,,,,,,,,5594950851.267638,,38836747.552903056,,16062129.64968709,,,,,,Control
,,,,,48180677.10228867,,,,,,,,58189307.64196208,250250576.11979923,20635185.225709256,,,1383149224.7979097,,13125666216.007345,,25056388.977147594,152688186.25046107,3096626773.1899967,,,,,,2881058277.6794133,,2822285858.519053,,,680961112.4484055,,,31514131.464484695,,183279783.0738976,,,872743879.9025301,47884769.76459399,,,,60906955443.978096,,161809094.7770504,46796875.14071644,,,,,,,Control
,,,,,89911708.2136512,1163176.3931730816,,,,,,,,1164068567.7364316,204476970.53024963,,19282236.936566856,182471012.95574212,,504644991.6674554,96968413.16438055,,17042665.635051668,594871853.6944401,7382516.139393026,,,39034920.869849004,,82535282.00301823,501166119.8632662,1334647472.30595,,,127463731.4304235,,,11404914.085418263,,179512830.06053886,,,4118314.323996316,,,,,9721673000.957233,,168803690.33595842,,,,,,,,Control
,8043110.065392369,58354058.65775175,,,1054862851.3838791,70568162.21700571,,,,,336170120.52835244,,505115282.15790296,6387112739.269763,513058766.5825184,,8195869.381250358,710941856.0030802,106054815.46175504,15312328153.229397,832451929.2040327,,853871441.9710766,3481962637.120072,9617195.18966817,,,125740842.07928023,52177268.92958089,3655543711.9004436,6529902849.340673,,,,125973301.90775977,,,345036802.5575009,,64783233.342557535,,,67705585.47201471,,,,83672254.83386712,15369646105.22307,1072828675.2706556,1214383427.3959305,,98284015.481153,,4270619.134638558,,,,Control
,5818308.942201103,121938920.44201098,,,548201264.9880635,27023867.67273878,,,,,21282503.1650575,,490139322.1225304,2367924044.456859,103788219.4734731,,4880241.687310494,165211160.72345713,227509958.83446467,2946988213.265512,233523084.53640744,8511364.150394918,190093681.1546655,909273665.2239165,2373817.660717952,,,18875943.191777922,24882520.431208383,281019083.13830346,1870371862.7703762,,,,118839860.558053,,,19349069.60829343,,55031641.837954454,,,2447487.8639816125,,,,23882242.782450676,4612393199.400104,54475022.52440679,143940117.36779618,,9924194.93742912,,6774384.4690006105,,,,Control
,,133661325.42191306,,,2067725816.570369,,,,,,,,2571796647.305365,6778818616.989747,96164491.4447632,,,2844073455.8909006,879846639.3404578,11180415342.258116,260450754.62145478,,,19037087096.71665,,,,1741113084.366083,12625111.664356649,1086272682.2895858,8256755739.419752,,387627095.9706037,,67726448.44863407,,,,,2058818425.995716,,,,,,,,19767594057.442417,,1519664756.6517713,,,,,358844196.49330294,,,Control
,,285773474.63591963,,,,,,,,,,,2104560364.0627434,1458851197.4982097,834902091.4394835,,110367175.22843291,2199722384.1017756,,5656549516.359464,,,479555760.3759629,1702342287.8406763,50028669.14756586,,,4955675305.0528965,,379526236.38910455,2486112409.237753,,428771469.1869726,1497336.9287123582,,,26812993.175455976,,239277222.63906223,225319075.60391384,,,,36765879.81924989,,,36710251.2027033,15411676428.33025,4690280446.9452095,992043661.7475069,,,,,,,,Control
,,609028005.7464318,,,3415385724.7187977,3598718.3939192235,,,,,,4522331305.799405,10534972686.076544,9796960003.201118,314841957.44760144,,,1726182196.1485658,9061279142.958488,6868677337.826606,2773069573.8286133,,,13509331799.458914,,,,1483332967.387481,,1996994935.695053,3316476051.3104157,,47774822.76009092,17507030.554091733,63969055.53272741,,,,,2314205437.3917136,,,,,,,,15007573743.049774,,1637857528.6284204,,,,,1215568121.990945,,,Control
,,3127226.7718659267,,,469786763.3690724,,,,,,,,,4047841172.5730324,59909231.97788096,,,1255177469.0403893,,465605415.2134315,,,,3610129817.024543,,,,7087711.39947783,35930480.3098175,440512306.6539486,,,,,354606433.5019206,,,,,21027211.793493364,,,30283401.468165547,,,,,39029848159.39794,,195017475.62401783,,,,,,,,Control
79582476.06571256,,,2802851.880474064,,,73665344.31804508,,,,,2380370357.0851297,,,2003096393.6061842,,,6051803.30949205,901819696.7856836,,196872989.4423074,,9031411.614860874,658274594.1985455,307716101.7965506,2668180.318649485,,,47042459.93984848,962127305.5652533,10816062318.214977,,,,,609944337.4487495,,3181615.6481056944,1267907503.6605756,23390766.89440668,760321970.1711208,0.0,,363444877.47408444,,,,,57915168483.75592,84960921.5660817,46133426.89753258,34930436.34825036,20326988.862897497,2200465984.4327197,55535185.307411045,1111040.3850527823,520758095.6304216,287751042.7560566,Control
