,taxa102106,taxa1263,taxa1301,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa375288,taxa397864,taxa447020,taxa459786,taxa561,taxa572511,taxa724,taxa816,taxa838,taxa841,condition
0,0.020498212539805865,0.11190963031228979,0.0009693306133482136,0.016236129696183144,0.05441371858903273,0.10234847688473707,0.008805069226045147,0.001939293536294175,0.013383623023340918,0.1501213639234178,0.10723306852734303,,0.12678566206371628,,0.002999044422120402,0.012800001264619193,0.0583784578443143,,0.003153169886571561,0.0011615527310637104,0.004105111985981697,,0.18537736631987117,0.0011705631428316247,0.016211153467072078,Control
1,0.002294418164017468,0.005169426733721917,0.0005459721936565408,,2.8282852966045412e-05,0.049288075338279884,0.0011130999613316833,,0.07332397510294393,0.09986471745769282,,0.02070960999303337,0.04212391555056873,0.002812673161767285,,0.05314653527131967,,0.0017447126337694096,0.0032026371384631194,,0.0027702488823182166,,0.6078403688627058,,0.03402133070144417,Control
2,0.008845571792895393,0.0608412006563276,2.825599404915623e-05,0.0020817439336680687,0.07370162064553776,0.04425348649396341,0.0021315533371314647,,0.011180831133637052,0.06506921732867832,0.09381305440067395,0.001155735868224558,0.02825717685820945,0.0004598498752465007,0.0013955832595720465,0.06379388632285037,0.0673325881636298,8.371659632238383e-05,0.06885828041905613,0.0005086078928848121,0.001666577955987675,,0.39843580073873,4.941513377898951e-05,0.006056245198945198,Control
3,0.0003111005065707364,0.0005934463940484057,,,,0.11985373891621598,0.008251454045632154,5.659153757678097e-05,0.01569461778789288,0.030302780021045937,0.02897109447014006,,0.009064536785519094,,0.000489440324988376,0.0076881898049580314,0.006186933574790562,,,0.0021161156384341176,0.0012469511946422605,,0.7395055836983743,,0.029667425299170404,Control
4,0.0005957041365477172,0.020115760767231705,,,0.002558319665617282,0.03208467511793516,0.00011176005096090577,,0.03627483830438405,0.29662123994526485,0.09891854852000755,0.007371131015909347,0.26618706997017916,0.0018861867512548372,,0.12496262433567772,0.010051170586935271,0.0009406296221587682,0.006668489494764891,,0.0026215385312171194,0.0010063646615138223,0.07871346358446564,,0.012310484937974221,Control
5,0.016978171618049893,0.22215416476142985,0.0010708902342076417,0.002381165483339554,0.007527588133566083,0.44630641809592403,0.018766202123758097,0.00010340539644248907,0.037798985186136815,0.0030408695876306445,,,0.10685562556814618,,0.01846045093682854,0.0007741705294011276,,0.00012968802419381848,,0.0011269057188359579,0.013152679336313927,0.0018453651955904447,0.08880179428150908,,0.012725459788695794,Control
6,0.0017297243973232173,0.02627435033733042,,0.00015862657636607586,0.02587940489792553,0.14112091791294668,0.0031364063508060314,,0.012411198063690539,0.07056045895647332,0.019301959698197306,,0.1954348892323354,,0.009680042090462072,0.031112460916495735,0.041950940157718816,,0.004269949549801567,,0.02840122010467964,,0.36396346910996363,,0.024613981647484046,Control
7,0.004584776083426382,0.02619810502096957,0.0008193100842563542,,0.041240582161442746,0.1403920733176436,0.005706305714997489,,0.04548178007097959,0.091140088238199,0.019969000416925113,,0.19767269407616295,,0.03384934323254934,0.01586092558667589,0.0679841040703674,0.001254652710858718,0.0006642152346008854,0.0005067508802979029,0.0474277896151289,,0.18860826175185452,,0.07063924173266364,Control
8,0.005157662721747822,0.043780010186435854,0.004322725106829016,0.024282121601535298,0.008547962411942311,0.0936377447384214,0.01099992833388314,0.0003285699983752034,0.021024978650609084,0.12574941696057984,0.026032087819987844,0.01013577720262528,0.182801116678456,0.0016705317133508505,0.006848107768333533,0.020671134036974247,0.08381259365147617,0.00017539051195319713,0.004287384411033081,0.007628447837734784,0.006975356155982672,0.001136044719656922,0.2925301476376715,0.007533148314396522,0.009931610830008519,Control
9,,0.00022555658010863552,,,,0.0631643736294811,0.01468448244596552,,0.020371671050697274,0.028894338914783626,0.00731144567514505,,0.020693359678785793,,,0.04581399551529432,0.033677636574873396,,,0.0026071136258958936,0.007531280109540597,,0.729776454494012,,0.025248291705416866,Control
