,taxa102106,taxa1263,taxa1301,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa561,taxa572511,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,condition
0,4.208539948982355e-05,0.029232822717434975,0.0011405650314748083,0.04758134702078978,,0.05571711391108034,0.002667707274648912,0.00023101334948871818,0.09667219084014829,0.00014724819291379225,0.048739963139274686,0.011609282801918122,0.008055855336560488,0.07120930722159088,0.0007938421860393705,0.0060070569609149355,0.006173167525648262,0.020271066480530887,,,,0.00014887076253267706,0.0017871590246003864,0.0030205147561551677,0.011446620197624923,0.001102231824228656,0.000268433861324248,0.0011748418146737489,0.5143636961405762,,0.060395996228336926,Control
1,0.0016908878100557938,0.008932418265450387,,,0.03790985627609341,0.1554460249965273,0.00393896815873561,,0.03058786667826663,0.0005551161736580298,0.1519338536565514,0.0037503304015752133,0.019046599651295265,0.03959275008103015,,0.029912113700084446,,0.0930250955698885,0.042090720953367126,,0.04147892001613752,,0.0007339950154782626,,0.022710137997292,,,,0.28556974105029603,,0.031094603548217033,Control
2,0.01108105386947093,0.15268851606097603,,0.00030429762904412,,0.25366381193854554,0.023836409103988113,,0.06974201142061606,,0.002911832905132632,,,0.33002851320914406,,0.010518864766433425,,0.0024753697287744213,,,,,,0.0046322337766279585,0.01403060455260735,,,,0.11747912361873965,,0.00660735741989955,Control
3,,0.002457750912037517,0.002332548615681315,,0.005186790612482021,0.07225355594582825,0.0035325154067238265,,0.03630876882110979,,0.07535799677971876,,,0.022891547548735538,0.005041630020732966,0.014091996836713059,0.003470068575262681,0.04662926509544129,0.011293205980204871,0.04746113507764034,,,0.00435769833118816,,0.009767939549821102,0.0138368598646807,,0.027129598985377874,0.5519806087671031,,0.04461851827351692,Control
4,,0.0018515476006391426,,,,0.1271177226689346,0.02375914498608319,0.0016232249626307925,0.08959972263027678,,0.03036046788825318,0.01889540970826246,,0.04346385173444668,,0.006433302407092417,,0.016715774154682745,0.017535641687284158,0.05527703146745013,,,0.003446081226483171,,0.00834213200994794,5.818804443069944e-05,,0.013714156970001548,0.5149178843874027,,0.026888715465697648,Control
5,0.00035837127143090354,0.003804465396514439,,,,0.18206567412400593,0.014945841204433066,0.000630391653055595,0.041147656603721994,,0.05029793570105664,0.010371958217026021,,0.01860846596588748,,0.003074755141446576,,0.019564558297606782,0.019401004283969167,0.019484339426750714,,,,,0.008790701527093872,,,,0.5569793232341996,,0.05047455795180112,Control
6,0.020148467436942392,0.03127800279579913,0.0007633431889281688,0.04048896893028591,0.09280329710909035,0.17183349073943635,0.0027156720629313213,0.0004966002782461987,0.0025878230194130484,0.13454887522016712,0.08989038116728364,0.062388457700826155,,0.05311414012505241,,0.007380234517032784,,0.02267012571093237,0.029667855061905193,,,,0.0023221220732259303,0.007489953378340642,0.0013303802670263248,,,,0.20485334558127863,,0.021228463635855913,Control
7,0.008009707185285618,0.07360191997741786,,,0.04014623918790121,0.07162453802452054,0.004031729727398614,,0.00944358250519416,0.030417491091670423,0.13258549241721582,0.033945951009706966,0.012490954452534684,0.1631644466601063,,0.03025561525507979,0.001252706442245611,0.032058637638927946,0.07942202175801077,,0.008504413773209167,0.0015759422587136968,0.00016816928849121607,,0.027809422721259705,,,,0.23620047182318415,,0.0032905468019256727,Control
8,0.0036533404907743497,0.00981078395836806,,,0.024365513468527073,0.15982005016493225,0.006151953149562376,,0.061139145687867956,0.010275596354718879,0.14058529069213951,0.009879361138306602,0.02698273771497315,0.12724278196693653,,0.018161143320401387,0.0016024477288056377,0.02811778327477167,0.10855187475196455,,0.015233871491544345,,0.0010351839261720044,,0.012570031337285053,,,,0.2031428030684041,,0.03167830631354461,Control
9,0.05189124998509468,0.015570196358333947,0.0039868518105270695,,0.09846460371457437,0.03538563877357382,0.04742998335715345,0.001940458811084102,0.09005002223020961,,0.013201422733412942,,,0.0697863557617126,,0.29209835292033415,,0.003709293590374746,0.02216249686988429,,,0.00560993392261843,,0.05920432884356918,0.043779139886787756,,0.002194381463582488,,0.10483843492510721,0.0027635514846543418,0.035933302557411013,Control
