,taxa102106,taxa1263,taxa1301,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa375288,taxa397864,taxa447020,taxa459786,taxa561,taxa572511,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa846,condition
0,,0.03629666009239267,0.004855726597374752,,,0.003662031466229142,0.06131198017443877,0.0007300713103768193,,0.07807534107613653,,0.18164480344373649,0.00973908382536611,0.0024824759535680865,0.09555865502911204,0.002883574121955636,0.09041339055598015,0.02225472172452494,,5.188850820020039e-05,0.007099904577033421,,0.0030913875972974386,0.0004317123882256673,0.029208041265892794,0.346207909987967,,0.024000640304191186,,Control
1,0.0006564310601110862,,0.005436452820410662,,,,0.45836357532030964,0.007478884011473613,,0.012123495969050784,,0.020380986346178225,0.03865309039440194,,0.11044912311007897,,0.0005590530229681217,0.01118064252787255,0.003732128204663837,,,,0.004584290512537247,,,0.3247466986895062,,0.001655148010437142,,Control
2,0.03951059293071651,0.0017444075095508836,,,0.0014810984209238415,0.0032571273452752015,0.09605369608123103,0.05546590749325369,0.0069699679261557256,0.032509490073064924,0.037233972685908376,0.056204267528844803,,,0.17682695156426273,,0.1771577602114062,0.0010533579753343235,0.050349927441015095,0.006266756309323598,,0.0010804794195670396,0.051760972266073284,0.0007116034538368694,,0.09479905563860905,0.03610204765687749,0.07150672149657832,0.00195383857219096,Control
3,,0.011813322249774227,0.00037603470938502823,0.0002825120632957995,,0.00011889859382459942,0.10485996467422501,0.0021000643198417195,0.0001327121137611923,0.04593148862471982,,0.025726504174650368,,0.0058012690838894045,0.03632157628838701,0.0006661186280534787,0.0013103402689482102,0.019354685556194726,,6.395148118792998e-05,0.0002205047071359825,0.0002492572930780759,0.007763709816214698,0.00015737180490725807,0.0030211702936877127,0.6977884247614405,,0.035823777958820156,0.00011634053457708221,Control
4,0.0010656652528468287,0.007087839486320447,,,8.681010621527661e-05,0.04160092181151913,0.06957961863254992,0.01242903432037022,,0.014163865203629826,,0.07829902400336357,0.06968815763533914,,0.052969248442823955,,0.004780462726345751,0.16028858506172114,0.01182357865855286,,,,0.00647521117903208,,,0.45724138156543614,,0.01242059591393374,,Control
5,,0.0027182551192064495,,,,,0.13663592242396116,0.018359533615638954,0.0006690256588742578,0.0075030131935984925,,0.042175171284748396,0.016678074907670593,0.0008482059413087891,0.041511946426384616,,0.0053429239901773085,0.014985659132071335,0.016852743456374757,,,,0.010793613963171361,,0.004370580917944454,0.6620118465237091,,0.018543483445159874,,Control
6,0.051891249985094694,0.015570196358333947,0.0039868518105270695,,,0.09846460371457434,0.03538563877357382,0.04742998335715345,0.001940458811084102,0.09005002223020961,,0.013201422733412942,,,0.06978635576171258,,0.29209835292033415,0.003709293590374746,0.02216249686988429,0.00560993392261843,,0.059204328843569166,0.043779139886787756,0.002194381463582488,,0.10483843492510721,0.0027635514846543413,0.035933302557411013,,Control
7,0.08761302664994386,0.004673369948663605,,,0.0023010171173788447,0.008104639804733896,0.10925626023180365,0.05853909962219593,0.014352569500305433,0.013030767159459208,0.3686592265425221,0.02301974865389618,,,0.0152047450579377,,0.02822351284576767,0.006684750857267035,0.009959038108353005,0.015021782162086411,,,0.0634249355088818,,,0.09800712454434035,0.020056013947453103,0.053868371737010326,,Control
8,0.0003654926543665659,0.003880065917856115,,,,,0.18568359634109563,0.01524283783055043,0.0006429184952405988,0.04196532320520552,,0.05129743228338692,0.010578064822505898,,0.01897824452391532,,0.0031358552087265494,0.01995333586632217,0.019786531785353185,,,,0.008965386154010505,,,0.5680473506242286,,0.051477564287236016,,Control
9,0.0016128236739505434,0.008509402580922684,0.00010492941339770708,0.002077495857951353,,0.0014268269675623234,0.10403905803001363,0.003297766345738902,0.00014839256128223956,0.15956940803725217,,0.06926662223056923,,0.0021675114460945645,0.02003107828128391,0.0011838381432372777,0.006197333557182749,0.009993860830361311,,0.0003870137653541826,0.0015947140289986545,0.0012045044439470802,0.014005040659881372,0.0006253153874563864,0.0006843315245348935,0.3642105265400575,0.19316492996947035,0.03421987857376532,0.00027739714973363367,Control
