,taxa102106,taxa1263,taxa1301,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa239934,taxa292632,taxa33042,taxa375288,taxa397864,taxa447020,taxa572511,taxa816,taxa838,taxa841,condition
0,0.006570230246890422,,,0.04838603785039239,0.03354051062900954,0.01919526989464781,0.002537456472730869,0.050573911946167734,0.13004997322710574,,0.039138624759981866,0.11393614408932938,0.00872570402480159,0.05715831733212372,3.4425337730681735e-05,0.00518032055851327,0.35433051564253243,0.10783443949155375,0.022808118496488825,Control
1,,0.007835528797524343,0.009365809345132979,,0.26624941163117544,0.03376319031102593,0.0006037039695283369,0.036422325300360194,0.06840006659834355,0.010748684724443095,0.056538905784208005,0.06806759648414157,0.02651842971454514,0.030475105739475292,0.0002504740333225396,0.045354890721966114,0.2729520174791442,,0.06645385936566328,Control
2,0.023414463809752893,0.05478311628851488,0.001447564924238507,0.1456502989471097,0.11680090999215445,0.02411374302462989,0.0005276815507033631,0.023628024221497367,0.10483328425190537,0.16298481023471412,0.0795511784413387,0.009526742634226466,0.008025225605968302,0.06349683068855624,0.000933071665628838,0.005595132920749605,0.14560983486909496,0.005539532280218237,0.023538553648998102,Control
3,0.0011609380021375825,0.0044361222925941085,0.004453897315546243,,0.4546512818572304,0.033010071458863734,0.0025574223206960914,0.030897242810412152,0.014858392498896691,0.1333268485396837,0.016280939581170297,0.013357220928595554,0.0031011417344343956,0.0010582136363651233,0.001066501377128082,0.019934306568547083,0.1771373729017703,,0.08871208617592843,Control
4,0.004349792229438055,0.03921717616233285,0.00032083494524823525,0.0018690565941876615,0.020463830867723683,0.019138414372599822,0.002321940801868027,0.02522230437377372,0.07894430867119387,,0.026068650621039986,0.1315311369363161,0.03447436951792731,0.03725893036292621,0.00046944631856168364,0.015319952565219187,0.4503103661244851,0.0787508229298844,0.03396866560527409,Control
5,0.021855557172076785,0.10739937090526312,0.0022644609709967563,0.34106021835484646,0.1473298483901912,0.03508739717693153,0.0008161271073234375,0.05049049316950625,0.058369192874409025,0.07221021069149852,0.06537263710196298,0.01886241684100459,0.00629203657556489,0.02434066032385231,0.00283084851545001,0.012466127613026602,0.019627973631858985,0.002027791889921647,0.011296630694314884,Control
6,0.002578473843881249,0.06142413908007232,,,0.15068213757747848,0.003035674562110144,,0.032103234072642185,0.0233446747701319,,0.08636124222420882,0.0019408927578247733,0.03938226786799653,,,0.0029008211828948196,0.5917583752637238,0.001959184851463627,0.002528881945571469,Control
7,0.005721103624857725,0.1251356620613797,5.412239719084411e-05,0.0003368407088324904,0.3253519074889527,0.008247154606528138,,0.04958232159040087,0.025725942085779517,,0.08827688530080455,0.007368886458128595,0.013280130609959417,,,0.005733413418203763,0.3249205560526949,0.0005839521802170021,0.01968112141606979,Control
8,,0.00408037819118062,,,0.17295526105016715,0.011702245378401954,7.660779080965923e-05,0.05640329664806463,0.05425908916984718,0.034925653963014246,0.008080196602343144,8.491710145303498e-05,0.02198288930539027,0.032526492514324434,,0.004185663237015588,0.5625058773172843,,0.03623143173070376,Control
9,0.0008270886427152697,0.0069878669635178026,,0.0028668142430972087,0.2943547308439767,0.002820266142375877,,0.00042937746168876696,0.004139747141379588,,0.0006364134007401321,0.08812451915552408,,,,4.779473968680221e-06,0.5985974411537671,,0.00021095537724883108,Treat
10,,0.0012606341529625487,0.015288528985378408,,0.0029317560341139254,0.0007346773736892463,0.0003285706069740933,,0.0004744326201114401,,0.00012061545985692795,,0.002023270406407999,,,3.4554539518912656e-06,0.9768337413450052,,3.1756154838604903e-07,Treat
11,0.0015854269610278472,6.999719547390905e-05,,0.0001306975452824903,0.12593132794592232,0.002225659972045532,0.015146309441820325,0.00011951942070391954,0.015233800449679607,,0.007095469737392866,0.5451654885482228,4.226770619811241e-05,0.0068792613546443315,2.8985469249778696e-07,6.630053032783833e-06,0.2787798007513134,0.0014486535244837646,0.00013939953806339978,Treat
12,1.0053784667899733e-05,0.001369273932001036,0.002520575386124999,9.100651992221035e-06,0.4629919574738681,0.00013087217661272705,,0.0001294856981285009,0.0008205037018541598,2.9650321015011208e-08,2.994601662141622e-05,0.004001014502383008,0.00042445822144789177,,,3.340385294670183e-06,0.5243804804221446,0.0030609114554006915,0.00011799654113717917,Treat
13,0.0005984292200672712,0.001099260872766416,,0.002125604367716595,0.12846598914832974,0.00021038821998410653,0.0006454170156268788,9.557247624025963e-05,0.033020045216544426,8.743216131835825e-06,0.005829317586759079,0.13739190774486817,0.0011712651221521253,0.007990932642375593,2.3803112227599507e-08,3.962216628704102e-06,0.6812558609920075,,8.728013868899595e-05,Treat
14,0.00019938349847404858,0.0015239263330855666,0.027617112358147747,0.0011113658433943006,0.16850529652238042,0.0007293857263785803,0.0012611383258464576,6.594067388984739e-05,0.04748966745065296,9.445077608693843e-06,0.0018304119853249517,0.01407284513695713,0.0012302467100639165,0.005363890729261459,6.564411149494329e-08,1.7037428663654394e-06,0.7278810153530783,0.0010695514125841105,3.760747589371676e-05,Treat
15,3.4159641818005693e-05,0.000126162603376167,0.0026041695198975845,5.0575672975687055e-05,0.02163048519604882,0.00011382717716410941,,6.241770919708453e-05,0.018271663859732876,,0.0005784502176515903,0.0007753322749820112,0.0005971895129388968,0.0012336680423021434,,3.2663806360828245e-07,0.953362240215759,0.000506601359664802,5.273035842750763e-05,Treat
16,0.00019844576320484053,0.0012060820280594875,,0.0013325356245854432,0.1504019549232393,5.613556077122749e-05,,9.775619634083751e-05,0.03049892261206193,8.699919301981404e-07,0.011110603530580656,0.016321298566643872,0.0021661076427295987,0.0103358803754224,,4.950177904815886e-06,0.7762407058615088,,2.7751145016644295e-05,Treat
17,,0.00021446172038950385,0.0029381189814468153,2.158511927836707e-06,0.062197718080740705,3.81250420025134e-05,0.00013047630654319318,7.639833351556991e-05,0.003154748836374221,,0.0006593900998692353,0.0018243043951575635,0.0003513693332168885,,1.3382374481607117e-09,4.4991338487912616e-07,0.9283806831952521,,3.159591194145042e-05,Treat
