,taxa102106,taxa1263,taxa1678,taxa1730,taxa189330,taxa216851,taxa239759,taxa283168,taxa292632,taxa33042,taxa375288,taxa459786,taxa572511,taxa816,taxa841,condition
0,0.028282365700326367,0.0038862244068651685,,0.5459958691723215,0.03902703653019468,0.07150610192987035,0.007872493350410598,,0.07017180007549428,0.03049458646646968,0.002617794573269584,,0.026290692553246738,0.17074904581118022,0.003105989430350905,Control
1,0.009081394883094241,0.17750069474926466,0.004469209497150186,0.3871818038044594,0.010607262473175243,0.06194293600006937,0.02005275552217272,,0.07304333624997261,0.008475218407283694,0.007555217597947258,0.00029761695840630094,0.008756524758881744,0.2085269787759777,0.022509050322144803,Control
2,0.018327163798431394,0.030679018793687274,0.05031652869540996,0.060355352153135054,0.0014333015607726394,0.002681217846603819,0.08523941494964268,0.010345668050731642,0.04359355822212939,0.009668052907842166,0.049577571836454004,0.004549215914135743,0.004584171171406438,0.6205211026384283,0.008128661461189601,Control
3,0.003250636247837017,0.12166897701955541,,0.1683179276177826,0.01656247739010546,0.43579914140772125,,,0.04107585480894981,0.15636866141064987,0.0015732883427059,0.00016199854316612604,0.04533768481021525,,0.009883352401311322,Control
4,,0.011627700830138742,0.01236403790509703,0.052176093331923926,0.0016902161677174313,0.06933258722108601,0.12672569004607973,0.003919355361151076,0.05153613056999875,0.09301374207061346,0.028073050929492267,0.008046388702531155,0.006804186457502859,0.4994748732971038,0.03521594710956373,Control
5,0.006577914343699701,0.02957965406377797,0.07052074787493187,0.16529730974040993,0.012354059573614748,0.03347830387772611,0.19311836703374483,0.013507008707425858,0.10324680331185437,0.04476619807116979,0.03845133165870108,0.0012856988586588064,0.03441821605698015,0.2256377594641177,0.02776062736318719,Control
6,0.013857040288701782,0.04963186835016046,0.014345533856193027,0.0025590214588167327,0.0009521838219622582,0.00948924271534379,0.19633358743925114,0.0012538842975932227,0.506119284619773,,0.04462675733118986,0.03444280235293447,0.009567603624620077,0.11465166819839925,0.0021695216450610785,Control
7,0.004782229536728372,0.08177674026370485,,0.16653187388734425,0.0039861793060443395,0.042473200217360646,0.020864972050306324,,0.0009797991426902584,0.0005226348075983937,0.010633092472916519,,0.005183218728382475,0.6622563000338544,9.759553069168059e-06,Treat
8,0.00021830727886209728,0.0005449201619304916,2.372461872811765e-06,0.0006787392680995317,1.9325827860537418e-05,0.0007235231986367726,0.015492367725978421,0.9526290533005703,1.057915981392818e-05,,0.0033097195458295756,0.010276338578519102,9.028805179298924e-05,0.0160009757866521,3.489653581371576e-06,Treat
9,0.03225163331493985,0.17607722401324222,0.0004433573274637478,0.16103382382337222,0.01385378668699075,0.02105762643137595,0.2361990916327266,,0.0019568024400648423,0.0006434241527616217,0.020139363196454315,0.038069130434944996,0.00645893227185262,0.291670448427031,0.00014535584677925826,Treat
10,0.0027883198838988955,0.0019302674276186554,,0.005051787104645793,0.0014956435000005987,0.00550908706327001,0.03261022429621635,0.8512104474267583,3.197015576928766e-05,0.0008766173961096706,0.00808153303354423,,0.003267036094028929,0.08711470322564396,3.236339249518945e-05,Treat
11,0.002162079897616403,0.02328471518375299,,0.30755341818394716,0.0032713573693423765,0.04255572196709486,0.06645639165076085,,0.0005188313953898203,0.00019639217026518407,0.025511015276348095,0.025388154136198014,0.001922410560241939,0.5010605909500161,0.00011892125902631927,Treat
12,,0.011450645744886164,5.982671387767486e-06,0.019342324145193886,0.00023031837977241043,0.02463072552125457,0.05730417868584102,0.7484048448745823,0.00029571575263447525,0.0038893301428432033,0.007020781911335323,0.0171872221854104,0.0009752518316198141,0.10921952932469713,4.31488285415157e-05,Treat
13,,0.009112175281299977,1.6615424864409648e-05,0.024712537836485846,0.0010062813279549424,0.007454964687079175,0.0012205508872597914,0.933204117519708,0.00021528783333265013,0.0001680782336894624,0.002058966017917394,0.0019476268108180445,0.0008492120532650518,0.018027909663434837,5.676422890643433e-06,Treat
