,taxa102106,taxa1263,taxa1301,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa283168,taxa292632,taxa33042,taxa375288,taxa397864,taxa447020,taxa561,taxa572511,taxa61170,taxa816,taxa838,taxa841,condition
0,0.027790328258821488,0.00712253656228309,0.00231764230226341,0.00048816224375045433,0.008597356654898513,0.08719896067764046,0.05565489043548823,0.00825101088779965,0.021612997325678576,0.03807071629910782,0.00046749552102233287,0.13310557179595722,0.11822339349487584,0.0088320546095581,0.04142882119389045,0.0004944572799837327,,0.05110714246688455,0.014448295898059372,0.19889463914714375,0.07065524913377927,0.10523827781111378,Control
1,0.032693974463280595,,0.0012334445791201067,,0.0053291713019077815,0.12916355344502187,0.08209529502271962,0.01087541025343008,0.00214632418461266,0.11249550312429088,0.000611685788765836,0.108219679988488,0.05282813356135953,0.03015402837044293,0.10642181524344013,0.0033119143684172663,0.0005342011611624909,0.07666982139793338,0.0009041349118058899,0.19400822443975846,0.038009530609195215,0.012294153784847328,Control
2,,0.005239664401712839,,,,0.1971628264603371,0.010460122289255195,,0.03472633264027175,0.08422385415103707,,0.01599319007042318,0.0047834831618294195,0.012546841080208312,0.02849578188870282,0.0011251197223735515,,0.006841657464871711,,0.5520599463957861,,0.04634118027319091,Control
3,0.00036391529751121903,8.621800033043257e-05,0.0007236452552005725,9.186820908995121e-05,0.006039863896934333,0.0031769868252826752,0.0007936450637212757,,0.04679178530797142,0.1681972977562707,0.02972679461878303,0.027633392273381383,,0.07246005590149134,0.0224360372825886,,0.006769577894876612,0.0003305372124318404,,0.6046958047932395,,0.009682574410895109,Control
4,0.011081053869470931,0.15268851606097605,,0.00030429762904412005,,0.2536638119385456,0.02383640910398812,,0.06974201142061606,0.0029118329051326325,,0.3300285132091441,0.010518864766433423,0.0024753697287744217,,,0.004632233776627959,0.01403060455260735,,0.11747912361873968,,0.006607357419899552,Control
5,0.0007527148629410415,0.008866261938037084,0.00016218838077225787,,,0.29139049106796105,0.014077038937704123,,0.13078923169093606,,,0.006027150530479846,0.003977037253899771,0.0002282369645026884,,,0.0012756719058329698,0.0080323985684404,,,0.5036910620949024,0.030730515803590198,Control
6,0.018236257642610523,0.057776014376903585,0.000608562341268019,,0.033521315114125615,0.054771592266285064,0.0027123558113504725,,0.03178996615935325,0.15314285913712183,0.024329515349894443,0.123937319823831,0.005816896242629225,0.0960855590664828,0.13593952155439468,0.0003192225757870057,,0.013829960920045918,0.0006171781880350754,0.235928059206354,,0.010637844223527345,Control
7,0.004260294689197966,0.038410277667747864,0.0003142337245672901,8.910778446920365e-05,0.001830600511936826,0.02004278488898573,0.018744639010445447,0.0022741665682060354,0.02470335218443404,0.0773200192639412,0.01962026273753581,0.02553228474770659,0.12882486670549556,0.033765054886230286,0.03649232303007678,0.0004597873995674162,,0.015004742550841305,0.0008657593967063221,0.4410451718377313,0.0771305145168966,0.03326975589728032,Control
8,,0.009352558473569495,0.03780270071858455,,0.06094799022808874,0.19236000953312746,0.03450677685965478,0.007867564263167176,0.1542069937246321,0.009422849338764604,,0.35708670907966594,0.007540603512583776,,,,,0.03312055441606633,,0.031413523096644136,,0.06437116675545114,Control
9,,3.2874323200606632e-06,,,,0.038950991101962575,0.0003018938933950428,0.06778442860672808,0.7145307750243663,0.009302953905543575,,0.0029683778897277883,9.112359932286085e-06,0.0003471020837139747,0.005373213183715494,,,0.0025561684308736264,,0.15777943084498477,,9.22652427365744e-05,Treat
10,,0.00013083619601853507,,0.010763321999895535,0.0003820947827294309,0.007117462779954869,,,0.6703179173549277,0.10894433975531531,0.06747015365047336,0.010284614389605729,,0.002085606913114902,0.03558046569591871,0.0010733003133734697,0.0021002818661233972,0.002107939403161967,,0.0811829664525602,,0.0004586984468268475,Treat
