,taxa100883,taxa1017280,taxa102106,taxa117563,taxa1253,taxa1263,taxa1301,taxa1348911,taxa1350,taxa1357,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa32207,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa46255,taxa547,taxa561,taxa570,taxa572511,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa84111,taxa846,taxa848,taxa872,taxa904,taxa906,taxa946234,condition
0,,,0.004630247940912409,,,0.08571737202816006,0.007911177218918129,,,,,0.007961690629451495,,0.006477706544617385,0.2248257537128189,0.06180232514893961,,0.004458835400553029,0.07800702724804381,0.002300969113658393,0.05751579043662349,0.03128045722740882,,,0.050289930323688815,0.007804044381193513,6.472377657352326e-05,,0.011261159994400227,,0.020373557217650294,0.01453787056998777,,,4.2520079635779436e-05,0.0019196206187526426,,,,,0.02095329574469479,0.0007720225425253531,,0.010122554415432724,0.1714369644260139,0.07546947774351376,0.042062905515831285,,,,,,,,Control
1,,0.00012882208511057726,0.00035672230255938506,,,8.451385201521948e-05,0.0007093419909432742,0.003975330570701325,,,,9.005238115213921e-05,,0.005920482516658408,0.003114191855264695,0.0007779582130284463,,,0.045866918785983125,,0.16487278152420526,,,0.029139227442878536,0.027087202397649786,0.0021664879807250987,,,,0.00012636051660527958,0.07102784126288311,0.02199257611451873,,0.0020814613019379423,,0.0100222761693194,,,0.006635773298156153,,0.00032400395450980383,2.4820815761751348e-05,,0.0009180624871216377,0.5927436447685874,,0.009491192764301432,,,,,,,0.00032195264742205566,Control
2,,,0.004981794714033345,0.00011351680939432366,,0.03807681281974317,0.0016032866324884446,,,,,0.011576059194258572,,0.027768579277384745,0.12886149389227566,0.018224426715218518,,0.0005818566282697349,0.01798267795447135,0.06087200603564229,0.17566670933689038,0.04223002333733003,,0.010577531704215909,0.04573466120709084,0.0035743411737748742,0.0009754036955364107,,0.0045850390819787215,0.0013648570766943244,0.03073893578986955,0.03936101321607837,,,0.0014229431633727065,0.020420855272817076,,,0.0007908559001468086,,0.013335791020200792,0.0004185517445796554,,0.003226820415190497,0.2481603583148131,0.026723804198329582,0.019341449822085088,,0.0003833681720773212,,0.0003241756837479224,,,,Control
3,,,0.0004968142524115841,,,,0.004114532976678621,,,,,,,,0.34690856487949195,0.005660329613904051,,,0.009175564583216915,,0.015425175788107455,0.029254261985169377,,,0.08359247735499128,,,,0.000423114515052565,,0.008461973993165643,0.0028246294189529578,0.24315852402305674,,,,,,,,0.0034695811978157883,,,,0.24578177075480553,,0.0012526846631795477,,,,,,,,Control
4,,,,,,0.09156348618626008,0.004450345243799611,,,,,0.00013732856170265329,,0.032240512927801994,0.24832337471187083,0.010111595050281887,,5.215008672252659e-05,0.0749110432001093,,0.012264677846418201,,,0.009812703474811406,0.2205355588945245,,,,0.01238605461688808,0.002054917927011557,0.020689473228906366,0.001883436171259249,0.05062249820184457,,0.00020880485703411614,0.0025504460059475632,,,0.0051229791074481985,,0.008533288013885422,,0.0001142189154295337,0.0002690330944450342,0.18115304046253652,,0.010009033213060917,,,,,,,,Control
5,,,0.006404331756487045,,,0.03022525934030113,0.00023862528413000345,,,,,,,,0.01376438461515939,0.02827282628957691,,,0.09123476628873756,0.007189135668965734,,,,,0.11726407571985294,,,0.47040046104942423,0.01953396823599797,,0.013597249319015167,,,,,,,,,,0.013289939967929544,,,,,0.18103436496883235,0.007550611495590068,,,,,,,,Control
6,,,,,,0.0018515476006391422,,,,,,,,,0.1271177226689346,0.02375914498608319,,0.0016232249626307925,0.08959972263027678,,0.03036046788825318,0.01889540970826246,,,0.04346385173444668,,,,0.006433302407092417,,0.016715774154682745,0.017535641687284158,0.05527703146745013,,,0.0034460812264831713,,,,,0.00834213200994794,5.818804443069944e-05,,0.013714156970001548,0.5149178843874027,,0.026888715465697644,,,,,,,,Control
7,,,,,,0.0044647352948868685,0.0034598792589517423,,,,,,,,0.30581773366485165,0.03001882151069303,,0.002817264404698454,0.02474713511315503,,0.025124607459322518,0.10773643952892012,,,0.01814452551365349,,,,0.015083161657066526,,0.010370418914140223,0.007997964635440577,0.15997833166441858,,0.0005709682581530068,,,,,,0.01890387922728695,,,,0.2389669502769617,,0.025797183617399563,,,,,,,,Control
8,,,0.003926427730412627,,,0.026218041430973952,,0.00045364113877660025,,,,,0.0006444740148201143,0.03150663175223614,0.13240786272755117,0.008429587935231655,,,0.05525190042902288,0.0088448146638956,0.09636884690473825,0.009679088909326092,,,0.13648371425213857,,,,0.030447963654185214,0.0017672693942687768,0.02114134995259125,0.07455638068515198,,0.007375670006173156,0.00048255521090440534,0.002582439699186255,,,,,0.021950737443083165,,,,0.252290768996597,,0.06816544136401723,,0.0014331053321059997,,0.00029017336671118753,0.007301113005900745,,,Control
9,,,,,,0.007582150138686418,0.009062945776875622,,,,,,,,0.2576396648509953,0.0326713850097934,,0.0005841819045743352,0.03524453115591398,,0.06618820348266094,0.010401102909593334,,,0.0547105987879664,,,,0.06586648450393649,,0.025660899313063857,0.029489627717538613,0.03217896418198735,,0.00024237441729444936,,,,,,0.04388824288238401,,,,0.26412552753786256,,0.06430493104240885,0.00015818438646414084,,,,,,,Control
10,,,,,,0.019118764907866112,0.0031681798843865364,,,0.0005330034700169167,,,,0.008905805473392167,0.037728116815165635,0.0007716301417646075,,,0.04394823807421119,,0.1752913019721229,0.05929343519577065,,0.00800795623867103,0.08024005823015022,0.0025035133669245486,,0.002422559747400512,0.0272602996594504,0.0002554626050733623,0.021943471589614547,,,0.02327492171795073,,0.009415520915874772,,,,,0.0033516613134447525,,0.00041111937785681603,0.007626274540641136,0.455217425493434,,0.009311279268816423,,,,,,,,Control
11,,,0.02258879835064231,,,0.240848257438036,0.0013218023448485605,,,,,0.0031814964420201807,,7.199804165326703e-05,0.21926824866959366,0.016908306051522208,,0.0002783924277259659,0.055948197357968035,,0.031819355790118256,,9.773351186124334e-05,,0.1158565933815111,,,,0.014113148037267003,0.0018560176014276238,0.01757763252669315,,,,0.0022478707728085965,0.00014910232739541823,,,0.01368422353380073,,0.011206061152583458,0.00038644055264675534,,,0.2277844425610347,,0.002179957726426437,0.0006259234004154236,,,,,,,Control
