,taxa102106,taxa1263,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa239934,taxa292632,taxa33042,taxa35832,taxa375288,taxa397864,taxa459786,taxa572511,taxa816,taxa841,condition
0,0.011369325910769197,0.07565997789595215,0.0372554882594055,0.03928528239816284,0.008451399070715503,,0.007173768258851998,0.13408385219286714,0.0907931286131906,0.18220738458095262,0.05690390514872702,0.0027290136384502135,0.04545420088211636,0.12660553660072954,,0.014590115507788456,0.15929594335973105,0.008141677681589807,Control
1,0.0018008871417520543,0.009513509473150671,0.04037605115328869,0.16555843976631257,0.0041952145296994345,,0.032577735475364765,0.16181778697540744,0.003994305096620077,0.04216842424641824,0.03185802193661214,,0.09907676752755126,0.04482889858286424,0.0007817444644309586,0.024187527560085964,0.30414724837005724,0.033117437700384215,Control
2,0.0032570046662671204,0.05370302644643538,0.020363459509553688,0.10166911649413626,0.0032553026584723494,0.0003355082865440753,0.09493288876889733,0.09115187845281535,5.6591759176109084e-05,0.03240899417509108,0.041573774272492724,0.002112617175258509,0.017704391456686775,0.0015464868325230712,0.0024732300767754452,0.035258367974510735,0.4428177504945928,0.05537961049977119,Control
3,0.013515421491876197,0.04840828966403857,0.013991872185759034,0.0024959336844003867,0.0009287095529381035,0.00030239793534464525,0.009255303604850997,0.19149335875260046,0.004787093120901906,0.4936418827027846,,0.0012589388026861498,0.04352657007416509,0.019527627664112434,0.033593681007108224,0.009331732675943415,0.11182515083769577,0.0021160362427939637,Control
4,0.014745998983288362,0.11537231424414898,0.10128425732919209,0.23769611529253493,0.03452367582332391,0.0004998080309771757,0.032625711217330544,0.08459945431885188,0.028424593214435214,0.0934053357653367,0.00659307339674999,,0.008610707003984454,0.05230093334697813,0.0041960130752630165,0.014252720510910654,0.12060807048694124,0.05026121795975274,Control
5,6.255003123987515e-05,0.009396560872776748,,0.08096393714595353,0.001198289924314462,,0.02510575523540247,0.00931292656134366,,0.07220894079905607,0.00014176668396581653,0.000718672750585917,0.008811020291410855,,0.007092751856997978,0.0004205811891875394,0.7806655544206857,0.0039006922370792775,Control
6,,0.004490176027853745,,0.18320215485979008,0.023602144709380282,0.0010808699920442449,0.033126966442809075,0.03109062011889783,0.01256983848213576,0.017905386501802498,0.0024228263603592952,,0.022461073019350863,0.029597363186863415,7.931334813919951e-05,0.013318059585665799,0.547315190077571,0.07773801728733698,Control
7,5.4948048550156974e-05,0.00047212705892464015,5.906287555339389e-05,0.0009288235420450932,2.427831702090016e-07,6.67709397929421e-07,7.135495762449736e-08,0.0007937096701206423,0.9880517013585552,0.008585871339452126,0.00014878407342827301,,3.388531447293149e-06,0.00048250481188681594,7.000901640296347e-05,1.3862984131905645e-07,0.00022285520110044418,0.00012509399516568627,Treat
8,0.0003873752408633394,0.02141368771352589,,0.2828401722007656,3.311403493444526e-05,,6.767887366305851e-05,0.03697950357249241,,0.6225156832615986,0.0013245427048036947,0.0013431305394069747,0.00010419745685726417,,0.0030427186475201454,3.4741226961237867e-06,0.010753741027028245,0.019190980603844107,Treat
9,0.0003003992938959686,0.0036180149668858914,0.0003169763375641209,0.002943002549398662,5.674358531783086e-06,,7.130555728546752e-07,0.00543524620418702,0.8599284056138983,0.12000288785945967,0.0010434593392815623,0.0002812977934065928,1.610742346962149e-05,0.005314374390609517,3.9886344978222154e-05,2.521332805441874e-06,0.000429045564039698,0.0003219875720150999,Treat
10,0.0004055928424769119,0.3354922040537781,0.0005021250240295377,0.04592487938535451,6.519148298980384e-05,0.0002574776885609579,0.00041837486488189435,0.002132193726177208,,0.3788979190523966,0.002999553864677657,,0.0001727476826048978,,,2.243232745420718e-05,0.0014555792071258274,0.23125372879749187,Treat
11,0.001039392375040255,0.10035860553572962,1.8220080748282862e-05,0.25886374258678174,7.32360909127537e-05,,4.7449458370900093e-05,0.004208369128663553,,0.6267752798457622,0.005220269291389117,4.4100335211178295e-05,1.2673979562034106e-05,,,8.521732127881513e-06,0.002585703202758025,0.0007444363569426198,Treat
12,8.600923679309245e-05,0.004085436180931192,6.326892562646865e-05,0.003923898566619614,3.7039662526068724e-06,2.398920601829048e-05,6.420626345679114e-07,0.0009066162742215638,0.9602125200992099,0.02935349803642276,0.00017947407273765853,6.211736422011253e-07,8.291772069539832e-07,0.0005352330154000116,7.386261092349007e-05,4.767012452356176e-07,2.1425431136122577e-05,0.0005284952629782564,Treat
13,,0.0009497593274227397,,0.03185158243490567,4.225393204597152e-05,0.0008982518972602733,7.607682363485598e-06,0.002297889975994656,0.9133577816411688,0.03398560982216082,0.0032304535743307816,,8.751235678750095e-06,0.0016203569213213266,,5.55098860920564e-06,0.001471884954042005,0.010272265612695473,Treat
