,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa561,taxa570,taxa572511,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa84111,taxa872,taxa946234,condition
0,0.019685503942990387,0.00018025098902250521,0.001909298121512222,0.0007141921454583563,,0.017070083051691165,0.02532421598679557,0.034227566873640924,0.024366056223636984,0.003280987188556159,0.008437003851292934,,0.07167261390133356,,0.008865414341481307,0.26399014907385576,,0.18104535093924387,,0.006225575728994734,0.09681154863894784,,,0.0026965338363593495,,0.0006006969006261627,,0.017328407870261207,,0.0005506038932117687,,0.1409709450077288,0.035040792265975014,0.03900620922738348,,,,Control
1,0.00017466536554799542,0.004094415231791364,0.007856703157830398,,,,,0.3701165167759202,0.026931152802544243,0.003325017332451033,0.012898015159860806,,0.01142105049579766,0.03723681415635465,,0.031421955193577496,,0.00949244531815357,,0.004394969192207091,0.0049922316414911395,0.3374482240145043,,,,,,0.02127405936983044,,,,0.09012186400530348,,0.026799900786834075,,,,Control
2,,0.008442541151924807,0.03412444384843717,,,,0.055017663571085375,0.17364310536603986,0.0311492180969744,0.007102039003007825,0.13920243258719073,,0.008505992615360313,,,0.32234166134647907,,0.006806892001290007,,,,0.09730143085621011,,,,,,0.029897877080632098,,,,0.02835694235110605,,0.05810776012426201,,,,Control
3,,0.015440446996295501,6.72335832891604e-05,,0.007103586584333409,,,0.0038199482561198403,0.0018731879016544138,,0.05071968510990196,,0.0006417845601141496,,0.0019567362802703097,0.004145101087822751,1.0495505273887484e-05,0.00026924608083804427,6.848057401477081e-05,0.010165364479282131,,,,,0.00014548225132121262,0.041901694109641854,0.0026328130853387455,0.0017816379992158504,0.0001246990725610394,0.00017696876714287508,7.897607928865828e-05,0.02789840392461234,0.8061140370940252,0.022418607096811267,,,0.00044538352083051244,Control
4,0.03784169075782205,0.2568665490181292,0.006473328325190614,,0.004488993342595496,,0.003414162491718125,0.3646759368410497,0.03135054526740872,0.00025720942586049655,0.03200843373444054,,,,,0.17927693799999414,,0.018177237701287347,,0.0028432880874018967,,,,0.002510666473854553,,0.00023504155750200028,,0.023769859405992282,,,,0.002642741390476435,,0.03112897017199365,0.002038408007282662,,,Control
5,0.00023822717028280447,0.0186312406794376,0.002578138410994516,,0.0011754019654850987,,,0.10768231186458044,0.0026324001458006762,,0.140049739251184,,0.07349802408615876,,0.004984716950417885,0.00918495848573854,,0.0030661914495205495,,0.01754146736237338,0.009062314862087448,,,0.00013777236012121546,0.0037846047153649257,0.004488494394197989,,0.0036831413227719958,,0.00013222515674883855,,0.5715576123465013,,0.025441996121798836,8.552779017773845e-05,0.0003634931082553884,,Control
6,0.008000577925433192,0.07351803038725332,,,,0.0011397744812944044,0.040100481528954915,0.0715429022038457,0.00402713446473985,,0.009432818950842742,0.03038282201153914,0.13243437485636886,0.033907260281002834,0.012476717581402676,0.1629784759875486,,0.030221130676896194,0.0012512786394101865,0.03202209802184204,0.07933149856435821,,0.008494720659412095,0.0015741460399432217,0.00016797761342765636,,,0.027777726250902496,,,,0.23593125655293035,,0.0032867963206513326,,,,Control
7,,,0.0005827171651928585,,0.0031756170659334093,,3.557577988811467e-05,0.005180256832943294,0.013046434656816173,,0.14271531484917935,,,,,0.029548355900101998,0.0012717585450654932,0.0047561693491778925,,0.007036143480647632,,0.010394577727082573,,,,0.16301668907201736,0.00013615546353779867,0.012782085448185787,,0.000357773423803986,0.0025716350578045954,0.5194507301147767,,0.08299849604146382,0.0001837242117168075,,0.0007597898146642962,Control
8,0.013467526097133507,0.1053695754848934,0.008959592976229044,,0.0024889264188561193,,0.09250294811192893,0.21708794633156858,0.031530485363963336,0.00045647485181373387,0.029797073616707716,0.055435130044372394,0.07726471160981441,0.025960191055868616,,0.0853071262555227,0.0014065063605054056,0.006021456269709197,,0.00786416175820668,0.04776646096023225,,,0.0002486215760591192,0.0038322202286234235,0.0021093258354357193,,0.013017014693502615,,,0.008537380844883988,0.11015139351688609,0.007514161563039285,0.045903588174243705,,,,Control
9,0.0010396771075345823,0.013552474946381942,,,0.0003837150265352823,,0.0015321666421319723,0.03865514513264637,0.0004580960710958472,,0.08620555875030313,,0.23211754857066674,0.05615882818569196,0.003266653869259464,0.2101564933667751,0.0001424428081765694,2.7245424400318363e-05,0.0011890607652732098,0.1621113111295901,0.016250911504478865,,,0.0009724441020752414,0.0038728904608589442,0.0005892470493878739,,0.0039084234668258985,7.666012949139006e-05,,,0.1343157985027862,,0.030066517165601523,,0.002950689822031438,,Control
