,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa40544,taxa447020,taxa459786,taxa547,taxa561,taxa572511,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa904,taxa946234,condition
0,0.01081717599698379,0.03912670147040173,0.005892218854582679,,0.005765069611783921,,0.025634430505120046,0.2937104370655465,0.019379528950340404,0.0018573064117728768,0.021204266175238615,0.06123125761924852,0.10996414369784079,0.01760547887057825,,0.001253913694674442,0.06330242064549971,0.0010492239043164745,0.003414911597305082,,0.013084724749389811,0.05901741567168878,,0.00026357315470752014,0.011474059828949218,,,0.0074443239456426745,,,0.0038333501571517184,0.19415980556842502,0.008311289817448629,0.02006682506938746,,,0.0011361469659753373,,,Control
1,0.001540594455719776,0.036002582091824706,0.001507006720739219,,0.005437188090344345,,0.00010603731208737919,0.038305840199272426,0.00463038848934443,,0.04289528496209096,,0.03926031480035214,,0.0006749469223572316,0.007304499604511358,0.011268129916803734,0.0030288642168624026,0.0035182458430667207,0.00866979939378302,0.032914453565719745,0.04515648900466634,0.0035725136297501837,0.00013157509405606736,0.002417622957133584,0.015132384947087518,0.053723998478281285,0.05771358294942229,0.001711725353368648,0.0005648846337639178,0.004973621830695331,0.5490345538681342,0.026493089323527747,0.001746007049815746,0.00014489915421364382,0.00017182485911541284,,,0.0002470502820883965,Control
2,0.0002636252318367027,0.006179766442707413,0.011858247826962875,,,,,0.5586227826880396,0.04064761997277299,0.005018501878597067,0.019467180720594984,,0.01723797431349378,0.05620211960184955,,,0.04742565989931839,,0.014327099650490378,,0.00663339734569409,0.00753485511991206,,,,,,0.032109278309890396,,,,0.13602237179313878,,0.04044951920470103,,,,,,Control
3,0.012154387358036317,0.008414105625166556,,,,0.0002004887989446518,,0.022020922948890794,0.006519564183976398,0.002097102475782818,0.024014310030490874,0.10639790322908192,0.14214914874631815,,,0.0038827479336702234,0.01420672954382219,,0.028023464338689512,,0.035227695180767335,0.040300113599958214,,0.002142069989344564,,0.00028586490764252926,0.002278008647853807,0.014241128655579102,,,,0.37973614637941067,0.1298866942992383,0.024754927051088487,,0.0010664760762466672,,,,Control
4,0.009124637485255549,0.01136070441239414,,0.0007069665960356589,,0.001659816588815685,0.04083737601780644,0.040309016965021434,0.007960008496038447,5.069012690050399e-05,0.017007107709470733,0.0108538031433891,0.11683193133840905,0.02767504705422465,,0.014148454070339444,0.06927028711654966,,0.01261261578780802,0.0009140808568683928,0.07946978334583656,0.056970830578979725,0.01363440020674108,,0.00027480475749128044,,,0.02626857743912028,,,,0.42243016346581147,,0.00852889891818562,,,0.0004701016881263509,0.010629895834380737,,Control
5,0.019639093342254936,0.0001798260287721646,0.001904796754767481,0.0007125083640013383,,0.017029838574774175,0.025264511542321854,0.0341468718634995,0.024308610739377727,0.003273251923720308,0.00841711274673804,,0.07150363834058215,,,0.008844513215122115,0.26336776513884236,,0.18061851789896288,,0.0062108982937437275,0.09658330545332887,,0.0026901764804282365,,,0.0005992806958849115,0.0172875543660087,,0.0005493057878889261,,0.14063859150217464,0.0349581799933088,0.03891424807627969,,0.002357602877216461,,,,Control
6,0.016595905005239848,0.1535797168900329,0.0007377998136240207,,0.0013690086085439562,,0.031181672254779972,0.14750719489376254,0.012650243206933273,0.0009018022325013958,0.013957196846172274,0.31434535701131444,0.05632681017405997,0.05943546863638427,,,0.08622052520877593,0.00036747517537388645,0.006746789341320271,5.118479611037765e-05,0.00701833259986048,0.020120479511834245,,,0.002776643269410383,,,0.009119336560613882,,8.432299400451905e-05,0.0005969097047428783,0.03451248328578953,0.0031467568363363506,0.019867193922834436,,0.0004553863818892361,0.0003280048377547499,,,Control
7,,,,,,,,0.010911097569316802,0.001668306353409009,,0.010574687989413429,,0.0040236900122103455,0.01791711636651204,,0.0022483442470138996,0.009114777865324167,0.0030149778719779697,,,0.010783704138106464,0.009377623679597564,,,0.006396224773672602,,,0.01700314857049692,4.597735351873468e-05,,0.00045440090061886555,0.8902207512224293,,0.006245171086381839,,,,,,Control
8,,0.010066226541160508,0.0076555758270239836,,,,0.010703681521767979,0.045169409084772044,0.0014632384420895693,0.0005483682237231571,0.06002197165610204,,0.10970780236126065,0.00022975613077289684,,0.003393028384287035,0.044615386390728526,0.03405087407725391,0.08052300388542889,,0.024303144231690197,,0.06766681552925265,,0.006965845845291384,,,0.005890457908238333,,0.0003218432188476189,0.023815936605309902,0.4324008073198849,,0.030486826815113825,,,,,,Control
9,0.013919100920247745,0.02330007869303045,,,0.052612044599466105,,0.03821436031078066,0.04583863858784747,0.0010885628181732353,3.295231913050502e-05,0.002036329363697949,0.07212270989129453,0.06473756835023751,0.08028992669296932,,0.007857320383519543,0.03310840362644921,,0.007342685731769774,,0.03765313789750154,0.02381223417343498,,0.00032229227488142845,0.0034550351660125444,,0.009191631061289868,0.003481582959167842,,,,0.47127291193342924,0.0009913586416785479,0.0061735498448761824,,,0.0011455837591137954,,,Control
