,taxa100883,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa1348911,taxa1350,taxa1357,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa46255,taxa547,taxa561,taxa570,taxa572511,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa84111,taxa846,taxa848,taxa872,taxa904,taxa906,taxa946234,condition
0,,0.00012882208511057726,0.0003567223025593851,,8.451385201521948e-05,0.0007093419909432741,0.003975330570701325,,,9.005238115213919e-05,,0.005920482516658408,0.003114191855264695,0.0007779582130284463,,0.045866918785983125,,0.16487278152420526,,,0.029139227442878536,0.027087202397649782,0.0021664879807250983,,,0.00012636051660527958,0.07102784126288311,0.02199257611451873,,0.0020814613019379423,,0.0100222761693194,,,0.006635773298156153,,0.00032400395450980383,2.4820815761751348e-05,,0.0009180624871216377,0.5927436447685874,,0.009491192764301432,,,,,,,0.00032195264742205566,Control
1,,,0.0015961757568735452,,0.008421566674970857,0.00010384630914930263,,,,0.002056051493431167,,0.0014120989489804666,0.10296514422354641,0.003263726083588793,0.00014686082095936913,0.15792229786895778,,0.06855163707644281,,0.0007018323654892465,0.002145137921077016,0.019824313130464392,0.001171618308199188,,0.006133363331035362,0.006507948038048023,0.009890702023189668,,0.000602730303966054,,0.00038301892501463596,0.0015782530436193505,,,0.0011920712868539747,0.00014485769418390033,0.013860477581268698,0.0010442616163693834,0.000618860745894829,0.0006772677055584975,0.36045106619585454,0.19117103950998884,0.03386665353740065,0.0001351583434816304,0.00027453379596424773,,0.00032608795350131276,,0.0004833861192381245,0.0003759552674379829,Control
2,,0.00013618850107966778,0.0009880695049429905,,0.017861273736975356,0.0011948825961779275,,,,0.005692139539345486,,0.008552772819249295,0.10814862697587192,0.008687274427252006,0.00013877507046433532,0.012037893916242612,0.001795753910190037,0.25927321673753306,0.014095341172437926,,0.01445802318398369,0.058957700256418985,0.0001628414116955896,,0.0021290839821967557,0.0008834821341716518,0.06189683029417053,0.11056639459330528,,,,0.0021330200660429886,,,0.005842273023194665,,0.0010969303381759537,0.0011464125351000275,,0.001416765265567015,0.2602437425544757,0.01816547678851995,0.020562326931799026,,0.0016641762501873856,,7.231148323222658e-05,,,,Control
3,0.0008574661379180597,,0.006491951159744191,0.0008288054576486247,0.04459008164404213,0.46784056718667383,,,0.0008689304100258336,0.019808829168219976,0.21159873164206658,0.02170043406600268,0.0010153045985447334,0.007546152395797446,0.0017518840814692122,0.0012091736286529828,2.4566297373801397e-05,0.0,,,,3.285742273745937e-05,0.0710169689651918,,0.0033455202640221868,0.0,0.00015630306704081138,,1.473977842428084e-05,,,,0.002318341955080116,0.03256897346246198,0.006028774094675645,0.0008485608551200566,0.06875574365150577,,,0.02180248655967635,0.0034381556770358953,7.881687074094614e-05,7.40059708385767e-05,0.002040128637321815,,0.00037013221376527454,,,0.0009766126801809966,,Control
4,,,0.0052985930338210535,,0.027508633642154633,,,,,,0.002082156157928523,0.03454775911816295,0.25086796555255003,0.0020518895850882325,,0.028793940468514276,0.019898328855721084,0.09386308424966404,0.010801689938184613,,0.016816251022774984,0.06410910036088797,,,0.002184101337393962,0.0011973701620263714,0.028270717315731275,0.06639893019935242,,0.002314983814541165,,0.002743317171392445,,,,,0.00629227734078709,,,,0.2801672350851748,,0.01642258107198066,,,,,0.037369094516167364,,,Control
5,,0.0008139259453384471,0.007596432165278205,,0.023876211019330955,0.0008779732655985674,0.0015522550536485554,,,0.0013309243141266967,,0.01185011919101305,0.002764009353848635,0.000852879315529438,0.00014688885417034152,0.024477205873706245,,0.3018697197709248,0.0016135724881270967,0.0013915067793563518,0.0056166349999916005,0.2516104226199177,,,,0.0004282770808869357,0.061444794149812784,0.02057504414015317,0.030879418005150667,,,0.026288275098569878,,,0.004742231585030484,,0.009953898528885551,,0.003613948792382527,,0.16102861256285037,,0.0006114944150736733,,,,0.007316723868273351,0.0008105660859149653,0.03314805808524972,0.0009179765918593964,Control
6,,,,,0.006485487651885583,,,,,,,,0.13519597826428897,0.004987796254659433,0.0009919487941625602,0.015303522705618734,,0.0565396786530736,0.03145773091888662,,,0.011642499290177032,,,0.002545043451985811,,0.02203396690752224,0.05829605218205691,0.008112019181350199,,,,,,,,0.008948077426707897,,,,0.6039035554466414,,0.03355664287098293,,,,,,,,Control
7,,,0.02308573559972292,,0.054169490979341525,,0.00045942841281269316,,,,0.007212478773767081,0.062219246797632174,0.04406309855291925,0.007718583213235503,,0.006173524118494322,0.00588231527962451,0.13449304671774595,0.02119969367308524,,0.011823285389205776,0.14038847672167418,,,0.015622837877636938,0.009231733254355844,0.054300225160195836,0.07956765194389129,,0.0012403224693848635,0.0010789184214580847,0.0005971846507745122,,,,,0.01921038620074905,,,,0.2752574100257627,,0.004820848735389474,,0.0013222120471237866,,,0.018861864984016558,,,Control
8,,,,,0.007649835265996966,0.0008626328369779388,,,0.0006629736102587294,,,,0.22715930747117155,0.03054826544785038,0.002149213475887464,0.03183080848864628,,0.04835235714977874,0.052243996091605016,,,0.023513962014276947,,,0.009943796634258215,,0.008539217190477729,0.007339243031105656,0.0726144860945121,,0.0024319462837946964,5.864611260053621e-05,,,,,0.020562982492974585,,,,0.3735414176814497,,0.07891747956975355,0.001077433056623276,,,,,,,Control
9,,,0.012148810061381818,,0.08519682466556601,0.0005339578739506288,,,,,,0.0011358020682495985,0.32572242105551563,0.007627418767269661,,0.049063848657139586,,0.03797869242220219,,,,0.11034520549057254,,,0.005644610546632018,0.0014358616336756743,0.01236322530038936,,,,,8.188977656369393e-05,,,0.006829120288674147,,0.004542193529794383,0.0004225390701502124,,,0.32300189452556194,,0.015925684266711048,,,,,,,,Control
