,taxa102106,taxa1263,taxa1301,taxa1678,taxa1730,taxa189330,taxa216851,taxa239759,taxa283168,taxa292632,taxa29465,taxa33042,taxa375288,taxa397864,taxa447020,taxa459786,taxa572511,taxa577310,taxa724,taxa816,taxa841,condition
0,0.0019423182493400607,0.3130056137641914,0.001991808914258565,0.00614179151638636,0.04284673350190616,0.005525823086862207,0.2257151210732013,0.0032877029402784727,,0.02762150148586204,0.00325191738256817,0.002798506752430182,0.036288839702781905,,,,0.010650391090462083,0.001939272669960461,0.043047741740959766,0.05819112381117713,0.21575379231737374,Control
1,0.01876034354414538,0.08853948709958356,0.0006990100573824361,,0.040320300988870524,0.08282018395114363,0.2672559173738664,,,0.34350412026403715,,0.05722126348569442,0.03983070805501881,,,,0.03893050031752068,,,,0.022118164862737086,Control
2,0.0046806151960997215,0.026745744228042104,0.0008364367552323479,0.042102665876887976,0.14332679717073918,0.005825589027075722,0.046432520819380346,0.09304525983802793,,0.20180479895005027,,0.03455692217663561,0.016192478754539403,0.06940522826300773,0.0012808796847248085,0.0006780998382434453,0.048419209302821654,,,0.1925508858015878,0.07211586831690386,Control
3,,0.007258891267053931,,,0.2434376445725333,0.029340011196777056,0.033622845925507225,0.029025664381108048,,0.0202958460317146,,0.02468995098259819,0.01505973264544559,0.012384184462401693,,,0.021589798332004233,,0.0027472156567665794,0.4820385784773464,0.07850963606874316,Control
4,4.520601634344546e-05,0.03140042574263681,0.001225137507987304,,0.0598485173624871,0.0028655167853751246,0.10384039814409152,0.05235401343370303,0.008653194039254507,0.07648945109438864,0.0008527052914132316,0.006452478019527692,0.021774158585319652,,0.00015990947467994687,0.0019196762072784086,0.012295382864457981,0.0011839619075588162,0.0012619559020212426,0.552503574543196,0.06487433707827961,Control
5,0.0006609164685099821,0.02231785336378217,,0.0028383814967582865,0.03559701682638427,0.00012399453633080623,0.04024588139817914,0.3290926659092841,0.008178056154171038,0.29532683668651705,0.0020926695151290203,,0.13864240871367534,0.011151482357008186,0.0010436012945215702,0.007398495757839835,0.002908520995264362,0.0002762542437013741,0.0011165324148587326,0.08733030574191245,0.013658126126172234,Control
6,,0.004728084333718871,0.021359005766304683,,0.3715202705114077,0.045082596782897895,0.008293970129170066,0.01452360256099525,,0.07549371714539213,,0.016062235498974193,0.009266865300723915,0.009827017066164009,,,0.02412050741991613,,,0.3745848127184553,0.025137314765879836,Control
7,0.0011834874914202161,0.0007761284723380648,,0.0006291100111787411,0.02770096934320337,0.015613427300594255,0.037159861335568194,0.06150086943292689,0.011250026134144006,0.03938893700536962,,0.036824343410214413,0.006554109688672284,0.014632229204672383,,0.00098753701595673,0.00923002361636945,,,0.7112913292025816,0.025277611334789726,Control
8,0.013738073779732357,0.012972125153769592,0.002499389309818748,0.1281446365103084,0.05848698451532095,0.010634472097257399,0.025286125850447465,0.2112361142426324,0.010298461896589516,0.057984014022157034,4.231471743485466e-05,0.0007981287073700118,0.08472357205590392,,0.003674484685102231,0.015575890766594318,0.010798193485455963,1.985134892005528e-05,,0.34714994183554765,0.005937225019637163,Control
9,0.019308422737834535,0.00579357663352027,0.0014834836349648431,0.03663808818982883,0.013166783850547578,0.01764841219611071,0.033507072912518344,3.151430492390321e-05,,0.0007733042720594483,,0.10868804433947966,0.001380205886777983,0.008246532095730542,0.0020874227493141643,,0.6988668174021286,,,0.03900975253608996,0.013370566258170596,Treat
10,0.012224327718519905,0.12211179038603245,0.00034530456334985613,0.023325050166315277,0.14249730144144065,0.007329681047696945,0.06193584531051586,0.00012466987692869402,,0.0044926930954819295,7.777949889163426e-05,0.008779474724046343,0.011351154228361936,,0.0002580175574415591,0.0012500348853078124,0.17725781478348032,0.001995767323965835,0.004812619136881327,0.41518069417466036,0.004649980080681396,Treat
11,,0.0044108058211003685,,,0.16597378686535155,0.008805443392097063,0.029233000133578584,0.0004548664517983148,,0.0004009376025883504,,0.004026787549300974,0.010562065703084524,0.02398805553088651,0.0009471378776201388,0.0003693685866225854,0.24708724309017244,,,0.46472999766223255,0.039010503733566085,Treat
12,0.0010418108654237101,,,,0.00010175437850242823,0.0007999768573052746,0.012782391721842042,0.00010164953751164224,0.011541256078792687,3.158849861542311e-05,0.00016133424486240266,0.0007452504070251857,0.08948996342773262,0.000787926996693145,,0.005120186605104095,0.6512038777927259,,0.003076898435472275,0.22295254597592903,6.158817646199604e-05,Treat
13,,0.0006385262582443997,,0.0007711680929591865,0.003316507230773026,0.0002734728609641387,0.01833052485395434,0.001115993196127118,0.002023537694118452,0.0012221427895990913,,,0.038181932518821,,,0.009024604411816578,0.10420653466176566,0.011566252646403569,,0.8071843880096556,0.0021444147747976664,Treat
14,0.006147933818963756,0.00815222176387359,0.000570990997798395,0.0017203084378684431,0.025307772462371307,0.032327303793647566,0.01745072898410162,0.00010403169846470595,0.004045839947743818,0.0014287964472841966,6.699705952242215e-06,0.06716039541936003,0.006260704051999307,0.01760242597580858,0.000828122778067662,,0.6815796872347095,0.00016534091842723312,9.707238186277954e-05,0.11115496816254004,0.01788865501915511,Treat
15,0.008001988768693692,0.0037786058987666687,8.193259995059184e-05,0.08161300571489608,0.08741137866819389,0.004360841221412078,0.07312341805869155,0.0015948784445124257,0.009724857203194813,0.006186124096448999,,0.0002522210873043481,0.04802863315953884,,0.0028830568881568885,0.020292735199609484,0.0711092995002132,2.811972507015086e-05,,0.571818177794547,0.009710725970799153,Treat
16,0.003403819463481887,0.06554905143112479,,,0.28099813286954567,0.0058457626105229005,0.057951080321725,0.00030061230804722696,,0.0022935622151205085,0.000108576331202327,0.0055682298632391,0.016503171056433136,,0.00020529228858910686,0.004415293706787775,0.05899655248898089,0.001080372233016203,0.0021041381364582034,0.4777541869588628,0.016922165716862374,Treat
17,0.004447116338373278,0.04086495215062542,,0.02228982809068702,0.03976707835992198,0.002238480225039621,0.005243226634898193,0.0004722719864403928,0.006935175823879086,0.0026978301675983913,,0.016798396972061497,0.017799463567403948,0.044096364875302614,0.0008749881119166848,9.3370253513859e-05,0.6624122483072461,,,0.13114224441388272,0.0018269637212092141,Treat
