,taxa102106,taxa1263,taxa1301,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa447020,taxa459786,taxa561,taxa572511,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa872,condition
0,0.020112353827389247,0.05402640287237745,0.0013264733519303875,0.010169664551853835,0.12005074016317925,0.1420332423940372,0.018644154129213084,0.000885949505779984,0.02239510705240955,0.11197660087367366,0.14795164936433072,0.07863030970296928,,0.053240301175945054,0.0011814436096442968,0.01155954179552575,,0.007473986821794145,0.05326662178310498,,0.0006274321253346818,0.002825682348420476,0.006169038824707101,0.008548975830010224,,0.0009353938852221193,0.11259572122832627,0.005092238276726978,0.00828097450609434,,Control
1,0.0003028251672314432,0.2815751567544762,0.0017772201672853246,,0.0009934886057948896,0.09557181871113385,0.08955112754480088,0.0017291077575382731,0.07947876190877387,0.0007711047752219785,0.0863037575900864,0.02913217295344558,0.0006472316478641845,0.049281475992941616,0.0025326503112774947,0.01615074815341415,0.0006179505659140559,0.003200128357813516,0.012720289797807052,,0.0007084062503027436,0.002794656126347977,0.002166146954674953,0.08036720871500788,,0.01416779845123758,0.06743727072450213,0.0679345048596255,0.012086991155480476,,Control
2,4.212095555092281e-05,0.0292575202145063,0.0011415286435692263,0.04762154636075959,,0.0557641867945628,0.0026699611005363273,0.0002312085222771137,0.09675386482603843,0.00014737259628901187,0.04878114134189041,0.011619090962791666,0.008062661366395678,0.07126946876238889,0.0007945128675966839,0.006012132053154008,0.0061783829572321074,0.020288192592842196,,,0.0001489965367439872,0.0017886689148768984,0.003023066653215027,0.011456290932180388,0.00026866064901998234,0.0011758343856805799,0.5147982588922412,,0.06044702208904106,0.0002583080286195146,Control
3,0.005215276766088607,0.013017932680497312,,6.729323694824254e-05,0.010944567985054181,0.016214819558937114,0.00046168658027273817,,0.017284690401734516,,0.3701066949033568,,0.023814679515704523,0.02576435089361041,7.584487371624914e-05,,0.0057361121673400566,0.07906792453099105,,,,0.03199320022710704,0.0010994961558865649,0.0021569467643304304,9.254092645378589e-05,,0.3822571454778996,,0.014628796354070748,,Control
4,0.005288278692632754,0.023732800106867596,0.0003297930731458467,,0.0009451560422431989,0.288409328914811,0.004376162955189925,,0.053628582852529125,,0.029302683858875814,,,0.07867110064168338,0.0009420045054776249,0.00310121383980088,0.0003718813383377026,0.07289646866238919,,,,0.004026342374211239,0.0004774069887462688,0.0038429432669501093,,0.0016393074304798944,0.40738797481332484,,0.020630569642303632,,Control
5,0.0035911826843659338,0.061289801565371234,0.070564465996668,0.0004959689640812288,0.0035361870291347047,0.10687447930539255,0.009403360984984508,0.003238471241752611,0.12204219141221002,0.003231526780195919,0.001218080958532828,0.002598348696647775,0.0020117657099961495,0.007777908950940517,0.03115263052843544,0.043464936853563035,0.0015010117632458324,0.004182133961351608,,,0.0001028228340168401,0.00014224945446774176,0.0004199159092909951,0.031986637959905376,4.323487356263647e-05,0.06588882723501335,0.04844467582693418,0.280530485178167,0.09409050963163215,0.00017618771013996675,Control
6,0.008581089346753466,,0.002476258370761567,0.00046802622164074533,0.004685739766465667,0.032355786757759006,0.0021346215449085056,,0.00939460696651046,,0.23311945867198622,,0.0073362653779681965,0.06603511190736204,,,0.003147562561229373,0.05819207171289684,0.11644459934865845,0.16244486186531681,,0.05658430933469879,,0.0017762477605442327,0.00034944740649162716,,0.23196410135415182,,0.002509833723896177,,Control
7,0.007070743043634152,0.04863365606874629,2.2586541383849023e-05,0.0016640503047449702,0.05891368400882326,0.03537420068593752,0.0017038656497890576,,0.008937441898748632,,0.052013338035536094,0.07498983868271927,0.0009238420694398529,0.02258748686697672,0.000367582829312036,0.0011155650370004318,0.00721907884100157,0.0509938971165181,0.05382257252722283,0.19184062768313664,6.69191947047062e-05,0.05504214070826982,0.0004065577449092824,0.001332185726923672,0.0015863105809121873,,0.3184912442484423,3.9500184001522025e-05,0.004841083721165258,,Control
8,,0.007583349706207038,0.009064379620204522,,,0.25768042587106554,0.032676553930428634,0.0005842743276503814,0.03525010717248986,,0.06619867507946313,0.010402748461976332,,0.05471925451967036,,0.06587690520176798,,0.025664959108874116,0.029494293254221225,0.03218405519701262,0.00024241276320866858,,,0.043895186415515874,,,0.26416731468245946,,0.06431510468778427,,Control
9,0.001601235637794153,0.008448263061228334,0.00010417550219466581,0.0020625691815232207,0.0014165753059851311,0.10329154397401302,0.0032740721029850457,0.00014732637010880155,0.1584229119263288,,0.06876894592794355,,0.0021519380133551936,0.019887156249927294,0.0011753323410043871,0.006152806107286172,0.0065285782487051035,0.00992205557197216,,0.0006046409604537102,0.0003842330959118995,0.0015832561094965962,0.001195850155649834,0.013904415327949768,0.0006208225359215111,0.0006794146457853128,0.3615936969273409,0.19177705215691943,0.03397401090913167,0.000327121653084367,Control
