,taxa102106,taxa1263,taxa1301,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa292632,taxa33042,taxa35832,taxa375288,taxa397864,taxa40544,taxa447020,taxa459786,taxa561,taxa572511,taxa816,taxa841,condition
0,0.0021633678058897822,,,,0.0002112976105993554,0.0016611884517515113,,0.026543219744649613,,0.032901262155694375,,0.0022026385789123593,0.0015475464802613974,0.010186073958334058,0.18582999300076672,0.0016361663662857982,0.08156817579961202,,0.010632301149139276,0.14829790738909132,0.03151983452060812,0.4629711363293573,0.00012789065904697826,Control
1,0.0052874989946920855,0.04488210500316371,0.004431543101938841,0.008763144295812797,0.09599493178992814,0.011276834710778103,0.00033684124570017055,0.021554250340907345,0.020710857291816577,0.12891496626147386,0.026687405827746136,0.18740285528759437,0.007020498410632023,,0.021191498230153313,0.08592244754704308,,0.00017980569991920525,0.00439531275816223,0.007820482348139056,0.007150950081877212,0.29989414682531895,0.010181623947202853,Control
2,0.005657906667313318,0.02544255111873971,,0.060657495482235764,0.14217831093604702,0.010626182157098006,4.4492334034105186e-05,0.028795923574400254,0.0269556067721128,0.16610822812969833,0.033004033831043,0.0888063824358604,0.03850505757645407,,0.03307340813387343,0.08719980853535877,0.0035434664799816125,0.000733596351206881,0.0011058769945112065,,0.02960437669613844,0.19407935661132886,0.023877939182564065,Control
3,0.0020863685172226986,0.004700681575167594,0.0004964653845528694,2.5718264844222406e-05,0.044818808651788875,0.001012168031209217,,0.06667521884700285,,0.09080934144988054,,0.03830426929368797,,,0.04832739721489708,,0.11206579596280848,0.0015865083217103918,0.002912233437900369,,0.0025190526049618965,0.5527235745343091,0.030936397908055756,Control
4,0.0005132672172773639,0.0025664389043389994,,,0.2150077606990304,0.0218371964094326,0.0019248548827422943,0.05298764292723531,,0.058728483287147505,0.0670908729737666,0.011132202500368086,0.008405059136773373,,0.04371408054840626,0.02311645737044321,,,,0.0023760200569035673,0.008242812408234977,0.43688067606505,0.04547617461284928,Control
5,0.01484872474594979,0.024856235834061376,,0.04076660704226221,0.048900092830701666,0.0011612653538718692,3.515312657858476e-05,0.0021723309850897854,0.07693961508318178,0.06906123740768723,0.08565230097600066,0.03531963558880496,0.007833086343131544,,0.04016790191153667,0.02540259696753042,,0.000343817413558572,0.003685788792081268,0.00980551835764593,0.0037141096495442666,0.5027481149549115,0.00658586663587003,Control
6,0.001033829864329145,0.006876099333214018,,0.04035814739898619,0.06750101638277023,0.012057732792585978,,0.01374073781867936,,0.07595994065327448,0.06760631292146117,0.05138685979013756,0.004637652507300919,0.0055345661726325,0.1555001682800368,0.011470364345466381,0.02442337353941985,,,,0.00628177251424701,0.4435818792126928,0.012049546472765496,Control
7,,0.0027111610294604134,0.002573049561362743,0.005721582487329664,0.0797033678884368,0.003896740739580671,,0.040052439233507445,,0.08312789678023243,,0.02525181511039328,0.015544973440495121,0.003827855233306812,0.05143704585357484,0.012457609028336456,,,0.00480700539497213,,0.010775077700467888,0.6088934025729134,0.04921897794562993,Control
8,0.013450691981806233,0.0481764474773068,0.0033006454065174716,0.013924860806787976,0.0024839798903840134,0.0009242616772728783,0.00030094965863253583,0.009210977109502635,,0.19057623816548752,0.004764166259718809,0.4912776799114345,,0.0012529093575848686,0.04331810794387784,0.019434103849684116,,,0.0334327905373331,0.001488662134418073,0.009287040138268523,0.11128958579952257,0.0021059018944594578,Control
9,0.010613807663378605,0.06639679558622368,0.0037815807444615585,0.10046069043807085,0.11141182815361896,0.018166938994255994,,0.03262557018808975,0.08332379588480564,0.08884840693639275,0.01335077384253032,0.11438497815959481,0.029344019217360497,,0.019542971097518902,0.046509209374375755,,0.0005662288168341104,0.0011003611279218907,,0.02084720838529659,0.2011373988062634,0.03758743658300599,Control
10,0.030141575589621324,0.007725150713675001,0.0025137303162729545,0.009324750433716063,0.0945765749912368,0.0603636657822084,0.008949101502119082,0.023441601212588575,0.008733708836265118,0.04129175310177677,,0.14436719193534822,0.12822588197950496,,0.009579305402452566,0.04493397609321762,,0.0005362916674342393,,,0.0554311479694797,0.21572245366771073,0.11414213880537201,Control
11,,0.004553104559249397,,,0.032819864456104464,0.010121914804020813,0.0012153125363343707,0.01183795136701575,,0.024747434078030213,0.016677614252330775,0.002893094466452293,,,0.010941929467292692,0.013604190860295488,,,,,0.00583739592179508,0.8442666948338574,0.020483498397221248,Control
12,0.0034540862724680966,,,0.0115676035588973,4.661105372580323e-05,0.0035697816253736627,0.001449093879680749,8.53007769100105e-06,,5.8232247322040026e-05,,0.0015723614169013756,0.32546584859579725,,0.00046001733309848576,0.36479290400750336,0.0028861978804387073,2.1923624113700557e-05,4.1082768549319736e-05,6.933247192635987e-05,0.26011401600923634,0.02142703537152741,0.0029953418057489124,Treat
13,0.0003591283307401313,0.032703483196011726,,0.007958097444672687,1.5526725319952527e-05,0.00011691075280266949,,9.882062933428364e-07,0.09801045499131321,3.876035449512207e-05,0.007057133182540758,0.0032191854061915997,0.027458917313808725,0.0001025645488218425,0.00018368950817976534,0.66475947418391,0.0005873395219197006,,1.1452592161362405e-05,,0.15374348226412218,0.003342714669631034,0.00033069680706418247,Treat
14,0.006798080128640847,0.6842941295256547,,,0.0002018065155454831,0.0025639438282769275,,7.807891137911129e-06,,3.827009748288329e-05,,0.008936210490410443,0.031980701047840815,,0.000951299004997053,,,,,,0.20478123676736598,0.059249344523233834,0.0001971701794130452,Treat
15,6.380059985022832e-05,0.34920808352280863,2.356544357358039e-05,0.0002410595881138335,1.716503130841002e-05,0.008536889675491537,0.0001153940127950362,2.1654431783983556e-06,0.006735466975357329,2.346110161518884e-05,0.06189626822053816,0.0006534586221291594,0.019972754685150414,0.00039364493970305546,4.2432809188441835e-05,0.08030470610489954,,9.39326923359228e-06,3.7056360526006177e-05,2.872250426375021e-05,0.4705940639038148,0.0008941993948009157,0.00020624779166005292,Treat
16,0.0009965543137199666,0.03289732807266587,3.706066118180558e-07,0.019852986480886986,1.3665860954870917e-05,0.00023310528910408445,,3.652693614021295e-07,0.6147163172890296,1.450182715140357e-05,0.045759710191110005,0.001391230748864138,0.014246719879885834,,0.00020565641595805633,0.162611692561969,4.408531907521763e-05,1.8029255324924302e-06,6.587721610071973e-06,,0.10524473594297054,0.001545524113784308,0.0002170591697542108,Treat
17,0.009466725295570062,,,0.17569652828872398,5.867987436117033e-06,0.003035025297890357,0.00032407630738276764,1.4193147427335142e-06,,,,0.003595378414263171,0.6221586137221324,,,,,1.1508947564834337e-05,,,0.18451172215062567,7.425581865591094e-05,0.001118878455011967,Treat
18,,0.019881893057802472,,,0.00010834380728424542,0.003050911996781295,,2.894802428489526e-06,,7.005160901816612e-05,0.2597637281111932,0.0006488342889585582,0.018098970852030678,,0.0005090179429561162,0.5504132468807438,,4.564544358223698e-05,1.780099115463075e-05,,0.12257254260180177,0.02239674644051372,0.002419371173750779,Treat
19,0.012064698191490872,0.7572233535874227,4.44315477031212e-05,4.4286640905134305e-05,9.98345890371464e-05,0.004086196506446593,4.7098727381199166e-05,3.864313344100825e-06,,2.192808044387537e-05,,0.003894445925000609,0.04424454743912177,0.0029972541250975204,0.0005908609718854609,,,7.556075071416215e-05,5.011980193661203e-06,0.00045998649729426925,0.16634551095181202,0.007656829604761393,9.429956994455214e-05,Treat
20,0.006586374680462508,0.7577938689864652,0.0002429430928771733,0.0037329597636633362,0.00023938159941088477,0.003480911664214862,,5.8096311709281055e-06,,1.8765227370344616e-05,,0.003334080363819832,0.03607923312711094,0.0007606140158813745,0.00034485969468175037,,,1.9790546376588072e-05,1.358479647707224e-05,,0.17650638328176949,0.009518263279820034,0.0013221762484279013,Treat
21,,0.007503299851724452,,0.007419622929591622,2.6210655682803443e-05,0.0010989842496207808,,3.6635852009613236e-06,,0.00023795111679769508,,0.004393609976344588,,,0.0023257428820255117,,,,0.0013088025879468559,3.7500332186530084e-05,0.9139546088433887,0.060427851785571064,0.0012621512039184117,Treat
22,,0.012696582612550026,0.00020737896188915663,,0.00018006040962524768,0.004613421717362599,0.0008467591048814002,2.214771288328392e-06,,3.636696867855416e-05,0.1791971008636085,0.0006918937965001719,0.04428495927487777,,0.00019311398891897052,0.3279814341919305,,1.837233077880595e-05,,,0.4175894930018471,0.009503846507878801,0.0019570014973840665,Treat
23,0.000446945039501875,0.018882333755418743,,0.003455038362882433,6.3969770183319795e-06,0.0005089383586237792,,3.8319665952248147e-07,0.5711861028642309,1.6297350404582567e-05,0.03205752884771267,0.0013833725349445616,0.01995034369971618,0.001853216202558179,0.0008607180969514856,0.3002643623152156,0.00017715873506059642,,8.1480578444832e-06,,0.04665111116088384,0.0022217712850023693,6.983315936977915e-05,Treat
