,taxa102106,taxa1263,taxa1301,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa239934,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa447020,taxa459786,taxa561,taxa572511,taxa61170,taxa724,taxa816,taxa841,condition
0,,0.00272056271666643,,,,0.13675191621177737,0.018375119501172113,0.0006695936121543498,0.007509382696617328,0.04221097488443382,0.016692233359179565,0.041547186997240346,,0.005347459737297398,,0.01499838084781647,0.01686705018855705,,,,0.010802776942756843,,0.0043742912177443605,0.6625738455960998,0.018559225490487,Control
1,,0.0005813574949540774,,,0.0007021235930749569,0.0030195725090154525,0.00024898819012574377,,0.01668934969031372,0.15837686163565606,,0.037364505688608295,,,,0.03476341396308127,,,0.008216610274149546,0.0003802556880832215,0.0022114897915892187,0.000577787019009634,,0.7349152642047184,0.0019524202576203407,Control
2,0.004584776083426382,0.026198105020969576,0.0008193100842563541,,0.04124058216144275,0.14039207331764364,0.005706305714997489,,0.04548178007097959,0.091140088238199,0.019969000416925113,0.19767269407616297,,0.03384934323254933,,0.015860925586675883,0.0679841040703674,0.0012546527108587182,0.0006642152346008855,0.0005067508802979029,0.047427789615128904,,,0.18860826175185447,0.07063924173266366,Control
3,0.0029950411285229704,0.006464089853602413,,,0.008031186798370313,0.02644390974255851,0.004096420428454311,0.00022116406909911617,0.021599025101677733,0.1191948502819916,,0.02380415225917468,0.0004858503847277771,0.03742247044706229,0.0009712566648991305,0.019008711258909107,0.0967441806759449,6.424712582932824e-05,,0.0019217884504984773,0.010569244338333061,,0.0002260492192197793,0.5788207129180837,0.04091564885304077,Control
4,0.07435818941311159,,,,0.11682747051699582,0.03392776806186286,0.020290139857463904,0.0017165970464767767,0.05992276450931987,0.008949202255011567,,0.229036118037507,,0.29679712652534407,,0.0023826342183836603,0.0065597421898350725,0.0027798778173424086,,0.0024484105602055202,0.028738159482807654,,,0.04666066130044792,0.06860513820788426,Control
5,0.0001632962331039784,0.00030428254441765995,,0.00041046124627148014,0.0003650151092912458,0.026388919157622797,0.0004825553453901246,2.2103348440386694e-05,0.04845952572204873,0.0904850146011208,,0.015821452869618852,2.416908193948826e-05,0.0007677298549410952,,0.026795248936896075,0.010272582831007196,0.0002510899068157947,0.002657566146594158,0.0012781726025690907,0.0013173182523770655,0.0005149873613260191,,0.7584557443968787,0.014762764451329303,Control
6,0.001026499962262749,0.018555978830687322,0.0012413569427545761,0.005913532391296271,0.008885428537446685,0.11235501242992613,0.009025161516602872,0.00014417265575144915,0.012506101634478625,0.2693575157065243,0.014643572247908737,0.06125082981060572,0.00016917504499845898,0.0022118936131980834,0.0009178447192734075,0.06430427580579545,0.11486681788049373,,0.0022159827890095105,0.006069505240103551,0.0011395948818473543,,0.001471869624924438,0.27036578962802754,0.021362088106083043,Control
7,0.02991819220344003,0.007667898553115226,0.002495100713174536,0.0005255400979422612,0.009255643418358304,0.09387565491119139,0.059916302304985625,0.008882778472956935,0.023267872263323473,0.040985734207647936,,0.14329726670558993,,0.12727558223065813,,0.009508311845008891,0.044600964180670215,0.0005323171357016139,,,0.05502034006408265,0.015554580344084272,,0.21412370472267467,0.113296215625394,Control
8,0.008069475230598222,0.03627797025895037,0.0017883414912126749,0.0014083988238786439,0.0324356415906673,0.15670061991215928,0.006868327710571876,0.00032295668415247984,0.010933075054656708,0.19502098514247584,0.015453710264193949,0.060172431351391165,0.00015709063804800256,0.0012491414184092897,0.00164663490185627,0.018596823085606815,0.12377442217729791,,0.007864390694167282,0.001280451207647822,0.0036417943434369692,,0.0015804401571339732,0.30523144326211166,0.00952543459937554,Control
9,0.003980813062180882,0.035943029108815736,0.00016039480367327348,0.0036802988044130017,0.01284940593871446,0.023532965458423715,0.00488196840842251,5.811405930191066e-05,0.16102889263143427,0.19891280217857985,0.06303477041653445,0.056161168624658475,2.724903669489589e-05,0.0032980374365604325,0.01192164726754796,0.07754520531245153,0.04031591835775351,0.00017059704963960886,0.007647681061777441,0.02017875109787144,0.0230730895358146,0.000662629418395786,,0.23781306205173877,0.013121508878601406,Control
