,taxa102106,taxa1263,taxa1730,taxa189330,taxa216851,taxa239759,taxa292632,taxa33042,taxa375288,taxa397864,taxa572511,taxa816,taxa841,condition
0,,0.1109439411508644,0.02744739932904698,0.013459380312986966,0.3644351592524093,0.004611402020027044,0.029783713597289308,0.0019346085870935999,0.07304099413942769,,0.01280156859348505,0.20045785487672937,0.1610839781406403,Control
1,0.005811021245636463,0.0005275835240169562,0.087741959730373,0.07965478422723216,0.007772461459722341,0.13783714853584816,0.044378983413393684,0.07325751125167257,0.03467247936141451,0.10576514815945358,0.041728873134379736,0.3534537069125778,0.027398339044279154,Control
2,0.008765174139840811,0.02754966316168736,0.0031892634309787053,0.000984098265900856,0.0282431235179617,0.34831360351392016,0.29032170914959404,,0.07089832555492276,0.023740598336107047,0.011485346288587814,0.18580351932342304,0.0007055753170757828,Control
3,0.0006867076884154223,,0.4795047193665268,0.007823833245454572,0.012682669054404102,0.021321020396325944,0.11554337786148851,0.0005848382753843566,0.011696328299905887,0.0039042654865554245,0.004795732152522559,0.33972501962334267,0.0017314885496739455,Control
4,,0.004387215351519227,0.4296309385214803,0.02073894256487901,0.03483575675801915,0.05732980578819394,0.022361303405602762,0.015346275499277775,0.00624124760176577,0.022263699568780517,0.03056145780914418,0.30715464766116524,0.049148709470172,Control
5,0.003893383029360619,0.027942902941845375,0.06536809782251138,0.009798111572851232,0.025812604170915382,0.1100282267744082,0.19147433469834932,0.029608122259702743,0.11913307573597276,0.08729022334294768,0.014621779785699774,0.3075181615231169,0.007510976342318684,Control
6,,0.004831275576618472,0.3796287634591876,0.046066532107822536,0.008474987434656248,0.0148405826514223,0.07714138033273983,0.016412796514365714,0.009469116208421396,0.010041493381195272,0.024646941587403257,0.38276018981993104,0.02568594092623628,Control
7,0.0008573098022933782,,1.8755441470129834e-05,0.8517162712942309,0.00030816809315399347,7.120374691452653e-05,1.0499572711452366e-05,0.0011717979410843158,0.001138564602954918,0.0006262587783037271,0.09774046906542627,0.046234456464563006,0.00010624519689342338,Treat
8,0.001036200686273528,2.1929741647352424e-05,8.957885622589567e-06,0.8108202601901163,3.0832171067782085e-06,1.1165853478533246e-06,8.094528800852457e-06,0.00017376601615805737,5.4735982561835615e-05,2.352450925679208e-05,0.18745913913461784,0.0003736893235704456,1.550219891947398e-05,Treat
9,0.002974084857669839,0.012879862023294383,1.5348901866145078e-05,0.5547916430012988,0.0005634999063138323,3.991746325366469e-05,1.156843994307241e-05,0.0031469386110589354,0.005574076392172206,0.0005647274405582492,0.32569429319446197,0.09349657681060643,0.0002474629575023477,Treat
10,0.005481405164370282,0.013682219875325842,7.30343359631258e-05,0.16500812001427673,0.0008483597819977046,0.001632213124755845,5.567274217492587e-05,,0.08310265193946001,,0.32780423072612896,0.4017632017085556,0.0005488905869910543,Treat
11,0.0013923037105584494,0.012794004065097507,5.3355549322509694e-05,0.23831549076323555,7.665809855380986e-05,9.670495504820603e-05,5.83111675368606e-05,0.00041453131348527327,0.005572658164349174,0.0011592456373592853,0.6989882875045527,0.041058029431989634,2.0419638911209497e-05,Treat
12,0.0010491048338392333,0.014061044589938404,2.8146088957694653e-05,0.24517084622873062,0.0002947461389464128,5.761594006774682e-05,0.00011387514257586006,4.032110794741438e-05,0.0037508337776718066,0.00016643755760146044,0.7094506460802205,0.025577531370791,0.00023885114271178197,Treat
13,0.001387279817673222,0.02033467228870429,0.0007486424401240265,0.324644881459481,0.0004455199729762389,0.0008449435581506832,7.257202018134703e-05,,0.0206967272282004,0.01326511077392253,0.4729970788211175,0.14410593149978798,0.0004566401196807852,Treat
