,taxa102106,taxa1263,taxa1301,taxa1350,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa40544,taxa447020,taxa459786,taxa561,taxa572511,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa904,condition
0,0.0002636252318367027,0.006179766442707411,0.011858247826962875,,,,,0.5586227826880396,0.04064761997277298,0.005018501878597067,0.019467180720594984,,0.01723797431349378,0.05620211960184953,,0.047425659899318386,,0.014327099650490373,,0.00663339734569409,0.007534855119912058,,,,,0.0321092783098904,,,0.13602237179313884,,0.04044951920470102,,Control
1,0.0003111005065707365,0.0005934463940484057,,,,,,0.11985373891621601,0.008251454045632154,5.659153757678097e-05,0.015694617787892884,,0.030302780021045937,0.02897109447014006,,0.009064536785519094,,0.000489440324988376,,0.0076881898049580314,0.006186933574790563,,,,0.002116115638434117,0.0012469511946422605,,,0.7395055836983743,,0.029667425299170404,,Control
2,,0.008264328527396458,0.0009319261023821041,,,,,0.24540647997247625,0.033002135709421385,0.002321854735773433,0.03438770241394596,,0.05223638819204046,0.0564406333302618,,0.025402783237761652,,0.010742558413043042,,0.009225152408520811,0.007928787149321366,,0.0026272988046679184,6.335701678960945e-05,,0.02221475847727245,,,0.40354712055444486,,0.08525673495448052,,Control
3,0.005169817484636879,0.015687289570120406,,,,0.001998251850868056,0.02119838984424655,0.09997334499177275,0.0005621914384689234,,0.03329182772661563,0.018305812611283126,0.16546253121015692,0.026836546000242805,0.02009261304709713,0.14161385435428012,,0.017787103889667796,0.002005653164375052,0.03995321547495412,0.08604859599652676,0.009683899151758076,0.0001104029264793607,0.0016211960460949697,,0.022330379626733256,,,0.23276925387461336,,0.024463705449103996,0.013034124269904114,Control
4,0.010194428692809154,0.025097232830757467,,,,,0.044277008155501875,0.041802980211678706,0.0035253768600136824,,0.004385310032916525,0.08083823665024092,0.10359144815251974,0.09569318685236732,0.017842021629568227,0.22730619515410097,,0.024312161287069593,0.0016861837472014174,0.08506355433978717,0.08456016379601243,,0.0008664026964152471,0.0004078880538297217,,0.016223100388725945,,,0.11585068175428011,,0.004265264429964121,0.012211174284239647,Control
5,0.013960880173877742,0.018512266811535172,0.0012966204802071037,0.037984339276584386,0.0006720749525705201,0.003484528727983771,0.003906518949359842,0.057469515648507906,0.07340964101069768,0.009808940595770236,0.03962754698861115,,0.03682264461715936,,0.009187393419706587,0.10894987955510685,1.5213857981189896e-05,0.1525094870064769,,0.014216961608218058,0.03997202426932393,0.00044486653337698356,0.0018805216865216768,,,0.03607661032578978,0.0010423158467988936,0.00022043436563986825,0.25241345091609635,0.045493322115796785,0.04062200026030134,,Control
6,0.031193481030431805,,0.0011768355090655833,0.0025904533219384936,,0.037911782855630495,0.005084588418599429,0.12323557843160342,0.07832752273221011,0.010376282143963429,0.0020478184080392767,0.005392870106741083,0.10733251005189462,,0.0005836124044778259,0.10325292627336231,,0.05040358075675921,,0.02877010603348135,0.10153757472187323,,0.003159913706474222,,0.0005096839420937365,0.07315105179607616,0.0008626395439332033,,0.18510419635906544,0.03626507916206947,0.011729912290216107,,Control
7,,0.09644581424442382,0.0046876455734104665,,0.00014465116504504058,,0.03395963446230535,0.2615644190446238,0.010650763296086288,5.493082216900276e-05,0.07890543335841121,,0.012918652299204959,,0.010335934289811785,0.23229490742810122,,0.01304650109511595,0.002164489808447607,0.021792672766860127,0.0019838643402565917,,0.000219938703664909,0.002686440326547582,0.005396145471896155,0.008988298119265586,0.00012030927129956094,0.0002833784178953848,0.19081244301600372,,0.010542732679153916,,Control
8,0.0015689657999379198,0.03666559995838707,0.001534759518533868,,0.005537318487618739,,0.00010799007848221357,0.039011274503429394,0.004715660992570168,,0.04368523775627148,,0.03998332655803957,,0.007439018115759709,0.011475642017978368,0.003084643301986056,0.003583037302939309,0.008829461050353343,0.033520600944997994,0.04598808377542361,0.0036383044766127976,0.00013399816021091425,0.002462145519740417,0.05471337115059187,0.05877642717935003,0.0005752874599772372,0.005065215264934717,0.5591454875130111,0.026980981872932425,0.0017781612399296422,,Control
9,,0.039824702423140075,0.0017494791135581644,,,,,0.4574336687679399,0.013484735006939917,,0.05148342972864491,0.0032029988318659597,0.026618443536244714,0.007819421008364125,,0.07485249664310648,,0.0167224910086761,,0.01563706228212646,0.016092988410996413,,,,,0.013611619615020373,,,0.2540937560000611,,0.007372707623315193,,Control
10,0.020112353827389247,0.05402640287237745,0.0013264733519303875,,0.010169664551853835,,0.12005074016317924,0.1420332423940372,0.018644154129213088,0.0008859495057799839,0.022395107052409557,0.11197660087367366,0.1479516493643307,0.07863030970296929,,0.053240301175945054,0.001181443609644297,0.01155954179552575,,0.007473986821794144,0.053266621783104984,,0.000627432125334682,0.002825682348420476,0.0061690388247071,0.008548975830010226,,0.0009353938852221192,0.11259572122832626,0.005092238276726979,0.008280974506094342,,Control
11,0.012153945578245107,0.08523283887004841,0.0005341835873869327,,,,0.0011362821918703796,0.32586010968326024,0.00763064301207263,,0.04908458881365561,,0.03799474668713795,,,0.11039185036037596,,0.005646996623334383,0.0014364685977812806,0.012368451454366084,,,,8.192439282045888e-05,0.006832007078592395,0.004544113595327608,,,0.32313843313863005,,0.01593241633509452,,Control
12,0.014214667424418391,0.026111070775076756,,,,0.0054745898767234605,0.05049011336643286,0.09339530984812144,0.00499741402459136,0.0002830876800954433,0.024777707435807067,0.05476382086496728,0.11611686388950862,0.03716330259048648,,0.13846551610193558,,0.04255490093509563,0.0006698384027582108,0.027821409147336856,0.055745666696435,0.0016396682823369886,0.0004905155953308455,0.0011859133533782492,,0.029483581881940425,,,0.2208053355714232,,0.042673431172372996,0.010676275083426856,Control
13,0.002111947629711445,0.004558140826363186,,,,,0.0056631762953294465,0.01864687331644151,0.0028885831756314305,0.00015595342817264235,0.01523051200637843,,0.08405002493271509,,0.022942586486562375,0.016785453282188122,0.00034259648678889703,0.02638838478909178,0.0006848798140834714,0.01340395706249296,0.06821897740272405,0.010926343529910853,4.5303740178665846e-05,,0.0013551455184318893,0.007452882805382959,,0.0001593981826101906,0.4081543391953659,0.26098294710850967,0.028851592984935042,,Control
