,taxa102106,taxa1263,taxa1301,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa447020,taxa459786,taxa561,taxa572511,taxa724,taxa816,taxa838,taxa841,condition
0,0.01231338037496103,0.12300135908600959,0.00034782006271764216,0.00022749917986189083,0.02349497015919849,0.14353537596964774,0.0073830768321681605,0.0004050769095973479,0.06238703998402513,,0.019573996833553733,,,0.15196089418486422,7.83461125453623e-05,0.008843432069132039,0.0015962638379203333,0.011433845928141638,,0.0002598971821888416,0.0012591412288012126,,0.004161818852377176,0.004847678448808099,0.4182052321754953,,0.004683854587985028,Control
1,0.0019767228049866635,0.07398731300494997,0.0013334158355532094,,,0.10235469632492929,0.010071698051691379,,0.26501091956612016,0.0016070404075656409,,,,0.024978365078282747,,0.09508830746637492,,0.0009567219180293701,,,9.851185744457787e-05,,0.027569998196286458,0.0002603026838170786,,0.38869588705983654,0.006010099744132103,Control
2,0.011139923090206331,0.06990210695389162,0.009885871098065947,0.006975096891838646,0.03634869753899814,0.16546990204133677,0.016196485570418678,0.0005344512152777588,0.010124936037005419,0.03864420214482588,0.13170006558428363,0.024143590320122827,0.010148448828346672,0.10881982301101745,0.0006493904882994335,0.004501660604558704,,0.022454825092719677,0.08649076401151842,9.55822308477105e-05,0.008237569744133803,0.0025339133738460553,0.008556687535453735,0.0023309378355699096,0.20553460486863515,0.0026977373804935034,0.015882726508288154,Control
3,0.005529621294396998,0.007434708569787909,,,0.026633574474902874,0.06960091937499724,0.0007816158753378391,,0.04716286419107733,0.0010149647255944091,0.2046351498230519,,0.016738479766317944,0.09915887313600841,0.0056845381017995985,0.0028275562814816754,0.014297999139086623,0.06420739119771786,0.015037748530859651,0.00025931256099443606,0.02662394626550425,0.017316821423003916,0.06494897968566815,,0.2703017015642379,,0.03980323401817309,Control
4,,0.002609359607237535,,,,0.18938980539768818,0.011151388210374856,0.0018616538245445893,0.0239952360548885,,0.05883950595296401,0.0636589517291253,,0.007669653416987468,,0.004131486044792763,,0.017492235601978226,0.017536035566814,,,0.0010146474123539921,0.005627829524324098,,0.5313691620497223,,0.06365304960620415,Control
5,0.006596894138401193,0.009656122368248903,,,0.03657440382626903,0.21560835804656142,0.005030307838554352,,0.041976964348140224,0.00800656872485465,0.13486704813305322,0.012196089465205052,0.01396118118648363,0.07025188291305165,,0.009628613302085968,0.0005836323477128357,0.08126948398383656,0.06109488504126306,3.224062554296019e-05,0.000888872945856766,,0.009737109059032585,,0.2733113752299345,,0.008727966475911465,Control
6,,0.09645741896621109,0.004688209608492163,0.00014466857001527907,0.03396372061278289,0.2615958914556998,0.010652044835838337,5.4937431651371804e-05,0.07891492755584013,,0.012920206719860468,,0.010337177948158024,0.2323228580218561,,0.013048070899017678,0.0021647502479724863,0.021795294942912467,0.0019841030462482696,0.00021996516751392393,0.0026867635691147354,0.005396794756340641,0.008989379624977704,0.0002834125150485475,0.1908354022841907,,0.010544001220257304,Control
7,0.008078409320778874,0.07423323008175496,,,0.040490587901334675,0.0722388874136021,0.0040663113214065415,,0.00952458350433249,0.030678392838264075,0.13372272580837166,0.0342371176243868,0.012598093855435031,0.16456396672529894,,0.03051512853447968,0.0012634513553538625,0.03233361608893233,0.08010325296581211,0.0015894596815211868,0.00016961173688245722,,0.028047954128661845,,0.23822644810963037,,0.0033187710037601787,Control
8,0.0064857872083981275,,,,0.04776416252743486,0.033109435533667624,0.01894856515924666,0.0025048441400503303,0.04992391725302934,,0.1283785226869461,,0.01088378345933831,0.0386356006233914,0.0011354283417096423,0.11247179446390305,,0.008613558037043032,0.056423697416342886,3.398289050891534e-05,,,0.005113741155374088,0.0008331594734987634,0.34977652830159295,0.10644851123902563,0.0225149800894981,Control
9,,0.019642060922869457,0.0032548955229909486,,0.009149564551820068,0.03876076580050014,0.0007927502810721287,,0.04515113679499575,,0.18008916628128754,0.06091634433782719,0.008227140459420227,0.08243629333831866,0.0025720365468858346,0.028006436046833786,0.00026245482260736544,0.022544082104651527,,,0.00967323131705402,,0.003443398986742095,0.00783501182548515,0.4676770935665943,,0.009566136492043754,Control
10,0.0169781716180499,0.22215416476142988,0.001070890234207642,0.0023811654833395548,0.0075275881335660835,0.4463064180959241,0.018766202123758097,0.00010340539644248907,0.03779898518613683,,0.003040869587630645,,,0.10685562556814619,,0.018460450936828545,,0.0007741705294011277,,0.00012968802419381848,,0.0011269057188359579,0.013152679336313929,0.001845365195590445,0.0888017942815091,,0.012725459788695798,Control
11,0.01740741667415999,0.14415805444424332,0.0049474504110474495,0.070946452005459,0.03375283922272082,0.008028653737798676,0.004206567472190666,,0.00026112818520390886,0.07439651255114262,0.02474850569669164,0.02759862696833564,0.020051366864013296,0.23558788203517841,,0.006339514933090545,,0.035915068003133085,0.011751096110140588,0.0004770232872804461,0.0022876577162340775,0.024932278754228453,0.008942930161977052,,0.23920325092572126,,0.004059723840009054,Control
12,0.013606270430652588,0.013708547373701,,,0.03880378887122708,0.0330157679384072,0.0174084314112281,0.0024547507848349344,0.047169459563217046,,0.12761183754588662,,,0.028511416377350687,,0.10960817932251836,,0.011542817481900003,0.06501720273185672,0.0007614528825121219,,0.0029582199729163996,0.016323275128517962,,0.43484469214952604,0.029753216776501556,0.006900673257245678,Control
13,0.0020389067102033792,0.02195819039142261,,,,0.2900321716938193,0.003084988903129259,,0.04013133241371699,,0.06267038652087793,,,0.04987819715971236,,0.001358222893821237,0.003018949385325269,0.02405765868707758,,,0.003120088247461333,0.002353380604508095,0.0018128912790708286,0.0022903843824554405,0.47251528596734305,,0.019678964760055404,Control
