,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa40544,taxa447020,taxa459786,taxa547,taxa561,taxa572511,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa846,condition
0,0.009968848515963873,0.002046143053311368,,0.0007846112460066148,0.0011316423825456746,0.0031824007961276696,0.022455266170024607,0.0821516545846791,0.015374314509110283,0.002082626377355372,0.027167768785395424,,0.09448235877437129,,,0.000645161432115523,0.03525453931671569,,0.1796353162093211,,0.012748723962774702,0.03128532948397635,0.002226361882926332,0.0014360363813465601,,0.0026804254219318408,0.005585355154170616,0.019818686670663714,,0.0026459201094323906,,0.407231917897576,0.001537134749179345,0.03644145613297864,,Control
1,,0.00447833914507881,0.0007639332842893955,,,,,0.18271920220543114,0.023539925362426193,0.0010780206312816809,0.033039638013803115,,0.031008659851980785,0.012536702207813789,,,0.017858184797515855,,0.002416439369864114,,0.022401861735276467,0.029519339404206167,,,7.910426439758504e-05,,,0.013282950870745224,0.0009641824997858256,,0.0009080576535599621,0.5458723723114742,,0.07753308639106968,,Control
2,0.010357456290829722,0.06479313832945012,0.0036902456227981078,,,0.024067217962595366,0.09803430052242676,0.10872093945738749,0.017728159633079322,,0.03183757685307161,0.08131130704776436,0.08670248421108159,0.013028317537717939,,,0.11162228007044815,,0.02863528396974281,,0.01907095694167378,0.04538588963489884,,0.0005525529015569772,0.0010737845124047765,,,0.02034369346841876,,,,0.1962794015737712,,0.03667960112336281,8.541233551943578e-05,Control
3,0.011081053869470933,0.15268851606097608,,,0.0003042976290441201,,,0.2536638119385456,0.023836409103988123,,0.06974201142061609,,0.002911832905132633,,,,0.33002851320914406,,0.010518864766433425,,0.002475369728774422,,,,,,0.00463223377662796,0.014030604552607358,,,,0.11747912361873972,,0.006607357419899553,,Control
4,0.0039630825336729614,0.026852077801649617,,0.0004032136637823167,,,0.026835774802624678,0.08379056149813138,0.006281015936441149,,0.046660533139220334,0.00563263424273608,0.17025938382970948,0.019065993917008393,,0.019583432414723375,0.10980952489737938,,0.025671512222576433,0.0015786910457075867,0.02623038318278154,0.09917726967341046,0.01209028330874038,0.0006465125600588986,0.0013745401152424736,,,0.016548997780923003,,,,0.28067637716209437,,0.016868204271385745,,Control
5,,0.039824702423140075,0.0017494791135581644,,,,,0.45743366876794,0.01348473500693992,,0.05148342972864492,0.0032029988318659592,0.026618443536244717,0.007819421008364125,,,0.07485249664310648,,0.0167224910086761,,0.01563706228212646,0.016092988410996413,,,,,,0.013611619615020373,,,,0.2540937560000612,,0.007372707623315193,,Control
6,,,0.0030227901161821737,5.913077756972504e-05,0.015373486192757045,,,3.973010360269483e-05,0.001351339497863088,0.0013777574368820228,0.2263212452343225,,4.623139328313581e-05,0.0,,,0.0005744869785875382,0.006612017995157055,,0.0008992418773867086,0.13077395789744165,,,,,,0.009995784481215141,0.05765591356793358,0.0014425639435378473,,0.03772048272591853,0.48204276713463917,,0.024691072645720468,,Control
7,,0.007835528797524343,0.009365809345132979,,,,,0.2662494116311754,0.03376319031102595,0.000603703969528337,0.036422325300360194,,0.06840006659834356,0.010748684724443094,,,0.056538905784208,,0.06806759648414158,,0.026518429714545138,0.03047510573947529,,0.00025047403332253954,,,,0.04535489072196611,,,,0.2729520174791441,,0.0664538593656633,,Control
8,0.0031605438272278106,0.011683622138445366,,0.002232487685772915,,9.25427087229811e-05,0.017112093302400228,0.11368976928787226,0.002378663100687624,,0.045158738613434696,0.006363047359887972,0.17884193947223104,0.0038214880594141017,,0.02334978735683616,0.11396529417066115,,0.018527470935016825,0.0003743773216520598,0.03801086598627444,0.08703547109444269,0.01892666652855368,,0.0019330909906202709,,,0.018616227805655687,,,,0.27168330875518176,,0.023042503499008264,,Control
9,0.009786257600040702,0.05317998422753061,0.00101330484113053,0.00028858531125187627,,0.006235823857131956,0.04003500470630136,0.029589356127095578,0.004212775700221324,,0.008371110941514666,0.10117357348189984,0.060096262942328726,0.05707507186649368,,,0.18710422549543362,,0.018068940954997583,,0.03461497367015188,0.0472794525426747,,0.00012444987153069275,0.0017466737897173675,,,0.07292508077030707,,,,0.25510493780050375,,0.011974153501742602,,Control
10,0.0002382552853939221,0.018633439502524576,0.0025784426779167807,,0.0011755406841578188,,,0.10769502032331703,0.0026327108165882162,,0.14006626765126687,,0.07350669818119021,,0.00033105581992500096,0.004985305237097296,0.009186042476822056,,0.00306655331552101,,0.017543537572515547,0.009063384379007068,,0.00013778861974940627,0.003785051367113266,,0.004489024117648484,0.0036835760000064554,,0.0001322407617067874,,0.5716250664734264,,0.02544499873710577,,Control
11,0.0019767228049866635,0.07398731300494997,0.0013334158355532094,,,,,0.10235469632492927,0.01007169805169138,,0.2650109195661202,0.0016070404075656409,,,,,0.024978365078282747,,0.09508830746637495,,0.0009567219180293701,,,,9.851185744457787e-05,,,0.027569998196286458,,,0.00026030268381707866,,0.3886958870598365,0.006010099744132103,,Control
12,0.035025645155713575,,0.0026515876636765585,,,0.0067116138569858815,0.06620651982334276,0.06747612791037942,0.023502191349461417,0.0013617400588126656,0.03719517388697411,,0.00730889046119958,,,,0.06015848807428577,,0.5057128147350436,,0.003204484908487863,0.0066546902130968245,0.0007378990874507402,0.0006285846083526804,,0.0003887674049311899,,0.028320988632980805,0.0009758188360759284,,,0.056563127477759725,0.010412388608862044,0.07880245724612689,,Control
13,0.001541198527613904,0.03601669881662334,0.001507597622777637,,0.005439320028763485,,0.0001060788896483804,0.03832086003876322,0.004632204079122079,,0.042912104337196465,,0.03927570889231285,,0.0006752115711519294,0.007307363721602896,0.011272548185710813,0.003030051843974615,0.0035196253582418786,0.008673198849182894,0.03292735942568555,0.045174195004933915,0.003573914423493864,0.00013162668506107937,0.0024185709146402343,0.015138318402451922,0.05374506382575181,0.05773621262541504,0.0017123965262218265,0.0005651061267917648,0.004975572003337319,0.5492498320301875,0.02650347734653377,0.001746691664629091,0.00017189223217892012,Control
