,taxa102106,taxa1263,taxa1348911,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa459786,taxa561,taxa572511,taxa577309,taxa816,taxa830,taxa838,taxa841,condition
0,,0.13862790916182005,,,0.0007975888864611705,0.04124367380137891,0.03473408978073255,,0.0035016965303827103,0.01404581493780686,0.0059401635985680545,,0.002635835013740701,0.2433474493111859,,0.008179817209484113,,0.03138172572971934,0.033786056482814256,,,,0.0014680839353055674,0.01498406323335396,,0.40213913495019377,,0.00426359239683077,0.01892330504022137,Control
1,,0.024033001660564726,,,,0.03840654288911852,0.008965254416342862,,,0.006593564403830854,,,,0.05270601071608965,,0.0014080136278552305,,0.08373337784615183,,,,,,0.004498669567427842,,0.3722755844164419,,0.27311936093018035,0.13426061952599624,Control
2,0.0025958972908676683,0.05353438389779224,,,0.00813942294349908,0.01931532192389577,0.010107490438455144,0.0025994552641281777,0.052792495644786594,0.11258545616419378,0.0013485735221119399,,0.010629597600340181,0.17851876693658805,0.019078055935609226,0.004693068386990789,0.000945505979885659,0.030202923413812317,0.01581224310797707,0.055176337729327896,0.02316423574073598,0.0005796446723264194,0.0011557313713923293,0.009887607690955662,,0.33778584884245405,,,0.04935193550187399,Control
3,0.002652209888682333,0.029060548784191544,0.0007537896080997116,0.0007405348978655423,0.001845747214695532,0.04415178556506731,0.009275300446822045,0.0002100007134491857,0.11722580989449136,0.07410328139369475,0.004379702036419103,0.00031062125287900953,0.011721428405950515,0.33657628068451007,0.0001869490434767174,0.007035369675597307,0.0010500035672459283,0.049586101502726826,0.016507877159033815,0.002463070936558231,0.02452582426720758,0.0026336532943544953,0.00344172958523937,0.009618539812712098,0.0590651787121055,0.1378697329383353,,0.00032376070476331637,0.052685168013825466,Control
4,,0.08518815015473126,0.001803606507142385,,,0.03004969338170355,0.002479686460006751,,,0.0026218988867569713,,,,0.040802925133150265,,,,0.03933907137984253,,,,,,0.017645448018970514,,0.5194033804620471,,0.19483932902308573,0.06582681059256285,Control
5,,0.027121952228810652,0.001565691546898583,,,0.0576414257012573,0.006843117747570602,,0.011084593086027026,0.038037166233194836,,,,0.22092103476216593,,0.002376986920587885,,0.019357594841382577,0.04241211634496981,,,,0.16644081098704294,0.05809895207089256,,0.32433254245811244,,,0.02376601507108698,Control
6,0.003407621062132941,0.045885286728985085,,0.000342496264514634,,0.09642819750068768,0.005273792164162361,0.0,0.029597638423225235,0.03508635783185991,0.001289238312152396,0.0006472745859751249,0.00760244160818037,0.056201902848550075,0.0008874555107107033,0.0711840551080825,0.00016214380117528243,0.005381309978845435,0.00043971751428350305,,,0.0014623289876048867,0.137972886001419,0.007773039431074685,0.003490535505915756,0.020524738960402446,7.977128186163628e-05,0.4632413716411791,0.005638398947019079,Control
7,,,0.015728127845622327,,,0.18997905883807875,0.016186045818384117,0.002935931968314131,,0.008532058185694148,,,0.0022682398285713023,0.03570743039636743,,,,0.027859278292271108,0.025203515182594165,,,,0.017994857058492852,0.0058235242342034406,0.0035854967196476523,0.2273335638868585,0.4060273163630094,,0.0148355553818907,Control
8,,0.3650640705381168,0.013250216899162903,,,0.10162710687109253,0.04333570444138175,0.0013383701772124485,0.01883864418985356,,,,,0.017495652112670474,,0.026330303861311303,,0.031445756721673136,0.0681025956150054,0.05121934524844471,0.000582909622487612,,,0.038902972233825876,,0.19370602867426734,,,0.02876032279349395,Control
9,,0.01952383898684681,0.03925782380228391,,0.00025419736007181195,0.08509113961512177,0.015193373207978691,0.0029308284831595995,0.0036364539238000607,0.009141493719352895,,,0.0073862404240480515,0.017826553502286967,,0.00695063084796595,,0.2677962680743934,0.009499312295523305,0.08780481407150083,0.0007778098819999635,,,0.015798080594679655,0.004060249680075753,0.3990227768443525,,,0.008048114684557996,Control
10,0.001335794435841983,0.013948252181042465,0.0028925488739705977,0.00040087009589157317,0.005116947135522169,0.20622764617086958,0.011411165108915544,,0.07489114932547905,0.028072461501520526,,0.0014686745106116045,0.0040669816934638114,0.11805244232259778,0.0017180146966781708,0.11025498682906078,0.00020717534159352103,0.003889200113642365,0.00810690085453747,0.082143097143646,,0.00023484602077895696,0.0007274449249592467,0.014636471637705874,,0.21551202057887667,0.02638647586939399,0.0008363032013151378,0.06746212943208516,Control
11,0.00853893908660643,0.008397059727449896,,0.003068267690627792,0.05166433455181816,0.027888188651820682,0.017790022887266648,,0.06485781330787894,0.00046454281509764137,0.025737002527361674,0.000333221247193327,0.0056316415557556235,0.3755869155702111,0.00010355313063820402,0.019464372878046664,,0.008807222686234737,,,,0.00041204311339140115,0.013245689203212174,0.00845852632035665,0.00032208494683139713,0.02189714831165732,0.23967198533479406,0.08483445600257437,0.012824968453175113,Control
12,,,,,,0.5792500579250058,,,,,,,,0.2071380207138021,,,,,,,,,,,,0.09732090973209097,,0.11629101162910115,,Control
13,3.9323692236523175e-06,0.9721113103130194,0.000336105030633666,0.000198957588205208,2.8818657448771493e-06,0.0012148819048520534,3.7514078703161644e-05,0.00016464683130060136,0.0059023549741646095,0.0013219761758402578,0.010552144884596217,0.0004888138741220702,0.0016109375136839654,0.0034997278762108073,2.6050149266655263e-06,9.94711247569937e-06,0.00020225152791078662,3.903775173494262e-05,0.00036416388323055356,,0.00030069655574466235,0.00015086751299401153,4.582424460098481e-06,0.0006642325730512681,,0.0008034037944811099,1.5821361881765272e-06,1.4766065081775555e-06,8.967825993312097e-06,Treat
