,taxa1263,taxa1730,taxa189330,taxa216851,taxa239759,taxa283168,taxa292632,taxa29465,taxa33042,taxa375288,taxa397864,taxa572511,taxa577309,taxa816,taxa838,taxa841,condition
0,0.008923162438566185,0.2988494829064189,0.01085034599945822,0.004778322292543978,0.007468686492007596,0.007112074272908611,0.10722922508082701,,0.0012272104152814376,0.0842376461013642,0.015046432294689984,0.019767762302300682,,0.376089273840893,,0.058420375562740184,Control
1,0.0014772199919870087,0.12596008017870067,0.004253959387426922,0.05512852801833353,0.04992605972422869,0.007051310587576694,0.05480825228361112,,0.015144919891428235,0.10742421350414709,0.015217610042949397,0.022957281729830466,0.008648664470919975,0.21377490567660076,0.25475214914653105,0.06347484536572844,Control
2,0.03587440900128565,0.13202683330759943,0.019322395497371612,0.000561051992733887,,,0.009299747023681228,,,,0.007119286054481218,,0.17054282400785237,0.5960632046297044,,0.029190248485290254,Control
3,0.005513103434940418,0.036993815434968456,0.0024639028301575074,0.031731660147362444,0.026536863507262778,0.010222684076362608,0.012263417359173414,7.267084368193418e-05,0.02214728956345753,0.033670824239296175,0.01683063114309006,0.0032864432859843118,0.00588527589900155,0.25964633735229303,0.5208937706319059,0.011841310251061825,Control
4,0.038358297406201,0.27874062708822345,0.016653776699330543,0.01701086182615648,,,0.029504144283928623,,0.008572792496194586,,,0.014795719698371327,,0.5795605023295308,,0.01680327817206325,Control
5,0.019239367388009937,0.11885674819494901,0.009016497252807044,0.031303718053660376,0.06098826398174769,0.006419686347196188,0.10146943264614988,8.871608138581151e-05,0.005429610733319253,0.03893247193058422,0.05041467513228128,0.007791365479370504,0.012694276299602498,0.09848438524419414,0.4183346706384387,0.02053611459630348,Control
6,0.08079137636458514,0.15678944457177288,0.002646766717121121,0.07409583538836027,0.0811362429545308,0.002292451727450922,0.10464561617198893,0.00095536818928978,0.00011743011086212327,0.02666972794817742,0.02686665959386458,0.009896793780037475,,0.39139051018928916,0.0005431480070220507,0.04116262828564726,Control
7,0.043738597848946015,0.17665268217180563,0.007591930010354386,0.034408717406730134,0.033049999035305665,0.018094128441547033,0.12331687636263071,0.0025809860891077433,0.005108378048702058,0.020621734777659398,0.01640108989021779,0.013460380003815902,,0.16432603238371685,0.31054796781779714,0.030100499711663592,Control
8,0.05144663760925451,0.12070843322607527,0.0036268479719056526,0.030088030413106877,0.043485261447298064,0.000951356108387709,0.07481091718469264,,0.02562288269104,0.06287626733548353,0.026787310596420134,0.010199050705198238,,0.4605495359325708,,0.08884746877856643,Control
9,,0.002936575417048938,0.0006081186798103395,1.79551292658709e-07,4.041638584866777e-05,2.1423562378529554e-07,0.04403740055935583,,1.0706390313542421e-05,0.004317507545207513,,0.0003273894933002694,0.005154581367262281,0.9402075949697034,0.001351153797916717,0.0010081616073160334,Treat
10,1.9631723907247764e-05,0.009783963460808428,0.0005413746631156193,1.4605418973817413e-05,0.001331828892418522,3.507533986154381e-07,0.4295150597366632,8.150698186946297e-05,0.0004370106746869465,0.0006282586765503167,1.2277351323982826e-06,0.0006943913988128572,,0.5537105387256678,3.967634851946543e-05,0.003200574809475199,Treat
11,6.0484232909659284e-05,0.0016443551421627782,0.002104994833997111,9.339161603385297e-07,,,0.6745309934655277,,2.9057675984899424e-05,0.002334251846757432,,2.114099821889948e-05,0.0012582507992761679,0.3161488573217489,,0.0018666797672561531,Treat
12,0.0005314657835895687,0.012876673981447085,0.0002180237791322754,6.433432287224907e-06,,,0.6370018360040802,0.00010960981431158409,6.494051764786171e-06,0.0011781415284793748,1.9342632626630737e-06,0.011225293335706462,0.015590605252798382,0.138157760733192,0.1655965707691072,0.017499157270841125,Treat
13,9.808903274435992e-05,0.0010544628538595642,0.0005000749797825822,5.870184601030871e-07,0.00015533008776738192,1.1553598386872399e-07,0.4529028361161932,,1.9759357898513853e-05,0.002968230520410811,3.163315177289056e-06,0.0002114905205506446,,0.5416542919874647,8.504467055430667e-05,0.0003465240031526241,Treat
14,3.346801723291975e-07,8.46100278720747e-05,,5.71946260749831e-07,0.0006655951698490229,1.0185594005192778e-06,,1.8802205894331964e-06,,0.006638915176198251,4.993593197877656e-06,3.760441178866393e-06,0.08023032938035406,0.8934078831499849,0.018941305449047686,1.8802205894331966e-05,Treat
15,5.027337807678544e-05,0.0012439307959960367,0.0013317319385591042,7.717069660185818e-07,0.00080529649721053,3.252206409663946e-07,0.30494117638986634,0.0007671684371101642,1.5770669972904306e-05,0.0035996715287285254,1.1780755044599673e-06,0.000204564073788035,,0.6851247579669782,,0.0019133833206018056,Treat
16,3.700432212582296e-05,0.0037257602181891528,0.00026443560071530946,3.1506561832328787e-07,,,0.03119471637901719,,7.337144319745124e-06,,9.116408427753583e-07,0.0006263391688004153,0.12714914131198787,0.83615302257977,,0.0008410165686134365,Treat
17,5.217413304165429e-05,0.0018062717772009747,0.0005529122064139076,,,,,,2.1928378783406443e-05,0.0029441184489558654,,0.0002452439627466503,,0.9942454910613923,,0.0001318600314653144,Treat
