,taxa1263,taxa1301,taxa1348911,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa283168,taxa292632,taxa29465,taxa33042,taxa375288,taxa397864,taxa561,taxa572511,taxa816,taxa841,condition
0,0.08306956900792517,0.03510585731867224,,,,0.2180815259349774,0.033495808072939004,0.003101382661930579,0.0028863811826328697,0.016445917225852872,,0.03809891862462077,0.0009072734179830082,0.0015501989611653715,0.0527494367289489,0.0372204214860552,,0.009312901226679176,0.44315689133901826,0.024817516810599124,Control
1,0.40559566996945334,,,0.039918817213964966,,0.20499552215291916,0.012088601103654492,0.0025315960484982034,,0.001863884022174594,0.005751416575118395,0.08069704271770953,,0.0019815662842962373,0.04337326212481509,,0.0011619140866619372,0.05176433519037986,0.13862822449926882,0.00964814801108518,Control
2,0.020960712510736765,,0.020167331129522598,0.0005194815702431057,0.027051711261053997,0.06958649576365515,0.01023507195462258,0.0013798506115687808,0.041872760806579014,0.10283010370713039,0.011538416233239845,0.04603123100355486,,0.005843513256477188,0.2968338633449354,0.01545332738892214,,0.007277620303233981,0.31467304608120406,0.007745463073320075,Control
3,,,0.018071563580428312,,,0.3425463371099574,0.03123678090863908,0.007261022409420882,0.0013107534020453996,0.0217119607608392,0.019675086978446752,0.06805287999332471,,0.0025226470470862674,0.05284697960768095,0.043991866290818187,0.04222109757911502,0.009103078982597053,0.3071037537684614,0.032344191581139374,Control
4,0.019267768809904582,0.003493947032544791,0.0005073630674844924,7.482651120639767e-05,0.0032864682673140683,0.18466419665933745,0.00412355372034638,1.8619889187372525e-05,0.09056783491629378,0.033591436608876396,0.006339783139586255,0.1114411933012809,0.0036492669777537425,0.12927176109918875,0.03488453586977089,0.01811264177137367,0.00010663066975625759,0.009580106464131618,0.1825801568881794,0.16443790833648295,Control
5,0.033135416799774664,0.044418900056687805,,,0.002558636500090467,0.20561318475611196,0.06095503292651827,0.0035886839967250355,0.03522180930194744,0.0020408348459030794,0.021691185389844832,0.13211312892020394,0.007926106222305437,0.13064769097686169,0.027239774574790578,0.0017756374321704833,,0.02918616062111012,0.17629516620303423,0.0855926504759201,Control
6,0.010319580788787287,0.0004048139361083632,0.00014296565726271558,0.005127825637945931,0.010554390386665178,0.005400073409471485,0.002021661376973837,0.004411355326472368,0.05320916849925795,0.008678869248930028,0.008566007386267041,0.08111056948607129,0.00016245102249454053,0.0012482675266207853,0.0671405478299488,0.011693080100942948,0.000616416245058462,0.003891490160821039,0.6520284867282221,0.07327197924567772,Control
7,,,,4.8180843319031635e-05,6.2867704416113e-08,0.638941349056366,0.0018395129958435515,,0.0005034385771753733,0.00020915878786984164,9.827206896341316e-06,3.786113085492184e-06,,0.35795958447868886,2.2284625553373294e-05,4.2429291209579786e-07,,0.00025376523297760827,0.00019903116324881658,9.59375835921074e-06,Treat
8,0.0008264936150390226,4.750683426056219e-05,5.153956772699927e-05,0.00035616203351559485,2.576402437313367e-09,0.6414816618328477,0.0033371667558343495,8.364084218842316e-07,0.00012697968644555021,1.3529063663405377e-05,0.00013927564741108534,2.1184681244434155e-06,9.361194162772964e-06,0.35326349848292576,5.5918741335100114e-05,1.6114586477715348e-06,4.906357186739931e-08,0.00016340401857492688,0.0001209896691305118,1.8948819582765601e-06,Treat
9,0.005516097725901511,8.066421313841937e-05,,,3.5941250192180143e-06,0.6767754787024984,0.01741530136554569,1.250792917470684e-05,0.005439654740901617,0.008383485676236998,0.0010952568215304092,3.234788255617252e-05,0.001965772524102511,0.28070877135558203,0.0002452912955210004,3.183215624415099e-06,1.96126014437034e-06,0.001018803362019005,0.00124251957381603,5.930823068741898e-05,Treat
10,0.0013705703382010004,0.0017927687266521414,4.749270233330905e-05,1.0607926453533907e-05,5.318713294233025e-07,0.4392205127294764,0.0030160878958091974,,0.0021817462771740177,0.000658040254684414,0.000250479238192331,7.33459576433262e-06,0.00012824268760202166,0.5508161789115232,4.704193463849601e-05,,5.005912296235994e-07,0.00024105941893892954,0.00020439723412832725,6.406665869297832e-06,Treat
11,0.00015274793137726574,2.4827994380986377e-05,,2.2474763550585557e-05,,0.9736778336328867,0.001123734962216124,2.915115103098487e-08,5.015622645346515e-05,8.629942396204255e-05,0.00018358370997706278,5.375483064118088e-07,8.941572595394252e-06,0.02454747213590258,1.5046976583445211e-05,4.119761667560371e-07,1.2788111118709958e-06,8.638893564034916e-05,1.6306902208359334e-05,1.9273455297375997e-06,Treat
12,0.0005853870300779597,,0.0011770749030672247,,3.2662493426584156e-08,0.867572424760176,0.007617642667156446,4.103667879714663e-06,0.00010903249939229605,0.0001980789092354025,0.0002214630712836858,9.399572498680306e-07,,0.1209767908480192,0.0006328727725226431,5.5647220434572e-07,,0.0004736768975856712,0.0004271084955985508,2.814386057487509e-06,Treat
13,,,0.00011827509452711735,,,0.9906546782498721,0.00833344704745177,,,,,1.6174924994568845e-06,,,0.00011534194268681125,,,,0.0007651482076409727,1.14919653218538e-05,Treat
