,taxa1017280,taxa102106,taxa1263,taxa1301,taxa133925,taxa1348911,taxa1357,taxa135858,taxa1485,taxa1578,taxa158846,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa830,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa904,taxa906,taxa946234,condition
0,,,0.02553143879369152,,,,,,,,,,0.10679035628432372,0.012027939258116436,,,0.00023781696833366858,,,,,,0.005262656031227374,,,,,,0.0038896814399352548,,,,,,0.226813542922192,,0.11866570837379165,,,,0.47587258010645567,,,0.02490827982193274,,,,,,,Control
1,,,0.016528667108265255,,,0.00011510185389628974,,,0.05052450054382049,,,,0.17261802540009652,0.010069878887498671,,,0.005713386161608726,0.014915401159605176,0.01815246191212188,0.020179010982720413,,0.0011309830475209148,0.1956312406466966,,,0.002387392360344447,,0.030322796300385178,0.029424163620454198,,,,,,0.012593737477817848,0.0013435023674590906,0.0037883434328565705,,,,0.1487768128030879,0.1925083617510202,0.010048207845734895,0.0632280243369888,,,,,,,Control
2,4.246673355344922e-05,0.0021707343826574714,0.0108598104695593,0.00045757402243491366,3.471806416099522e-05,0.00010163839073218889,,0.0016451330808810135,0.00022350382754078368,1.4390386014557439e-05,,0.004473196144986661,0.12305792683847244,0.0020207925983099853,0.0018859456244672784,0.0,0.05621860908365443,6.772538313144862e-05,0.009587921736426495,0.000679769633065283,,0.003814559246628071,0.020706255993897672,0.002367872607849906,,0.018603347626441682,,0.008408413243582945,0.0018218429958569778,,,,0.000623214409707372,,0.0004543537961938938,0.003211068722646945,0.00029626081417382576,,5.4743846097337376e-05,0.0015122987484389447,0.05601241397215914,0.07855409829136809,0.539696835825822,0.026662668219084067,,,,0.009010897446863753,0.014646997793138706,,Control
3,,,0.05763234871713147,0.0002830631648047146,,0.0017868231906537843,,,0.09401076307529668,,,,0.062145506148019315,0.001890912003651244,,,0.000532959753924868,,0.028268873711066563,,,0.0012919319905806928,0.09686287998935336,0.0035605049079231203,0.01860738763570918,0.0019099984292810382,,0.037022555148818845,0.05654702989142849,,,,,,,0.1402716697159752,0.1834643552136084,,0.0001409057979554788,,0.1901529479766616,,,0.023616583538156065,,,,,,,Control
4,,0.0013903244606945806,0.00454257852309446,0.00013624515595139775,0.0,0.000538440051326388,,0.004204380613823672,0.001791814986725657,,,0.0015928809591658978,0.06430187740592444,0.010687899176169618,,8.452432126970022e-05,0.023789571469741103,0.0005719479072583047,0.033709204940084336,0.00016602991677976828,,0.007702882520853358,0.187648018186414,0.00023012752707595767,,0.08794343068925156,0.0002141282805499072,0.005283575072892165,0.014555691867794304,,0.001542166366404078,,0.0008436332256251983,3.813656876335284e-05,0.00020990206448642223,0.009983731080639421,0.02049815414982218,,0.0003116331225860257,0.00010173105809960348,0.05174216701039891,0.00026433975235178855,0.429646181191165,0.032272693975267386,,0.00018041917623401487,0.0002472336397138731,,0.0010180149503399493,1.4288635262258847e-05,Control
5,,,0.08275101981961633,,,0.001752007498087917,,,,,,,0.029190007860085437,0.0024087456180905994,,,,,0.0025468895186592584,,,,0.0396356026073905,,0.02860879512805788,,,0.038213627946208584,,,,,,,,0.01714063301165299,,,,,0.5045438755615878,,0.189265210576176,0.06394358485438674,,,,,,,Control
6,,,0.001967314519219523,5.727100335767673e-05,,,,,0.0006353344111460081,,,0.004547438875072247,0.1657929892615354,0.0068570663226500865,,0.000430492092258233,0.06834481143900922,,0.07145522286298858,0.0001758532924968521,0.00410432090023957,0.008398131046156389,0.022821838292140302,0.000644122025417821,2.757492754258509e-05,0.003852207276993076,,0.04855560913418971,0.054627547574830584,0.040217274267905875,,0.0010343123004984296,0.0014115736718228083,3.070614642104712e-05,0.00033180819405638094,0.050813116938500234,0.00012312760686597517,0.0005524076143970616,0.001620355266073809,0.0003954426422315773,0.39789206345101935,0.0007675526534655829,,0.04106179430154527,0.0004533196879528274,,,,,0.0,Control
7,,0.00011550724480547497,0.1293885104428318,,,0.00022414417021731576,,,0.0002942428977804897,,,,0.2619599110422457,0.0340009959816146,,0.037604371154835205,,,0.00036337548667893374,,,0.006150868134632067,0.04629210472556671,,0.006650683870518955,0.024545718916125534,,0.004999338195014661,0.012627217650537556,,,,,,0.00044012983615469083,0.12363032400104215,,7.772048814048687e-05,0.0009911509212722587,,0.26566344259037666,,,0.043980242249608795,,,,,,,Control
8,0.00011881116280757124,0.005577977509520512,0.16974578038980942,0.0008649331724999016,1.965070122771535e-05,,,0.00555540439631534,7.880435056447899e-05,1.390665009961394e-05,3.29527143664765e-05,0.014209976308308413,0.08220734815298522,0.0035502266884739056,1.8743745786436178e-05,2.6604026277522314e-05,0.04906467700797415,0.0034319193898003785,0.07484468388068093,0.06443545550829309,0.00020819666018697387,0.00213628315551968,0.2120723831060402,0.0009747755537214899,,0.010031229499028044,0.0007430988248880665,0.022141301642294754,0.07832054022296994,,,7.114561572701043e-05,0.0009101801717370512,,0.0021711505535955233,0.0035353123101062034,,0.00033728665132904236,0.0002511258844075212,0.0006450468644031073,0.18837565288195168,,0.0,0.002887141488072024,,0.0003787042831474579,1.1588875083011612e-05,,,,Control
9,,,0.12826507775744905,,,,,0.016697534141400946,,,,,0.040906278587297444,0.01939964633429169,,,0.005539809853633038,0.00972008951907998,0.006025793910088866,0.007890400385520129,,0.002465552306586514,0.2291016645974909,,,0.009174991015420807,,0.03381785399242029,0.03844317662049138,,,,,0.00396107635258756,,0.00820445226738108,,,,,0.3880051783847361,0.004688929364871931,0.003299178319393623,0.013442870328018821,,,,,0.03095044596184005,,Control
