,taxa100883,taxa1017280,taxa102106,taxa1263,taxa1301,taxa133925,taxa1348911,taxa1350,taxa1357,taxa135858,taxa1485,taxa1578,taxa158846,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa29521,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa674963,taxa724,taxa816,taxa830,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa904,taxa906,taxa946234,condition
0,,,,0.08471881086925323,0.03980519375195946,,,,,,,,,,0.20394170471994827,0.04137040678703145,,0.005596352633760681,,0.02376666201972125,0.01474217768180934,,,,0.02492412099331846,,,,0.002348384166741435,,0.048077406749869565,0.037293790086320264,0.0019915480343934183,,,,,,0.0016782385188795672,,,,,,0.37678240982650335,0.06788140146672378,,0.025081391693766438,,,,,,,Control
1,,,,0.020880850030090627,,,,,,,,,,,0.04591541359005073,0.009004102504369305,,,0.0005864917999757593,,0.0060464586714266,0.00020042929646693522,,0.0016363845283274279,0.03315111057243551,,,0.015944937559977942,0.0005679179855911273,,0.0861940417931811,,,,,,,0.0012025757788016109,0.005376122364708913,,0.00128148825573519,,,,0.39601575940928974,,0.23670699912745044,0.13239351931283186,,,,0.006895397419289169,,,Control
2,,3.1354603359686464e-05,0.009868556005480544,0.08193395600725188,0.0006570214613097938,3.440862316744814e-05,8.581795659810292e-05,,,,0.0010128147689140283,,0.017391930200580896,0.004175455881171755,0.106109882207474,0.01633971857614674,,9.864483979070192e-05,0.028989875822536607,0.003569538351311839,0.014246798801887667,0.0011295801262307826,0.0014697979328154327,0.0022231228187299776,0.5244169392633847,0.0,,0.012749209288821606,0.06878385571833141,0.008153011278800554,0.014664690512249721,0.0001350894761633245,,0.0005925816433660226,,0.00473668292117809,2.565376638519802e-05,,0.02695335361406087,0.0022732087435772693,,0.0006460269900018518,,,0.03483211391412442,6.810464171308525e-05,0.0015762814234460566,0.008076355381625733,,0.00019606807165829915,0.0013947708462047543,0.000345715042238621,,1.2012477910529233e-05,Control
3,,,0.0004162836689070216,0.04225119960293258,0.03316468586819191,,,,0.002688425906182547,0.01848819459180617,0.0004365275303670768,0.005274810419320248,,0.0004162836689070216,0.21827917929124901,0.011084079333329565,,0.002824481096909009,0.016402152014957854,,0.08509491750626455,,,0.008820877278526248,0.046832786218143525,0.005706610956656043,,,0.06129543244022279,0.00017602911005621524,0.02003535996308835,0.056694013006424085,,0.0011546194282496408,,,,9.84447679123492e-05,0.0393757491898602,0.008856740769133148,,,,0.0013033141872988779,0.2926635526743734,0.00019216254279341656,,0.01997308696793712,,,,,,,Control
4,,4.8243135755580977e-05,0.0037092941004072326,0.054300463475825476,4.361983524567114e-05,,,,,0.00541981478254105,0.0015175481391114943,0.0010025526649206674,,0.008035497299288956,0.07129652020251663,0.011431110510752091,0.0016467995403233212,3.507677995562035e-05,0.14136444854779118,,0.08665834070548754,,0.001185072528529282,0.008221936917677714,0.037259379822429085,0.0,,0.024733250636558127,0.05997797700852757,0.0014344292364659413,0.03023548077601496,0.023982466836361897,,0.00041428792830105164,6.261556994943114e-05,0.005136486866509839,,,0.019090311351147516,,,0.0015225734657527007,0.00025789976322671004,,0.3164578844460312,,,0.0797964581899859,,0.000262623570269444,0.0033557121179319535,,,0.00010382324840732323,Control
5,,,0.001897203281810613,0.08669936484301385,,,,,,0.011051785568874315,,,,0.030783073614727933,0.0351086472419197,0.015437704926205794,,,0.04044150639560875,0.005573930478395189,0.08214850741431945,0.05103856975010844,,0.023073776757774524,0.1869928258170874,0.00024273316925388163,,,0.007432288143902443,0.0007625789168429608,0.025257232762932888,0.03369171703440517,,0.006667216460237878,,0.003095808661866152,0.01265650421028316,0.008491714043084983,0.00778792287711823,,,0.0009085096411911435,0.00470842106487675,0.0001557979263503733,0.2832416687578211,,0.012160339747499341,0.010286298424072814,,,0.0029406339272211803,,0.009265718141193636,,Control
6,,,,0.022875016776709254,,,,,,,,,,,0.06169369242012498,0.023790004825802017,,,,,0.0020412890066378968,,,,0.025993170669726232,,,0.00912610910351577,,,0.0887191303290507,,,,,,,,0.00562046055906096,,,,,,0.4610786656215671,,0.16270042119532632,0.13583454609482384,,,,0.000527493397654921,,,Control
7,0.0002090589725409236,,,0.03607147631152377,0.000511212937694456,,,,,,0.0075232896856111285,,,,0.09775429580266047,0.0045107559627089785,,0.0013160798629560757,0.0018909414423389352,,0.003685853375993777,,,0.008821458881510211,0.0014010796388197618,0.004391553896081095,,,,5.69700878705421e-05,0.00015026746090187395,,0.07516034347599905,,,,,0.0003828025620146728,0.0018068523783595024,,3.926180123227413e-05,0.0002246422647825994,,0.00012405919667723733,0.733986219310148,,,0.01998152469157477,,,,,,,Control
8,,,0.0022123723387418226,0.03586557411632205,,,,,,,,,,0.0016356827383502278,0.1277837341077852,0.003994512667503167,,,0.03925166128200512,0.005329782746700159,0.05274239783941162,0.010959053805910005,0.0005986685094715232,0.0008249280267756522,0.10828207403256596,,0.00023848143403549097,,0.054631762378824576,,0.034202160978665366,,,0.014347092370062797,,0.0018364713703654671,,,0.0099911601649322,,,,,,0.21740324940710867,0.2390380961252724,,0.038831083559190585,,,,,,,Control
9,,,,0.03555322260314961,,,,,,,,,,,0.32758135007064676,0.013554716745758205,,,0.009758504998735302,0.00026934259547840606,0.014135322175259403,,,,0.10607845484025853,,,,,,0.01134023457917447,0.012354319576812151,0.04638525023243456,,,,,,0.025241552717535153,,,,,0.0006901650867597053,0.2952247987980434,0.0829498239046211,,0.018882941075333098,,,,,,,Control
10,,,,0.12731684636080354,,,,,,0.016574093479326292,,,,,0.04060386877821635,0.019256229637716026,,,0.005498855435435168,0.009648231346759486,0.005981246734231174,0.007832068643876448,,0.0024473250997110924,0.22740797372548366,,,,0.009107162618971274,,0.03356784712006314,0.0381589759035412,,,,,0.003931793113316959,,0.008143798819316895,,,,0.007392747996758654,,0.3851367538795002,0.00465426529170283,0.003274788325481976,0.01334349057533067,,,,,0.03072163711445686,,Control
11,,,0.0006919988164288539,0.031452506570560416,0.0027387751937412094,,0.0010365213979009022,,,0.02410856364358475,,,,0.0021055329841341342,0.06824331986432183,0.0206798993859038,,0.0013415916078265491,0.08828428070889796,0.016675272698695173,0.004891883096504826,0.09530469309166821,,0.01854071584956832,0.15422185207786887,0.0019439259434681276,,0.11674526373752149,0.019331978520609912,,0.01331485893403701,0.019062246664876895,,0.006187376612444269,,0.00025981601903418705,,0.0023172466464165594,0.011816934666767233,,,0.00015232412971391234,,0.0021323268407458613,0.1955297509384443,,0.04709210177235034,0.033796441585964246,,,,,,,Control
12,,,,0.025707658418531943,,,,,,,,,,,0.06300396268038466,0.009706022994451762,,,,0.05001817250480766,0.027642781866901053,,,0.006154124327500767,0.1789925844423494,,,,0.0127770040076809,,0.046885062403753126,0.004233899697908714,0.06998532618379225,,,,,0.05261330348974932,,,,,,,0.43524213215677937,,,0.017037964825409157,,,,,,,Control
13,,,,,,,0.015379996256050202,0.00307284730210836,,,,,,,0.21587517554184482,0.00817385262233578,,0.0025537859404279597,0.002000376415460027,,0.018108351685186548,,,0.014906496722730615,0.028393606109608827,,,,0.0011475317258325562,,0.03355219511534769,0.03006312889340219,,,,,,0.033778892993045394,0.010583780372994784,0.008874555153401421,,,,,0.1892886869171988,0.36854063847376156,,0.015706101759262403,,,,,,,Control
14,,,0.0026097027809891577,0.04063950276402762,,,0.00041479067678348175,,,,,,,0.0013219285338888823,0.16980880850616195,0.007420202712522949,,,0.041463199071255626,0.001621435356496666,0.037252658595956153,0.00019935594473226878,,0.017151231924106447,0.12357966771136748,0.00232816636773784,,,0.0056973553967924195,,0.029595582768290073,0.016506188809311158,,0.01179752119746401,5.653848089929394e-05,0.0005618117451442853,,0.0009740802592110696,0.009302997180537353,,0.00040291549399236616,,,,0.14215749792210577,,0.3038544005906906,0.03234106197552809,,0.0009413972340072029,,,,,Control
15,,,,0.02976594877011243,,,0.00034844741111480826,,,,,,,,0.04897040906566331,0.005159657444038607,,,0.0013087073265259045,,0.009377399859060666,0.0011885166915271506,,0.0030732956229944496,0.03791666613951476,,,0.021374533839567854,0.0013448699474071085,,0.09923476520443159,,,,,,,0.0017004866244692111,0.005855708823215603,,0.0022221561525164334,,,,0.3207403068361481,,0.2561578722968177,0.14514495201441613,,,,0.00911529993045812,,,Control
