,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa459786,taxa561,taxa572511,taxa577309,taxa61170,taxa724,taxa816,taxa838,taxa841,condition
0,0.00982255686845792,0.04272786501822335,0.0029276080704300498,0.0004534103688683224,0.013903135806242327,6.256697067885278e-05,,0.03358988460225708,0.010316344094089746,0.004082866578394241,0.056837002861380874,0.004639678302826883,0.00037071216082296485,0.011784780601539674,0.3689220820457729,0.0021237311601357577,,0.06886335831131858,0.0021418035209534152,0.14231297851722455,0.009042700184566843,0.14271789090516449,0.0007954126400379199,0.004684630440810044,0.0030909456099719175,0.014225006840045422,,5.181505981265138e-05,,0.04430668018509757,,0.005202552274875574,Control
1,0.0014782812341046733,0.009561411453794,0.00037507265891726114,0.00013246211264087159,0.004751089389308076,,0.009778969824096196,0.005003335387882232,0.00187313192668577,0.0040872574388988074,0.04929994382024181,0.008041241358647457,0.000160861340465867,0.00793667134476328,0.07515145663189418,0.00015051590747247582,0.03986927024025645,0.0011565585531729393,0.00465564769865336,0.062207798569956875,0.010834001137794777,,0.02075314143637006,0.006107253943765268,0.0005711287567233904,0.0036055862498241536,,0.0004445493412748392,,0.6041246024234888,0.0,0.06788875981890623,Control
2,,0.06555773786846784,,0.007843924074447664,,,,0.06008627476318647,0.005211712635765129,,,0.0031696158563608904,,0.0030525931188429916,,,,0.006295723259029228,,0.02896272745794507,,0.08341490751653045,,,,0.0018370569401634732,,,,0.7275623653675909,,0.007005361141669825,Control
3,,,,,,,,0.07871456393205234,0.07393450821033264,,0.0041164595394018975,,,,0.24671717123517325,,,0.021238577142897137,,,,,,,,,,,,0.007062559368953752,0.568216160571189,,Control
4,0.0009024257421326388,0.041802275761660755,0.0017611708381854562,,,0.004835016866779053,0.0005637469299221962,0.10915239757016668,0.005123965365964347,0.003056004637941276,0.04288762702634364,0.01342287797421878,,0.009858598776142122,0.06331807005780918,0.003915775101272962,0.033272450442205025,0.273575167573211,0.00020261257430452157,0.011069557532486455,,,0.0005197586736587145,,,0.01566535621310536,0.013566942076899879,,4.5218696998124506e-05,0.11796337859748827,0.18581090607297357,0.04770869889813007,Control
5,0.00021758549049498137,0.08288811221421429,0.0067051506555906104,0.00024753490211969475,,0.0024472086344354714,0.00038331226824381477,0.13273217427100323,0.009642605027963507,0.0016156602056338662,0.008394679376473351,0.026791658224550638,,0.012990909047053944,0.08503854026969748,0.004239952273904054,,0.08012713826738836,0.00016602828189270637,0.02144538674539543,0.004630199137456947,0.03766580717885387,0.00046994445891664343,,,0.017560304848829845,,0.00022331406922856747,0.0001733648827269482,0.44082619371520637,,0.022377235552725434,Control
6,0.005300827753492316,0.026183903970697656,0.0010890019559269353,0.00028021817510153586,0.0053375860242814354,0.008569971914033707,0.026643433267294032,0.07872022974632009,0.007039768885172559,0.00047093352465283554,0.1233764375818597,0.041660154207564484,0.0007001381438946803,0.004070291181507557,0.09639556135225226,0.0006119590233867116,,0.03641879135750942,,0.06645090953300808,0.018046681782020603,0.13753091742229012,0.00048172681192055464,0.0003804124644547013,,0.0073808774922183955,,0.0002328702639742777,0.00044008101482152545,0.2781277393694012,,0.028058575780942698,Control
7,,,0.0003048486428027607,0.0031759256789064445,,,,0.09800724823565385,0.014007235922682753,0.0003843699144864157,0.0054975363796991965,0.0042969190894147444,,0.0023682973828779933,0.034618739110716196,,,0.0026449288002446183,,0.04597355584240219,0.0012434048648548815,0.04663414674188524,6.002573410959776e-05,,,0.012326412759521522,0.009276797642476471,,,0.619193664565937,0.06105868977674532,0.03892725291458288,Control
8,,0.05007226897023392,0.0020118147371918035,,,0.0050331916062059355,,0.15632852444178522,0.009409585183314447,0.00846686814122768,0.010419041379970795,0.0038012715609843325,,0.0029067550194200346,0.057052548927215764,0.004495146898175966,0.019035701845899086,0.2684354731954368,,0.01237418080336145,,,,,,0.03123742019903946,0.00817660578643301,,,0.1431258247052672,0.1535657353129367,0.05405204128590036,Control
9,0.00387560186365574,0.06010224769991685,0.07861649057672046,0.0020826498867045702,0.0004651787693943906,0.022282766255978945,0.0054424637470075286,0.0566406826429186,0.007909424174528765,,0.09567393333581228,0.039929939772880674,,0.010984015046817801,0.18289537878028336,0.00562369807745642,,0.04160984670303215,0.008517587348075074,0.02617221906787593,,0.052876101456704225,,0.010492199838497945,0.001332887403830469,0.01057093715196163,,,0.0007412388224179514,0.25107400785391387,,0.02408850372361434,Control
