,taxa1263,taxa1730,taxa189330,taxa216851,taxa239759,taxa283168,taxa292632,taxa33042,taxa375288,taxa572511,taxa816,taxa838,taxa841,condition
0,0.07502912263891016,0.03180250217318428,0.0034467231407794264,0.0038274579787116046,0.006661667599931751,0.004027310079864133,0.08766095712985846,0.0020542888696269794,0.03425887937287903,0.0049472724230844095,0.44470927842403757,0.2560086757372708,0.045565864431861315,Control
1,0.08818191409974735,0.11420140041969419,0.017585720623184458,0.031200528622333367,0.015333203098764653,0.002392649335973523,0.5644068923815078,0.07402903938711888,0.01578296157134325,0.029008709318086166,0.03748827258891385,0.0016964823847519935,0.00869222616858043,Control
2,0.08219327938180744,0.23037231156466342,0.0479811603521186,0.0017127060482668684,0.005645700858654826,,0.03462679915706624,0.0008920072096203891,0.051781860930167276,0.02495769254179697,0.4985617896526452,,0.021274692303192757,Control
3,,0.5792500579250058,,,,,0.20713802071380205,,,,0.09732090973209097,0.11629101162910115,,Control
4,0.05399421764278328,0.11346916307846688,0.006205786259906103,0.03482818665109333,0.04128688248708956,0.008945958848053636,0.06613400483397819,0.08376383015546864,0.0063323048173853855,0.009146705026957254,0.024151907975094717,0.5451062252104295,0.0066348270132935054,Control
5,0.08028394355211602,0.027510168763833807,0.0033400992548604175,0.005174778387925984,0.007945284340666575,,0.07740179111531532,0.0029734526143299755,0.03329895117371852,0.01689053284291505,0.4518315652186396,0.254710970387655,0.03863846234802368,Control
6,0.11690967080139142,0.09692970230120154,0.03074102023693335,0.09682231658485065,0.003099487246173714,0.009857870421927298,0.4935212347040201,0.024529768150607,0.028298470730561805,0.009207330864902892,0.04885289228987849,0.011903040900642793,0.029327194766909006,Control
7,0.4622076122406264,0.022449397434534567,0.0008504971514476154,0.07889531703783778,5.6636897792076845e-05,1.503848500866781e-06,0.014149073178877883,0.03501150826739255,5.061224650991173e-05,0.00048628344395048944,0.21437748006480342,,0.17146407818772638,Treat
8,0.03150213281109325,0.000495201937505297,0.015687508528974797,0.08156601042209176,,,0.0008520087374824745,,1.3955759228117171e-05,0.0004998302255923481,0.28140791355860084,9.385539473890527e-05,0.5878815826246921,Treat
9,0.3539342153381745,0.020478966060960453,0.001400604894540574,0.09699383337741006,9.362883333548878e-05,1.6382639231581444e-06,0.006238978817519523,0.028595093211761523,3.9356603799119e-05,0.00039911668763795545,0.20970397171800992,,0.28212059619292773,Treat
10,0.289155358123441,0.011175715266169757,0.0007168148800208469,0.3567030359190156,0.0002609438232851431,1.4488389833951795e-06,0.004326291092714162,2.3726160894524893e-05,1.737772277325637e-05,0.00013800913359408122,0.18620229632427734,1.2518858280511066e-07,0.15127885752624814,Treat
11,0.5400077639832545,0.0014194440853091783,,0.07602981647791614,,,0.00391568282603095,,,,,1.2981223449677364e-05,0.3786143114040396,Treat
12,0.41181047713648883,0.008612240715012936,0.002934878900193147,0.00823789345260628,2.3458472277743665e-05,1.6524342566599992e-06,0.00013790022528438036,0.003052348828447918,3.234980001184032e-05,0.00012532981355190494,0.536909570319165,,0.028121899902703418,Treat
13,0.06066646737991065,0.008772765270325207,0.001471464422038129,0.3750899835292347,0.00023927274578693642,1.2467935035769218e-05,0.0013190706262758796,0.019852665006702106,6.658914395647174e-05,0.0001278760040771063,0.39338287900575875,0.00038468809463732597,0.138613810836261,Treat
