,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa459786,taxa561,taxa572511,taxa577309,taxa61170,taxa724,taxa816,taxa830,taxa838,taxa841,condition
0,0.002143818563175807,0.026175455897326002,0.002443200787843245,,0.00033688897308314204,0.012449105581608751,0.19226407079661872,0.0009778625094410643,0.0002990463433383424,0.131255705784078,,0.03169219476728238,0.00019783410283745825,,0.00044369923573562377,0.06793334233495295,0.006790288909444826,0.02426563466008698,0.027817355794389577,,,,,0.01269888933001303,0.002194872525198378,,0.007618124425223075,,5.329317088320893e-05,0.020797771897615308,0.35964717233824683,,,0.06950437127157728,Control
1,,0.008909710322006902,,0.0006840473072223667,,,0.29839895226715085,0.010833988556668383,,0.004771118731151964,,0.007457427071154622,,,0.007101352462927438,0.10706757162620481,,,0.0012253603338038457,,0.08411065360942681,0.015023749040583258,0.0008235030317861868,,,,0.01973796140554042,,,,0.37552230032861683,,,0.0583323039057556,Control
2,,0.008335858527036128,,0.0004424775582709184,,,0.10699398786696163,0.01117727865424432,,,0.003646848317112748,,,,,0.029904176723402374,,,,,0.005891354725289881,,,,,,0.0005477609475997593,0.0013061912892464104,,,0.038594776650935386,0.4611268791058341,0.3240696606621956,0.007962748971870763,Control
3,0.002422822342715768,0.0012616717922083226,,0.00034416806484943014,,0.0012410467084189199,0.10758064537970521,0.003633243926720119,0.0012385466982626288,0.04708446211396067,0.0029749079188967536,0.04264111072951234,0.025125727073266234,0.0015758397351822576,0.0060224202994158,0.04681091933602647,,0.10375167149116542,0.012935052548650976,0.0002773969602584844,0.09174943523208064,0.012997136134198882,,0.0067312773458142175,0.000231355106546787,,0.019607475488702505,0.007386696675121909,,,0.1825819917393414,,0.2175800505856222,0.05421292857335566,Control
4,,0.0464324889059424,0.006676870975276103,0.0004258283006906677,,0.00010614427279703715,0.11057981048346736,0.004977207133562445,6.75653131360315e-05,0.018699326015147982,,0.00011803076307096862,,,0.012854926428881254,0.021255234226418868,0.014779182376297089,,0.07992966117246673,,0.028089444796636748,0.019632102699275965,0.037754099796469924,0.0019227962029962301,,0.0006342589503186413,0.01732810466784559,,,0.02030191685295786,0.4802715541690301,,,0.07716344549731409,Control
5,,0.027005471749216498,0.0061793127151021235,0.00803160683329308,0.10578880531934398,0.0013776909682873988,0.10495134331071163,0.015306261671978752,0.0008082573957017574,0.0016410962802794896,0.04680123791475907,0.0026345041564140442,0.022383137008423783,,0.007330245086464824,0.2825529387169951,0.00012087778016075393,,0.00832895264139374,0.00013283024722888817,0.08919201548137659,,,,,0.03712188201291273,0.018135162556934904,,8.208864175095976e-05,0.0006559198201446881,0.20856040201784706,,,0.004877959673278186,Control
6,0.0017500562308242916,0.03124305428765993,0.0027671440827159023,0.0006667883846461082,,0.0034735074388198106,0.06619784182271898,0.018109595622498226,0.0007231023496336766,0.09352641041817221,0.012742697392364116,0.005484403747627857,0.10128654130601619,,0.020563687269928906,0.151934634119412,0.0015019643929459888,0.11567753071688454,0.01768724088509147,,0.01311738479720266,0.016130625341084708,,0.007137684207912489,0.00025208259130261846,0.004203815315469612,0.017367093777051906,,,0.003531151654948817,0.21195223999326895,,0.047575323530934376,0.0333963983228637,Control
7,0.0009980013693460148,0.014565725879730021,0.0022873981152187217,0.00026036576133637175,0.00031747238212637564,0.0035715390305054466,0.21119342325789933,0.013482317263361788,,0.06278130064422333,,0.025417297787477255,,0.0007653297922511674,0.002912033365629738,0.11939427765380532,0.0018269064969545494,,0.11336826573964595,0.00013644944790531908,0.004388214244635062,0.007792880654035558,0.08049779588658483,,6.226137771087151e-05,0.0010156892607411487,0.014133433814032946,,,0.002883732739397524,0.21905392219389688,0.025625913832274718,0.0009280583930863996,0.07033999361618731,Control
8,,0.025707658418531943,,,,,0.06300396268038466,0.009706022994451762,,,0.05001817250480765,0.027642781866901056,,,0.006154124327500767,0.17899258444234936,,,0.0127770040076809,,0.046885062403753126,0.004233899697908712,0.06998532618379223,,,0.05261330348974931,,,,,0.43524213215677937,,,0.017037964825409153,Control
9,0.001870072746902554,0.025317285048115305,0.02544727098418389,,0.0003251751734013439,0.002277067546728945,0.1761488216974712,0.009459000847748084,0.0021355132830167167,0.04178763894744624,,0.18701884301789903,,,0.007383853201708202,0.059126984586044755,0.00541345150415077,,0.057967207156461954,0.001814755107442946,0.01858946119041667,0.06154686839586523,,0.0037447728248625658,0.00030088168534969114,,0.03477376189710476,0.010593538289744754,,0.00065518801109003,0.24706582515145833,0.00014702292768922336,,0.01908973877769682,Control
10,0.009695516438844778,0.0167804634506581,0.00019189095803920112,0.0001855994512182437,0.001330349264883092,0.0048623200134354115,0.1749698489683197,0.012173964222636129,0.0009755894609142676,0.06590170738303253,0.0014437993394932596,0.024580815673564148,,0.0,0.0034856977306433425,0.2733943846272105,6.433573104011291e-05,0.0319804395023418,0.044047346633105194,0.00020071936277183495,0.011741473866653541,0.0013364378198711152,,,0.0008426560103424253,0.00015627291135926483,0.014340779466957157,0.011879988492631069,9.599621697783408e-05,6.900362319759745e-05,0.2534675589105748,,0.00011162350811376058,0.039693420961169734,Control
11,0.009914112588813055,0.008186451644120043,0.0007548012467334052,6.20883169912601e-05,0.0026756853158561144,0.12466156514798644,0.10432442986867678,0.04325511061783014,0.00010908275002430008,0.14815449971161046,0.00028528511169260024,0.007006452474818905,0.001647695474361165,0.0003576501156341379,0.00424534219868861,0.08275184413006344,4.9563604770609344e-05,0.05209006402804165,0.04440973921622277,0.004461259673466836,0.03497959435347435,0.005925473466236586,,,0.002403353111673759,0.0011332188339128956,0.01636937067710093,0.05358564312577423,8.81011808341501e-05,,0.22166492605281446,,0.0003296033241656721,0.024117992637610188,Control
12,,0.03218423705387026,,0.00023970524027989044,,,0.11700579655564401,0.007256550207366279,0.0020840779861775165,0.0008616123509239119,,,,,,0.006525102050904772,,,0.003944410354644577,,,0.005939259541911162,,,,0.206677112274183,0.02323731409501012,0.08815929693095421,,,0.47823319931050284,,,0.027652326047627462,Control
13,,0.020879739817404205,,,,,0.03473292915670317,0.0038950589549380217,,0.00022976649162707906,,0.008005537182558552,0.00046691758124033593,,,0.03738663719016469,,0.01788433588569655,0.00030065863229438724,,0.0929155437242574,,,,,0.0017054201577793207,,,,,0.37391911903011954,,0.27733385208375944,0.1303444841114572,Control
14,,0.06891569263437465,,,,,0.03529948374588347,0.00251753924729152,,,,,,,,0.07514449641034013,,0.013831618781978031,,,0.03301596272999589,,,,,,,,,,0.5500135441712695,,0.15690533563587614,0.0643563266429908,Control
15,,,,,,,,,,,,,,,,0.2181122181122181,,,,,0.15443715443715447,,0.02152052152052153,,,,,0.015447515447515449,,,0.5904825904825906,,,,Control
16,,0.06555773786846784,,0.007843924074447664,,,0.06008627476318649,0.005211712635765129,,,,0.003169615856360891,,,0.003052593118842991,,,,0.006295723259029228,,0.028962727457945082,,0.08341490751653045,,,,0.0018370569401634734,,,,0.7275623653675909,,,0.007005361141669828,Control
17,,0.057632348717131465,0.0002830631648047146,0.001786823190653784,0.09401076307529668,,0.06214550614801931,0.0018909120036512438,,0.000532959753924868,,0.02826887371106656,,,0.0012919319905806926,0.09686287998935335,0.0035605049079231203,0.018607387635709176,0.0019099984292810384,,0.037022555148818845,0.0565470298914285,,,,,0.1402716697159752,0.1834643552136084,0.0001409057979554788,,0.19015294797666163,,,0.02361658353815606,Control
18,0.0010877029370208852,0.03052532919868196,0.0003720166999825457,3.015203846890496e-05,0.0015155646096606282,0.0012697830284792374,0.11299476416222136,0.00658185025648343,,0.07971880463729858,0.00030374993682935603,0.02671767881963687,0.0016669618169023832,0.00011307014425839361,0.0022293398020072764,0.26559168279376044,0.000152671237036216,0.022369308961992716,0.14063377886155246,0.0009107189647403759,0.009884241652875292,0.003478101338877911,,0.006740466965893798,0.0039657362427077715,0.00010765551763193535,0.0063754574297807875,0.019367482427944057,0.0003092707326053527,0.00022571561191863363,0.19036022343085177,,,0.06440071974189854,Control
19,,0.050988089671688164,,,,,0.2763302421858439,0.01410274819057906,,0.01756979187593606,0.005270320539441544,0.028691899016914487,,,0.005968184394182955,0.1934577329077476,,,0.006520577153173535,,0.018502542920509516,,0.04084851376333306,0.0026516316554725736,,0.005951660718317656,,0.004554468885656896,,,0.21128029519233196,0.08219953551737984,,0.0351117654114913,Control
20,0.022235914047432914,0.01550085029537792,,,1.0311069565282158e-05,0.004631684841462166,0.00686903603986442,0.0017765872540287458,,0.8632113066358347,,1.632781160994528e-05,,,0.013710713773784718,0.0038561341800473063,,,0.002982813205862673,0.00013115478930201673,0.05110700674211082,7.107061507059421e-06,0.00038902675902982006,0.0028033650982834555,5.021525866940624e-06,,0.0054939261290931326,,,,0.0013830548830305576,,0.003191976374705659,0.0006866814821996708,Treat
21,0.04466426702603219,0.002253029077220985,,,7.068272988783854e-05,0.01386214362868049,0.0074827263331444715,0.001185916983429013,,0.7126354961466576,0.027483260574951502,1.7600891690363736e-07,0.0010138493138798165,8.940714767339218e-05,0.028242135649474687,0.010020408807193123,2.4451305072538415e-07,0.013948606536229629,0.002225520160355104,,0.03814142675321621,,,,6.306195453113464e-06,0.0027964956843116663,0.0048038549696022975,8.641914838048799e-05,,0.00030483989904355244,0.0012376717006560005,0.0643067894574285,0.02276207414593084,0.00037625140919997536,Treat
22,,0.07251148124657625,,8.811364506912602e-05,1.2460759751651214e-05,,0.07822377814414921,0.004452393591455063,3.6248141180948597e-07,0.05994910288645665,,4.533342177850921e-06,1.5164766098555549e-05,,0.030774278081451285,0.0001664641018139794,,,0.004345549588519817,,0.5186187157105028,,0.0005410380659904234,0.046038902149631085,,,0.024691139509188276,,,,0.1588265769990346,,,0.0007399449307214233,Treat
23,0.020924184305961838,0.0022079691354962125,,,1.825723976044217e-05,0.0014588742443247481,0.06015277316781506,0.0015006924458849614,8.530150529284909e-07,0.44536842239441193,,1.7048915982854856e-05,,,0.015207352184693032,0.0015406750033986043,,,,,0.2941660533810393,5.6452581571358075e-05,,0.11551699190250946,5.7283188293089135e-05,,0.011791197471317945,,0.0006339171016077541,,0.028957361627995944,,,0.00042364069288242654,Treat
