,taxa102106,taxa1263,taxa1301,taxa1348911,taxa135858,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa40544,taxa459786,taxa561,taxa572511,taxa577309,taxa724,taxa816,taxa838,taxa841,condition
0,0.0027365671535425707,0.05643537480285646,0.0008252781817603127,,,,0.008580492592804145,0.020362005739975323,0.010655208291918496,0.002740317930891176,0.055653284143138665,0.002049424743278044,0.1186863834672593,0.0014216517801885866,0.011205608076559579,0.18819257433960326,0.020111882473356886,0.004947382487877756,0.0009967422891251352,0.03183959875684235,0.01666909752760545,0.024419489510629645,0.0006110552126213874,0.0012183596478941687,0.010423410251774679,,0.001102299880221604,0.35609022827123776,,0.052026282447037143,Control
1,0.0005626376796712067,0.01808651438062383,,0.000891785306507649,,0.013449617899437098,0.0019350539064556542,0.02291065113978189,0.00323127006364132,,0.06460115579613589,0.000776364612850673,0.15490618426725278,0.0013405303687838877,0.005852735826990797,0.20602644753645583,0.0001538263437087674,0.001570556782091435,0.0012074858622384238,0.018242581902850212,0.04086544534662066,,0.0023217590724943825,0.21947657479464688,0.040479453282837544,,,0.16560679297133815,,0.01550457485658495,Control
2,,0.01877443385168324,,0.04283040848215491,,0.003538079447227117,,0.010653003109760535,0.0019607982280052576,0.00017899578703229534,0.007535404890058986,,0.011470452508763641,,0.0064654549252067695,0.0725702937109036,,0.008401257291827637,,0.13922906620439857,,,,,0.01094776362769596,0.02235551465366486,,0.6377799946894387,,0.0053090785921780115,Control
3,,0.020061937693632563,,,,,,0.01795881560016868,0.008902940748482,,0.005129906826412126,,0.010177350397498853,,0.0031237130570488706,0.08904819971092115,,0.01412211064887455,,0.02765894236115171,0.01002565262495872,0.0005784791179423599,,,0.01853259666158576,,,0.43406086035509145,0.24455856875438814,0.09605992544184296,Control
4,,0.0197036671966662,,,,,,0.0577311246542652,0.027781047203215937,,,0.017472947808871896,0.03075136815711266,,0.007224978623154071,0.2644704738961958,,0.01886496213856873,,0.04434914672450153,0.007145695829558026,,,0.08423095300479,,,,0.3685736813862818,,0.05169995337681785,Control
5,,,,,0.03595327835361023,,,0.07368939712506001,0.06921450192444913,,0.0038536632434383483,0.027887090645068672,,,,0.2309666559852095,,0.019882698541087672,,,,,,,,,,0.0066116829727646655,0.5319410312093117,,Control
6,,0.35632424962554404,,,,0.053421870878086836,,0.24539256342020416,0.03878458819776573,0.0033830731549557877,,,,,0.010016876733618032,0.04470612518364071,,0.0006376513414740485,,0.02177959581933837,,,,,0.04616079145147635,,,0.1614537170205556,,0.017938897173340282,Control
7,0.0003272897069869127,0.015504067515001883,0.0012515770190338765,0.00029143896388925626,0.009890392695802693,0.04521639122448821,0.000980986641130642,0.02136880784586342,0.00979618797393993,,0.009986913927219463,0.0006727805604695587,,,0.0020593769935081476,0.004998255447685879,,0.004263039439237017,,0.0012195871251928906,0.00015641954988454408,,,,0.004643939795902271,0.0030420182843202193,,0.016301167421536235,0.8400424781666218,0.007986883702285282,Control
8,0.002779799804241888,0.054971546735627506,0.005810136256469945,,,0.002548185863807542,0.007601738207476784,0.23654357607598842,0.005244076976276765,0.0007718302085996028,0.08907394215577001,,0.017577573369284318,0.0014911093550838504,0.0008780136304047038,0.11003392246750378,0.0011341730257777018,0.12191305761975263,,0.019364958259751038,0.011395362617466761,0.0005802242784176897,0.0001371085324326557,,0.014051029460168675,,0.011742999787633159,0.18305719155878564,,0.10129844375327904,Control
9,0.001633589762047687,0.005209796960384521,,0.0006445606460786766,0.010471399729706206,0.000258125454995059,0.002941084044583919,0.034958579950569627,0.002328349835391058,3.132444261316934e-05,0.029985925084583517,,0.025076923092369054,0.012434297734610288,0.009660277383963273,0.011588738581763776,6.867281649810204e-05,0.020928844018632826,0.000480709715486714,0.03181840497745393,0.015904684540273144,0.024079058877201458,0.0020414099091460645,,0.003105637767157587,0.00556149414780097,,0.24536174861873764,0.49223650797523316,0.011189853932718508,Control
