,taxa100883,taxa1017280,taxa102106,taxa1263,taxa1301,taxa133925,taxa1348911,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa29521,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa674963,taxa724,taxa816,taxa830,taxa838,taxa841,taxa846,taxa872,taxa904,taxa906,taxa946234,condition
0,,,0.0009963427742041464,0.014541518856649747,0.0022835966500925706,,0.0002599330551296214,,0.0003169447694728808,,0.0035656034301476337,0.21084243738095654,0.013459910775153468,,,0.0626769633522646,,0.025375056355827368,,0.0007640578778887787,0.0029071938087498147,0.11919585430994435,0.001823870330538784,,,0.11317985712561668,0.0001362226802892038,0.004380921398100794,0.0077799295355391864,0.0803640152553257,,,6.215790448751818e-05,,0.0010140012697971918,0.014109945224355729,,0.0016619166995282865,,,0.002878940215800943,0.2186898728225057,0.02558332569813619,0.000926516037344792,0.07022309440615186,,,,,,Control
1,,,,0.027119539666779116,,,,,,,,0.04955784976652645,0.012317272630972344,,,,,0.0064514537961278574,,,,0.021169746522454232,,,0.016015368027036604,0.0003215373188282888,,0.09688907961451317,,,,,,,,0.009154968708903838,,0.0018384858734816203,,,,0.39506218573369095,,0.2041324933543751,0.154949770459815,,,0.005020248526495403,,,Control
2,,1.3907346012433977e-05,0.0017049188049549537,0.009808333423849515,0.0002938815088028932,,0.0,,0.003818327831472202,,0.013159496245473388,0.04132309008234672,0.0016632982803921955,,0.0012770395097548865,0.032759007315974586,,0.060251292545692996,0.03568878770476917,0.0006078626855653625,0.009541657526224231,0.17648219062829634,0.001037061655934493,,,0.004045007420127423,0.0003334717638747856,0.15849197266973028,0.027412394125252804,0.22886923430111886,0.003724427867519637,1.8373938892339782e-05,0.0018362772410140018,,3.268733880294702e-05,0.0023977482687130704,,,4.7203765662640876e-05,,0.0003113418264243432,0.05651894662715898,,0.08819358700806189,0.03664890214699983,0.0016538575272596672,3.4413067870183354e-05,,,,Control
3,,,0.0022123723387418226,0.03586557411632204,,,,,,,0.001635682738350228,0.12778373410778518,0.003994512667503166,,,0.03925166128200512,0.005329782746700159,0.05274239783941161,0.010959053805910005,0.0005986685094715232,0.000824928026775652,0.10828207403256596,,0.00023848143403549103,,0.054631762378824576,,0.034202160978665366,,,0.014347092370062797,,0.0018364713703654671,,,0.0099911601649322,,,,,,0.21740324940710867,0.2390380961252724,,0.0388310835591906,,,,,,Control
4,,,0.002631634710103039,0.05204152839955397,0.005500452305817901,,,,0.0024123659397186944,,0.007196560735555618,0.22393565331703388,0.004964564344584456,6.193165550071333e-05,0.0007306911685356888,0.084326244496144,,0.016640677550737122,0.0014116322799253502,,0.0008312149465550284,0.10416904455219984,0.001073720883548731,,,0.11541501426014754,,0.018332793691938437,0.010787982556360619,0.05300418176869233,0.0005492979560608723,,0.00012980056061967689,,,0.013302100670571398,,,0.00023452135992088304,,0.011117090444682594,0.1733001270469052,,,0.09589917239858639,,,,,,Control
5,,,,0.02058525642879088,,,,,,,,0.03424306334592296,0.003840123875768945,,,0.00022652591412774943,,0.00789262879683122,0.0004603322754496872,,,0.036859344048348834,,,0.01763209903405107,0.00029641820719195864,,0.09160508275060286,,,,,,,0.00168136727630358,,,0.0014047102829244185,,,,0.3686454436777325,,0.2734223946971719,0.12850613336073555,,,0.012699076028045948,,,Control
6,,,,0.04917652273067767,0.0019758252459507603,,,0.017889068300234717,,0.00494315249779435,,0.15353195279077123,0.009241256471293258,,0.008315403758760175,0.010232654437101526,,0.0037332703544021443,,,0.00285475588034558,0.0560319319827543,0.004414732908294907,,0.018695170875434885,0.2636334126812378,,0.012152818237810663,,,,,,,,0.030678611855575712,0.008030333927055416,,,,,0.14056543705158722,,0.1508185873853478,0.05308510062756978,,,,,,Control
7,,,,0.3650640705381168,,,0.013250216899162906,,,,,0.10162710687109257,0.04333570444138177,,0.0013383701772124485,0.01883864418985356,,,,,,0.017495652112670478,,,,0.02633030386131131,,0.031445756721673136,0.06810259561500542,0.051219345248444736,0.0005829096224876122,,,,,0.03890297223382589,,,,,,0.19370602867426745,,,0.02876032279349395,,,,,,Control
8,,,,0.06555773786846784,,,0.007843924074447665,,,,,0.0600862747631865,0.00521171263576513,,,,,0.003169615856360891,,,0.003052593118842992,,,,,0.006295723259029229,,0.028962727457945082,,0.08341490751653048,,,,,,0.0018370569401634734,,,,,,0.7275623653675909,,,0.007005361141669828,,,,,,Control
9,,,,,0.0002471860082897348,,0.0008685273279683603,,,,,0.18449632167575744,0.00963667340016632,,0.0008291371735016602,,,,,,0.0024846490940878345,0.0004064859316784422,0.0017117835698243176,,,0.004452826760259038,,0.07138273561246472,0.003943107930250984,0.03355836536383816,,,,,,0.004593301259175349,,,,,,0.6717341162527256,,,0.00965478264001205,,,,,,Control
