,taxa1017280,taxa102106,taxa1263,taxa1301,taxa1348911,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa459786,taxa561,taxa572511,taxa577309,taxa61170,taxa816,taxa838,taxa841,condition
0,,,0.02794571574186733,,,,,,,0.09748367832163994,0.035473251120886964,,0.001995490516894085,,,,,,0.004596239141129491,,,,,,0.004510907003327546,,,,0.25396634252320116,0.007453899541393154,0.11752137295443153,,0.42938440134623396,,0.01966870178899488,Control
1,,0.001842048152021286,0.024937884483007773,0.025065922471754723,,0.011026598441893699,0.0003203021530789459,0.004749422093907993,0.00224294379639888,0.17350908515510363,0.009317249855879572,0.0021035108410158714,0.041161416435789105,,0.18421621016876466,,,0.007273200022582751,0.05824091756414978,0.00533232643264513,,0.05709852036358231,0.0017875594933797834,0.018310882659295157,0.060624537403201055,,0.0036886542906969934,0.00029637272314322915,,0.034252648164348566,0.010434785311059281,,0.24336333835229818,,0.01880366317100168,Control
2,,,0.024195437761344914,,,,0.12359063795054907,,,0.023640184011715012,0.0064032004666087555,,,,0.0425120319797708,,,,0.05043162199000454,,0.027236552323219032,,,0.04103554157468008,0.026391001777345467,,,,,0.18501530615420317,0.24538414757213187,,0.170304860537507,,0.03385947590092034,Control
3,4.7212117812270025e-05,0.015461040255359201,0.08966005551137156,3.832669114535404e-05,5.424088816072596e-05,0.014984410054748813,0.0,0.002829544229333128,0.03863754846038763,0.07433707091512068,0.023575821931805803,,0.07425471494556614,0.0028552721811746454,0.002377050560862719,0.07118672299761938,0.00015118487164603325,0.0075601719104608925,0.3784899999827596,,,0.018812304910179604,0.00042941808279811893,0.021702588324788073,0.0013683557067050627,0.07487682743055873,0.0004035575126481396,0.0064760172387886795,0.0017845119586570373,0.007061261834028981,0.0014984542673057274,,0.0374661309417478,0.009128648644634254,0.022491534641825132,Control
4,,0.0025071289202797113,0.0015715364389310047,0.0002923400231867401,0.00038797697362925946,,,2.5266530575425393e-05,0.002164777871697811,0.10753832160075372,0.004698217394064328,0.0009716129484913586,0.049805656528871506,0.003741743482487998,0.04461609908155118,0.028978726834141308,0.0005995058618350937,0.010574773895873494,0.04020374846730301,,0.1073503887287051,0.011737660745249894,0.000946242010764795,0.08800802431600789,0.013267747545179065,,0.006229139451202603,0.00045813857919407716,,0.012623033386901163,0.007259011590029035,,0.17906557270245801,0.22140476063198902,0.05297284745864642,Control
5,,,0.02631235804987184,,0.00038820011505120235,,,,,0.06936637308797304,0.01614645108997337,0.0005382356032259585,0.001122541047920245,0.031129021676066078,0.023893691372784617,0.0011007401407968397,,0.021388643742944267,0.17034940889719707,,,0.016192726600376826,,0.047016844080117935,0.008604468404418347,0.07655933559061848,0.0012564315246875735,,0.08804502010722344,0.006283288802581064,,,0.3707748145226126,,0.023531405543559345,Control
6,,,0.036241803433858646,,,,7.403277364406216e-05,,,0.28371905497671523,0.018019036226253175,0.00014029041580952416,0.014616233032184086,,,,0.0009768494896809357,,0.0273176427423993,,,0.007869334520862595,,,,,0.017466776525142745,0.0016810059622863304,,0.02336066423511637,,0.0007105794073051081,0.5516117734872074,,0.01619492277153464,Control
7,,0.0018240632415735102,0.005502636910846948,0.006684643833532421,,,0.00020318627239918494,0.0002337359743038051,0.017800122116795,0.06823675731931901,0.005178482020167723,0.0004435857722862126,0.08063727088236149,,0.034253391939553415,0.00013460321678109477,0.00011163968246352794,0.007219981227310694,0.19366870755077914,0.004483117496613903,,0.08516323997426445,0.0006598940642954359,0.036955297789882845,0.0026991379243179315,0.12325164466062974,,0.0025421862678884906,0.00010477112532389859,0.010508174813185495,,0.0004925883142674488,0.21207644068498585,,0.09893069892387137,Control
8,,,0.029423131668476116,,0.0005663042278969145,,,,,0.07100321190202023,0.026943239329269838,,0.0001393917116387812,0.0253221502979955,0.026143972131411026,0.00028589524529994923,,0.004680493267847676,0.157582736397472,,,0.016409716536997836,,0.05562227121928936,0.009453237027071456,0.08666070086396448,0.000612023083755115,,0.08656895835987567,0.0013987937943460206,,,0.38106666357810404,,0.020117109357268067,Control
9,1.9605098740473462e-05,0.002877098768769482,0.055980237252011913,0.007320584292576793,0.000373709562589025,0.005734289267168483,0.0004033193251197401,3.9513369110954244e-05,0.012529477124942585,0.17967062423543903,0.01146008972869676,0.0003223724999077852,0.049750666598621464,0.0014955456508261174,0.024719604138696977,0.025335648890871854,0.0010327036290149398,0.0073506993411575185,0.10988556786825374,0.00020251864884489082,0.026972068292441375,0.15268329630428729,0.004789808582485674,0.03149124566654051,0.007766044474267551,,0.0,0.002598888269632763,0.00167744862883051,0.009305853183074735,0.04201635408829469,0.000257392713876216,0.18146742142928243,,0.04247030307562566,Control
10,,0.0024595281018071043,0.024133216428635258,0.025010616520617777,,0.010029845129968346,0.001041566752500621,0.004852139331380548,0.0038859949647359355,0.1670872284486681,0.007960545894111888,0.001687473407460422,0.04345405424017274,,0.20103345064793568,,,0.008120613511920425,0.05302019516362149,0.004376342948867722,,0.06101435320795182,0.0023243621684591776,0.018527673047236553,0.05515969050587926,,0.004328999005572239,0.00032935808171359653,0.00016437161265358088,0.024458577943707024,0.011656345277123977,,0.24720814201051483,,0.016675315646783852,Control
11,0.0003448977929798843,0.0013533268181448001,0.026654043488883453,0.0026800838830523654,0.000250834758530825,,0.00039274370877107257,9.161983874908381e-05,0.004093676195129897,0.08697542552325109,0.007038439612346283,0.0002385169802101148,0.08315732144311426,,0.114364972717648,0.02468615115237397,0.0002877880934929554,0.00956083557292939,0.20742018894046746,0.0013264516654450686,,0.02937393110188126,0.001618820750875478,0.02950433667236745,0.011343452235524066,0.08126893476667482,,0.0023628756413388713,0.0003540597768547927,0.008381891847870348,,0.00041676846648749894,0.10782026223633848,,0.15663734831826695,Control
12,,,0.0781619886166248,,0.0010427135488911491,,,0.0006188912144093559,,0.026783057765023443,0.003251818338586284,,0.005038005752520939,,0.007735285496880155,,,,0.07535601327473894,,0.024769021855255875,0.0028948623985126497,,0.03241883902845643,,,,,,0.016444105475955498,,,0.4398893738238679,0.2479787998336887,0.03761722357658792,Control
13,,0.00014642180836970086,0.0006881810050414638,0.002928425493850231,,,0.0033530510863019956,0.0006881810050414638,0.0005564022313922359,0.00045390632512081825,,,0.0034409050252073195,,5.856861661244247e-05,,1.4642180836970083e-05,0.00032212755147159036,,0.000292842549385023,,0.00013177984100360646,5.856861661244247e-05,0.002152394819320958,0.0018595554719990708,0.007657851398487699,0.0005710441987583303,0.00033676951883768473,,4.392643577547238e-05,0.0005417591966717629,,0.003777676678753761,0.9695003965547594,0.00042462239038862945,Control
14,7.096725467267569e-05,0.0023839817478437083,0.02612154421845317,0.0013601884475876779,0.0006775559789186849,0.02139326022428346,0.0006656417682802066,0.00013447517746734757,0.0016590797318660271,0.03968654644226648,0.008337253799312268,0.00018876253724615352,0.10537031490501939,0.0005494005131813127,0.06660893281928865,0.00393676600044818,0.0002792069362669504,0.010535995472185552,0.30253703273372384,0.0001680421709183649,0.07740445087972976,0.0063238558032410585,0.0009438126862307673,0.04457126920221097,0.014838372336487559,0.002213971142124204,0.022045433754450602,0.0023673018529498397,0.0030936542945704656,0.008645780053933043,0.05309169103986091,0.00022108630871750358,0.12392643896987039,0.00029101754507378984,0.047356915251318854,Control
15,,,,,,0.125676,,,,,,,,,,,,,,,,,,,,,,,,,,,0.693369,,0.180955,Control
16,,,0.05527080799191495,,,0.07964746085756158,,,,0.2721807682005133,0.016822401925326712,,0.025529976051264756,0.010248364214429567,,,,,0.3097489730454899,,0.0021698465070487767,0.0023977401108349634,,0.00822646540683388,,,,,,0.021156521021791472,,,0.002717205218588346,0.1750130509300002,0.01887041851840173,Control
