,taxa1017280,taxa102106,taxa1263,taxa1301,taxa1348911,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa830,taxa838,taxa841,taxa872,taxa946234,condition
0,0.0003442938277506517,0.0013509569498574858,0.026607368456994563,0.0026753906739053735,0.0002503955110913829,,0.0003920559585188943,9.145939934344348e-05,0.0040865075842198804,0.08682311914761466,0.0070261143006729795,0.00023809930295743109,0.08301170111230889,,0.11416470333822741,0.024642922180652227,0.00028728413549323844,0.0095440931861528,0.20705696660471817,0.0013241288593834092,,0.029322493158836924,0.0016159859648438198,0.029452670370569096,0.011323588232711738,0.0811266212702857,,0.00019795878880114208,0.0023587379090674065,0.00035343976768499596,0.00836721395971234,,0.0014781871364996982,0.0004160386454578416,5.700969225741309e-05,0.10763145357846077,,,0.15636305397974395,,1.7987015204210543e-05,Control
1,,,0.027021264555974568,,0.0015598790656691204,,,,,0.05742743738051066,0.006817713322581818,,0.011043442586507251,0.003304676100514537,0.03789595686459963,,,,0.2201008863936752,,,0.0023681625823036537,,0.019285731608240674,0.042254665389419056,,,,,0.1658229152772557,0.057883265226933774,,0.0004077289648231457,,,0.32312848868463706,,,0.023677785996354183,,,Control
2,,,,,0.010028331263661941,,,,,0.19378110282215866,0.015053092997011398,,0.0007348973915712481,,0.018804815993424196,,,,0.047774256234022996,,,,,0.03501825743444579,0.028623535277284406,,,,,0.024017194007688654,0.006737111826133141,0.008750270677664382,,,,0.264331051539036,0.33082937243358407,,0.015516710102313147,,,Control
3,,,0.026993283855187677,0.0002855111103310832,,,0.0037522824957452786,,0.0013886934466268166,0.15784700595164786,0.021541828944683865,0.002482055788641129,0.003860406900865173,0.025567399791920593,0.006022372663141706,0.005137841901643982,,,0.09167581023049096,,,0.01558506220078399,,0.11435278872689729,0.004431115717454529,,,,,0.05611646178920087,0.01074432736016511,,,,,0.36036662844181655,0.07095698038100952,,0.020892142301746065,,,Control
4,,0.0015168332847799175,0.026501662903264795,0.0011540143021563042,0.0006447156060511077,0.0030672647136311356,0.007702067228247352,0.0013249755901288654,0.004468040994652568,0.05100689950180507,0.0047305777118926366,0.00028066742303464173,0.0600339423201813,0.0008535772394699526,0.04712856739562347,0.0003254308040076849,7.856639177648549e-05,0.007469543487266099,0.19633608141567824,0.0019928411369120273,,0.0076773807870242315,5.224101669622895e-05,0.0020914844684384367,0.008067856778487027,0.0,4.291958038376456e-05,7.016685575866043e-05,0.0002933691604274503,0.0016040040793063703,0.004559104257089721,0.0031926431537020856,2.222804043741506e-05,1.966720628563913e-05,0.005779188080361844,0.053420536906536926,0.011544240356205887,0.46477808220974176,0.01907493656301639,0.0010936810495404635,,Control
5,,0.0010276860128643965,0.0009663322512823168,4.6015832306997905e-05,,,0.0010583634615670345,9.203155103167621e-05,0.006273480900618031,0.059866514689146326,0.0032824608872487377,,0.12089929263601669,,0.01592151523322211,1.5338610768999305e-05,0.00024541731797471036,0.0019786835151765804,,6.135444307599722e-05,,0.00371193835414649,0.0005368513769149755,0.0442672324966491,0.007224482946223002,0.06224401980315874,1.5338610768999305e-05,,0.009126464320969016,1.5338610768999305e-05,0.004248796546000642,0.0001380468154270761,0.0014571702947013263,3.067722153799861e-05,,0.19529116868577664,,0.43144357685014917,0.02179610638561254,0.006718303338894683,,Control
6,,0.00047063285465547266,0.04960679187805935,,0.006159195796856161,,0.0013934423735877722,,0.0042397519974769786,0.11639163224722375,0.003497143853835086,,0.029012015791197613,0.0005628123989092597,0.041930132164576486,,0.0004942608346457173,0.0009173335064023713,0.07213551305674062,,,0.0247065516433615,0.0012182099726300785,0.06062767272509707,0.025829337027275613,,0.020126475607913447,,0.00105261129741948,,0.009834310057913905,,,4.482217663385454e-05,,0.4440792642672943,,,0.08567008647029416,,,Control
7,0.0002754272402368968,0.00901383927414006,0.039209964672047924,0.00268657020345403,0.00041607987054079985,,0.012758453144357782,5.741566326584701e-05,,0.030824338825048814,0.009466971665947484,0.0037467131632073288,0.05215745915012013,0.07646748189910862,0.004257681076878524,0.0003401904289663805,0.0006116290125230174,0.010814507835978461,0.33854773220201034,0.0019488786469049025,,0.06319365232580144,0.0019654630615228252,0.13059596723717404,0.008298190293981841,0.1309675420963351,0.0007299241724875689,0.0019758545618213975,0.0042989321841243695,0.0028364597229122196,0.013053823667995974,,,4.754898621467768e-05,,0.0406587917288276,0.0020781950950649083,,0.0047742121169721844,0.0009241087740265395,0.0,Control
8,,0.002058849738685232,0.05506931070566542,0.0019497562350570406,,,,,0.005461436758415209,0.018475857789301383,0.011307677891792768,0.0029061661646448034,0.04027003518341181,0.0014032795263182276,0.10318570186834483,0.001038860801432566,,0.010296267074621874,0.1838008560156489,0.022336011826099098,,0.004194397962807491,0.0004456585680130378,0.02895670582427105,0.014251587784797369,0.05432684918282305,0.017768617018324176,,0.00018104879325529663,0.0008398484155354396,0.009250140100884744,,,,0.0008549862745032737,0.3572020029203957,,,0.0521680895749501,,,Control
9,,0.0025008443591238746,0.0015675971054650635,0.0002916072213195706,0.00038700444086554447,,,2.5203195556905747e-05,0.0021593514738714207,0.1072687578167659,0.004686440482914056,0.0009691774291428303,0.049680809859906694,0.003732364142018133,0.04450426095430339,0.02890608654048337,0.0005980030945774912,0.010548266358618354,0.04010297067566538,,0.1070812960316319,0.011708238226853131,0.0009438700881497385,0.08778741666933107,0.013234489594152526,,0.0062135250137029365,,0.00045699017398224143,,0.012591391525706689,0.007240815596237308,,,,0.17861671323877,,0.22084977052073865,0.05284006166659568,0.0025066765035502655,,Control
10,,,0.030039770286112412,,0.00035165283215126206,,,,,0.04942089534960677,0.005207121922133316,,0.0013207463254141045,,0.00946366399481448,0.001199450038378571,,0.003101567339548953,0.03826546735140195,,0.021571161445996447,0.0013572416117765501,,0.10014764098937766,,,,,,0.0017161296610492302,0.005909576384421558,,0.00224259810688416,,,0.32369084598201797,,0.2585143077482578,0.14648016263065686,,,Control
11,,,0.0808659219162329,0.0033614892309340857,,,,,,0.06522133672467884,0.08349204703508287,,0.009011277798414733,0.04153406442349939,,0.003991742899856026,,,0.3488674912110595,,,0.013795234427473744,,0.027191396812474688,,0.014713723834989282,,,,,0.0008385318525030549,0.0015274755937743126,,,,0.23154869502010647,,,0.07403957121892021,,,Control
12,,,0.008020743562224217,2.159344773311069e-05,,,0.003968916435699957,,,0.18356467690854758,0.0013950182082673773,,0.0027097739787343236,,0.015806505596522562,,,0.0018327948042905363,0.009808619920994466,,,0.004480640404620468,,0.024768397541076695,,,,,,0.1835860666445096,0.011980798535882757,,,,,0.4897485616166484,,,0.058306892394247876,,,Control
13,,,0.016259859550164932,,,,,,,0.014555314835751572,0.0072156821721016,,0.00415770230057924,,0.008248569534171609,,,0.002531716345562748,0.07217205250089907,,,0.011445730677125406,,0.02241710272289269,0.008125621067615545,0.18951699489498328,0.0004688474939004233,,,,0.015020354634681227,,,,,0.3517989504990636,,0.1982105637282384,0.07785493704226873,,,Control
14,,,0.007951713280328494,,0.0005284033237424511,,,,0.00010605355210854094,0.2911109685365323,0.010590439716452064,7.512583577492301e-05,0.011404321216139223,,0.012569923234556569,,,0.0075523947868153625,0.11270081766520966,,,0.0007947984406727986,,0.07647821049162458,0.015580220957695382,0.001400301709743382,,,,,0.010861112070747704,,,,,0.3827875194600591,,,0.05750767572179752,,,Control
15,,,0.3682447058249645,,0.01247727583542609,,,,,0.0733139040092961,0.02543919592824782,0.004219595350899429,0.015477039774147721,,0.005089145797891477,,,0.005717190748836898,0.028404007989498326,,,0.02530015060883775,,0.02934618430026995,0.0764631661653631,0.05077255626490083,0.003444665407092465,,,,0.06421182536343419,,,,,0.19735180186183535,,,0.014727588769058027,,,Control
16,,,0.01743338623158199,,0.0038705445532317413,,,,,0.0671636304081727,0.01302954654872324,,0.008480970357310892,0.009503908253883402,0.04860022650842842,,,0.003466313156159437,0.13248018734962944,,,0.0019483679854203208,,0.008630755813837293,0.0033458747097249355,0.05288005140670526,,,,,0.010381373336989613,,,,,0.5161076692362656,,,0.10267719414393561,,,Control
17,,0.0028330957417105275,0.013936312561061386,,0.0003151161673004421,,0.036663226970607636,,0.0016856375482578849,0.1190911268556177,0.008758968172555092,,0.030915764403367005,0.005530909203721382,0.05714638814113502,0.09823304050992265,,0.0016654977803025948,0.24921945684673283,,,0.0021916746471344825,,0.019172347081437394,0.03416498030015375,,0.0025685324262978574,,0.0013526193649971848,0.020737044305963764,0.00962741937862713,0.008020204866195145,,,,0.10346958361029751,0.10095801214387322,0.01800841089602133,0.05299169641435843,0.0007429336623506873,,Control
18,,0.0016151299644943785,0.011451281536522265,,,0.0023686218885923503,,,0.004787180649915788,0.1035660475671411,0.006058301046707118,0.0001740224352750034,0.020690208287200574,,0.0017551549732837727,0.002036617346858996,,0.0014170974772799842,0.028173273886596892,0.0004512477408609218,0.08256723949471956,0.012085126731207972,0.0008094817510994938,0.007337996462048229,3.4199191627957184e-05,0.010830551076089165,0.005393484902671018,0.0,0.00029175239583496213,0.21870029957079512,0.009100414980456523,0.0010389896005201507,2.401005193939177e-05,0.000255232905070005,1.2408556254391544e-05,0.021953762491153855,0.011509289014947265,0.4018102368571448,0.03170133916569105,,,Control
19,,,0.03842895656958086,0.004295838380169025,0.00043518067759775207,,,,2.1225750108504767e-05,0.06951074117996163,0.012140073054596641,0.0010584362852614094,0.01279669849825178,,0.0405198513563888,,,0.019647335745958394,0.0520582113556707,0.0047203533823391205,,0.015448650052853173,,0.025830893076075837,0.0890305112237754,,0.0006035082680104713,,,0.00018987014276164958,0.016095349026308315,,,,0.0003234550874743786,0.5433274584117858,,7.054129886806559e-05,0.05344686117620224,,,Control
20,3.064799763755018e-05,0.003870905951617666,0.060029424206065204,0.07852123411398819,0.002080126422990255,,0.0004646151308525836,0.022255767117784618,0.005435869330985073,0.05657205338923755,0.00789984064105395,,0.0955580090507368,,0.03988155825912989,,0.000446843548889143,0.010970706154341401,0.18267377175223012,0.005616884067031852,,0.04155942971312729,0.00850726692756484,0.026140507235002566,,0.05281203359573907,,0.00029977572689228774,0.010479486858872887,0.001331272397381086,0.010558128769477574,,0.00025103689731590577,,0.0007403406929320716,0.2507697915031619,,,0.024059316645427667,,0.00018335590253298247,Control
21,,,0.01652866710826525,,0.00011510185389628976,,0.050524500543820475,,,0.17261802540009652,0.010069878887498671,,0.005713386161608728,0.014915401159605178,0.01815246191212188,0.020179010982720413,,0.0011309830475209146,0.19563124064669662,,,0.0023873923603444478,,0.030322796300385174,0.029424163620454195,,,,,0.012593737477817848,0.0013435023674590906,0.0037883434328565713,,,,0.14877681280308794,0.19250836175102018,0.010048207845734895,0.06322802433698879,,,Control
22,,,,,0.00013159087549481844,,,,,0.17824285244099544,0.01831379513393481,,,,,,,0.006796377769737814,0.0035542807767475542,0.00048256793519317826,,0.002506862326338838,,0.0768370249559186,0.004641513378779997,0.04436256114024464,,,,,0.002882034139716229,,,,,0.6484918807715206,,,0.01275665835537744,,,Control
23,0.00042344193311494435,0.015598291012432213,0.13898810741245765,0.0016311338257065664,0.0034331337651128525,,0.0008748345021425589,0.0,0.10345203614772094,0.11614305298675498,0.007247171451750928,0.000255738117638922,0.19319703964002027,,0.07450537830420635,0.0033071518842655964,0.00014311949702728663,0.0020630425572914076,0.08092718991957254,0.0002550240502980874,,0.04585873075346243,0.00019738861493071963,0.02016699586871239,0.024231263153502953,,0.01206182150213858,0.000570947843807358,0.008934716597383431,0.0011413856395141202,0.02570244589486256,,,,,0.07208499604763724,,1.3975317956335188e-05,0.046350825160917625,,0.00023962059766008292,Control
24,,,0.060239977842989206,0.0003107262750460698,,,,,,0.04421948341429217,0.047340654768695895,0.008402409373350876,0.006673509431041344,0.00706093460174426,0.028626829737320898,,,0.0063596587594573475,0.1413507229853589,0.027271446361771257,,0.006710296680600804,,0.03758114864104878,0.013119240275769318,0.03668565627848493,0.0018674820468143455,,,,0.007271881761546864,,,,0.0011690282401100758,0.4497216061897723,,,0.06801730633478453,,,Control
25,,,0.08835347748037471,0.0049247365305947356,0.0007205690095702618,,,,,0.0882540707422806,0.015362236283895672,0.00030289451231178946,0.018677040699840056,0.033863107884668245,0.005750944675631763,0.006306666774694888,,0.0017294902709160816,0.32737329172584856,0.001630083532821986,,0.019880412759213196,,0.03141595705628915,0.0017880748062191851,0.01156556367775431,,,,,0.05248966616578967,0.005866971140052979,,,0.002098448195378179,0.2268281023783452,,,0.05481819369750893,,,Control
26,,,0.0056518915103005605,,,,,,,0.29207949199038097,0.02532067649105346,,0.0002987242377468814,,0.0016373174322349248,,,,0.09185131392855404,,,,,0.09413104518764656,0.00940197770393655,,,,,,0.022477974210864105,,,,,0.402655680172667,,,0.054493907134614925,,,Control
27,,,,,,,0.02212191658094302,,0.0011660689577160615,0.13859353311072262,0.006394726977609032,1.704779177947458e-05,0.03309156890426623,,0.019314546399376017,0.00019875719592305069,0.0003628171215184649,0.0013949104920734788,0.1500265845270632,,,0.04390087170373426,,0.021822176289008607,0.015702520445817807,0.07302672311558223,,,7.912181008238498e-05,,0.026166956445699874,,0.00019875719592305069,0.0024097555085927894,,0.3844507692866181,,,0.05955987013995034,,,Control
28,,,0.11354169482784082,,,0.06296096809278319,,,,0.07926571601474848,0.03569249453586573,,,0.034671205728034796,0.005229660007112213,0.0032678746337314376,,0.010011999259664396,0.13290271865375378,,,0.006551346225432193,,0.02359871730617661,0.02445509427841194,,,,,,0.0018035282398520998,,,,,0.4454428808205248,,0.0024380124900439427,0.01816608888602367,,,Control
29,,,,,,0.022418162788628692,,,,0.05489286696578588,0.01887010057253933,,,0.016972493967296675,,,,,0.1942761539803627,,,0.01106784498380184,,,,,,,,,,,,,,0.0027869633754392586,0.3219538690836704,0.3523845897486898,0.00437695453378548,,,Control
30,,,,,,,0.0019081022654578344,,,0.07736427206349779,0.02018557623084127,,0.0068077037999610965,,0.0035837830358378298,,,0.0011649149826636425,0.1322967615403589,,,0.0572928009497396,,0.021415565221402026,0.011991966518470388,0.05984843471442638,,,,,0.036359926443309404,,,0.0012599691575272275,,0.4913127703479103,,,0.07720745272859626,,,Control
31,,4.799293543990325e-05,0.015072524181583329,0.0003862640210569796,0.0010917074325340632,0.00018944024626388185,0.02608062686579129,,,0.19163631860642855,0.010278504586542444,0.001182208396506452,0.0094625192050851,,0.010032000212645623,,,0.005095583995969858,0.0665660959761668,,0.030349466624446944,0.04128816414048028,0.00012952818619824436,0.04770128606299922,0.0058013438443839105,,0.0026956207870377307,,,0.0004531376937358777,0.00940366193480935,,,,,0.15806552396366375,,0.353339812555416,0.013650667544814327,,,Control
32,4.025396704366147e-05,0.001477837706955582,0.009558542753667422,0.00037496012626564266,0.00013242237017385862,,0.004749663925003109,,0.009776035850162772,0.005001834242478137,0.0018725699329026194,0.0040860311433890935,0.04928515241044203,,0.008038828753540476,0.00016081307740868284,,0.007934290113686536,0.07512890902015355,0.00015047074834456832,0.03985730830543779,0.0011562115521382157,0.004654250869617504,0.06218913443020156,0.010830750623936491,,0.02074691489337972,,0.006105421590848947,0.0005709574015689111,0.003604504469609879,,6.377769589537295e-05,0.00044441596360798044,,0.6039433475604576,,0.0,0.0678683912263792,1.5006516681264224e-05,0.0001809907586220043,Control
