taxaId,microbiota_loads_foldChange,logged_relative_abundance_diff,qml_logged_loads_diff,ranksums_on_loads,mwu_diff_pvalue,mwu_logged_pvalue,qml_diff_pvalue,ancomP,qml_diff_qvalue,ANCOM_BC_diff_qval,ANCOM_BC_diff
taxa1017280,0.0,-2.4338822760580543,2.436117723941945,0.01917248475522309,0.08766879512992924,0.08766879512992924,0.08766879512992924,0.0,0.15847820658102593,0.0,-8.410876818845255
taxa102106,0.0,-3.9717682944472035,0.8982317055527957,0.853483090501271,1.8830094902891973e-05,1.8830094902891973e-05,0.4918272352772738,0.0,0.6247535150819423,1.0,-3.8131402707678914
taxa1263,-2.057836860859529,-7.222358117805224,-2.352358117805225,6.49710103113419e-07,5.944080423106781e-15,5.944080423106781e-15,1.1208655819352433e-06,1.0,7.525811764422348e-06,0.18889908239481895,-5.771666213500447
taxa1301,2.48883212347268,-1.8381307005804555,3.0318692994195438,0.016204468783665042,0.05238795052876134,0.05238795052876134,0.016667626444841082,0.0,0.04863509134966249,1.0,1.8725949882710615
taxa133925,0.20410264456362448,-3.0372654103542986,1.8327345896457006,0.8064959405073401,0.17790959498698244,0.17790959498698244,0.9025232501776794,0.0,0.9426353946300207,,
taxa1348911,-3.3028306197910755,-6.550965814054399,-1.6809658140543995,0.09488141195218518,1.9222676006081192e-08,1.9222676006081192e-08,0.04020316203008206,0.0,0.09447743077069284,1.0,0.9303655979856719
taxa135858,6.022963862141587,2.896715987092407,7.766715987092406,0.0018367911015436894,0.21270176830163512,0.21270176830163512,0.0022223851324291153,0.0,0.008704341768680702,0.0,-10.292346594467048
taxa1485,0.0,-2.7977489238311577,2.0722510761688415,0.28158579965375685,0.017413747495674946,0.017413747495674946,0.09335550777444279,0.0,0.1625077357555115,1.0,-1.554773577455645
taxa1578,-2.797267076540749,-6.663861934871289,-1.7938619348712894,0.03332007983584002,0.00022222837004574978,0.00022222837004574978,0.07267412867689323,0.0,0.14900179287088666,1.0,1.0351926583438928
taxa158846,0.0,-2.1770124886662745,2.6929875113337247,0.13559300126630222,0.16580656019401352,0.16580656019401352,0.7491191330005953,0.0,0.8382999821673329,,
taxa1678,0.0,-4.935698063132282,-0.06569806313228277,0.3157260814362748,4.540159224458971e-07,4.540159224458971e-07,0.857283599771472,0.0,0.9370309113781206,1.0,-1.2347697214768822
taxa1730,0.0,-4.3786516419526755,0.4913483580473237,0.6895671715551582,1.6019026335401668e-12,1.6019026335401668e-12,0.9474072954240611,1.0,0.9680031061941494,1.0,0.4685612121204682
taxa189330,-5.264564610698236,-10.281675045044313,-5.411675045044314,5.716501209692088e-16,1.0504705967696359e-16,1.0504705967696359e-16,9.757967069061252e-16,1.0,2.2931222612293943e-14,0.203790898502962,-4.940284334899005
taxa207244,0.0,-5.400686066191263,-0.5306860661912634,0.3233939727644686,2.162555967506356e-08,2.162555967506356e-08,0.6408298001497756,1.0,0.7722820668471655,1.0,1.3425741626822716
