,taxa102106,taxa1263,taxa1301,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa40544,taxa459786,taxa561,taxa572511,taxa724,taxa816,taxa838,taxa841,condition
0,,0.07502912263891016,,,,0.031802502173184276,0.0034467231407794264,,0.0038274579787116046,0.0066616675999317514,0.004027310079864133,0.08766095712985846,,0.0020542888696269794,,0.03425887937287903,,,,,0.0049472724230844095,,0.44470927842403757,0.2560086757372708,0.045565864431861315,Control
1,,0.3912093818557924,,0.04179264282800466,,0.20464617285510392,0.013676840765204132,0.001674138331622006,,0.0019565876101343407,,0.0601907121512078,,0.0014152443378984188,,0.04439218264339547,,,,0.002568596736736501,0.08576811106959195,,0.1418563491664106,,0.008853039648897772,Control
2,0.0017862840335734688,0.017489179477547363,3.4682851684994866e-05,0.0006046064685627484,0.030740372257140068,0.06569131301191625,0.0032911214125950538,0.0006728004539704073,0.04908373412922666,0.10371110028183331,0.011063361000328432,0.04337582724752788,,0.00613652131231943,0.006261777962492604,0.2906868224028256,0.014786377653838658,0.020249864168595217,0.011254233856392137,,0.006270448675413853,,0.3111614220765958,,0.005648149265619908,Control
3,4.9560566606896255e-05,0.015564849946942964,0.00039888086794385514,0.02693251898605398,,0.19789588708294784,0.010614239502363985,0.001220823803362842,0.009771600945724537,0.0103596833613523,0.0052620250817858255,0.06874039695944291,,0.04263679206542954,0.00013375906767751342,0.04925939085597743,0.005990837721712736,0.002783669978474375,,0.00046793888822687106,0.009710821173929704,,0.16322854305222942,0.3648812300083022,0.014096550083512278,Control
4,0.0033027215452396436,0.03699311977580144,0.0009215625917373129,0.032298427496175994,0.0074246758664459215,0.28618476177119717,0.012394505804037807,0.0017392503182207687,0.03981509323185131,0.031222835355961567,0.00901405638479814,0.1517000892563202,0.0009945364673275515,0.08659206058495575,0.0018298139879272203,0.008372028899556334,0.020535014981037488,,0.0014832475038537097,0.003909569442249021,0.017026920704495022,0.0002806047561377091,0.236807357287939,,0.009157745986733967,Control
5,,0.00036019670360711703,,0.19802703348050207,,0.0787636888012847,0.08773411615251239,,0.011215414171586597,,,0.217393068554422,,0.024798481805228464,,0.004060484330350941,,,,,0.007166946802317869,0.004287402011046239,0.010595370192630325,0.35230920733315546,0.0032885896613557937,Control
6,0.00011643214678587757,0.1304245639800057,,0.000296598991022389,,0.2640575044955144,0.03427325239784215,0.03790548090263913,,0.00036628514579014465,0.006200120024662839,0.04666277982399701,,0.024742264025258413,,0.0050393694311943365,0.012728327659971386,,,0.0004436540909127306,0.12462026997108887,,0.2677906913580728,,0.04433240555524173,Control
7,0.0060866344913269935,0.04051380991064177,,0.09125579395039898,0.0013160032493907392,0.11695620490275721,0.0059904668609929755,0.0008183208295503418,0.11833719596693268,0.07170581067520428,0.009935131648110097,0.2677091795288383,8.732737611697806e-05,0.01030463038180341,0.000811869833229799,0.037412075309408904,0.021050915085774356,1.3499307115210017e-05,0.001369403163377455,0.00035587996368327996,0.015181225211449323,,0.1477170640798968,,0.035071558274000096,Control
8,,0.0384456873898699,0.004297708659935774,,2.123499116634932e-05,0.06954100408123853,0.012145358479929605,0.0010588970968175087,0.012802269798697564,0.04053749248983864,0.019655889609317367,0.05208087594655501,0.0047224084832627605,0.015455375933824582,,0.025842139075669363,0.08906927245011337,0.000603771017490977,,0.00018995280655271683,0.016102356460703807,0.00032359591016183076,0.5435640069646546,7.057201044338978e-05,0.05347013034375647,Control
9,0.0020780420226275687,0.006268812657031269,0.007615399771115227,0.00023147750738199518,0.02027857418731482,0.07773790182574088,0.005899523111954645,0.0005053497348344566,0.09186503716778976,0.03902276316172114,0.008225276432845185,0.22063473655185178,0.005107337474935435,0.09702119280523058,0.0007517763446104455,0.04210087677653439,0.0030749602885270185,,0.0028961550091113606,0.00011935923942704292,0.011971311271027572,0.0022830082312327157,0.2416055242539259,,0.1127056041732288,Control
10,1.8722611968826035e-07,0.000417382141921678,7.048188395517168e-05,5.271708792364313e-05,0.010517219839844452,0.0017584557033363086,2.4578436237541274e-06,5.434292074574583e-05,1.4096839130758992e-06,5.883394143673746e-06,0.0003521984711326202,0.0031376497726137327,4.413094422404925e-05,2.3270727204064004e-05,6.797955340710366e-07,0.006744440280693602,0.020401285501736338,1.139395288390269e-06,0.00015039430221091323,3.125407504685254e-05,0.0002784324762952557,1.3248786798664745e-05,0.5037084599116881,0.45207821588671204,0.00015466194729407565,Treat
11,,2.3209908921563107e-05,3.808035877614937e-06,2.431876823021101e-06,0.0010076032371610407,0.0019559862660498886,2.809205151392456e-06,5.078843344647633e-06,8.153753102671381e-07,1.9344457301090226e-06,8.594236199230051e-05,0.00011249033235525717,7.5991985004265515e-06,6.144142451493076e-06,,0.0005728475313050885,0.011271540259987174,,3.205218770195006e-05,8.795796832799366e-05,0.0016358863783008605,4.665338267080123e-06,0.9831311550682668,,4.804203817402156e-05,Treat
12,,0.0014525057908677875,0.0088297425826991,,,0.0008353240146028253,,,2.692985605933732e-07,,,0.0009914233908007626,,,,0.00018735217787404381,,,,,,,0.9876779633035769,,2.5419441017923693e-05,Treat
13,,0.00030282046518967067,,,,0.0004981948389524363,1.822769817059707e-06,,1.3463575004515204e-08,2.189126511239716e-07,2.7120321207053795e-05,0.00016116123023280444,,1.8496849846340181e-06,,0.0010095535000170003,,,,0.00038871129116742505,0.00016256334487514746,,0.683385210771543,0.31391432224825383,0.0001464371575337766,Treat
14,,0.00032875332825652086,,,,0.0008666811989458223,7.005399973596062e-06,6.724853227191161e-06,1.4182898238636965e-08,6.85041009342322e-07,0.00023180277669661927,0.0008892337877325969,,2.735157635535714e-05,,0.0005874404698415827,0.0018802099897217506,1.1285619966033918e-07,,0.0247174479612319,0.00021422742671024458,,0.9702131521994313,,2.9156951768293227e-05,Treat
15,,0.01241094503804918,,0.0004954575270448892,,0.00630317781100481,7.715769211037752e-06,4.65863928444226e-05,,9.793294976757667e-08,,0.0009751367873740425,,3.881531000507075e-06,,0.0010271111551326114,,,,0.002831679558251694,0.004486696086447023,,0.9713866672458866,,2.4847164803341666e-05,Treat
16,6.582371849342392e-08,0.0007388761939119124,9.100107171478548e-05,,0.001177396904877208,0.00027542110426661496,5.6108503907497976e-06,4.468980739321455e-05,5.68764599428035e-07,3.1787350898798735e-06,0.00013439933685839111,0.0010380570550807607,0.00028096502702921116,8.39751255057512e-06,5.061609072530535e-07,0.0003915077752641286,0.003488677685478603,1.8535028974326872e-06,6.272882221357592e-06,,0.00028406945436880313,1.5905988744952708e-05,0.9919456269339736,,6.695142866266948e-05,Treat
17,7.387959536730746e-08,0.0004543107579209865,0.0025547892859089536,3.7164163409237048e-06,0.0007902943576620197,0.0031447194119466533,5.876149890845957e-06,5.149615867428942e-05,7.301062556068824e-07,7.40588346875789e-06,0.00012548555376112744,0.00037108994945267334,8.070981740337047e-05,0.00015257923172864115,1.4135363113012411e-06,0.0003417628093591959,0.01821285378903196,4.56178282137357e-07,7.4856311997225e-06,,0.001084872139186886,1.6679980328688616e-05,0.9725574450735247,,3.3753902765259046e-05,Treat
18,7.165221105417928e-08,0.00019685757065557346,,,0.0015456134574220585,0.0017803911694462353,3.6165489402376276e-06,2.9915982537451368e-06,3.596791472682986e-07,6.923671134916917e-08,2.11311315272274e-05,0.0002023486370530072,7.757344341450431e-06,2.8086733145226638e-05,6.666312822751704e-07,0.0001261465934961819,1.0282193993821853e-05,6.66566841229279e-07,9.65310319751304e-06,0.08447648804756774,0.00042691054959954775,2.1331396244095754e-07,0.07904120160399569,0.8320644311421233,5.404549508594721e-05,Treat
19,,0.0,5.0057223517124696e-05,9.071872216515585e-07,0.0001498210896675379,1.6941230796904536e-05,,,2.7111141960463373e-08,1.1870032967835405e-07,4.123168291854399e-05,,9.046266568168264e-07,,1.7728464967331987e-07,0.0001548565451257588,0.0022825923700402046,3.961222629386637e-08,6.663695765840073e-05,,6.732508925089272e-07,,0.4269919128341054,0.5702426374174648,4.648755866412719e-07,Treat
