,taxa1263,taxa1678,taxa1730,taxa189330,taxa216851,taxa239759,taxa283168,taxa292632,taxa33042,taxa375288,taxa397864,taxa459786,taxa572511,taxa816,taxa841,condition
0,0.023739457379868763,,0.054430817884824824,0.050932081642066154,0.005335973978706429,0.004278566689074905,0.013955715695534067,0.2633175960537727,0.0020367522835698093,0.04728356089285039,0.0883266950662846,,0.008540490655210137,0.40991422855728793,0.02790806322094939,Control
1,0.06441031675706935,0.002199542427826462,0.2559321444987638,0.010265755848953735,0.05828741514273989,0.048716114686621834,0.029456572200630714,0.16731369745531152,0.007505077544967786,0.033389880604796106,0.02578929057026925,4.1174454633633836e-05,0.01879897024066545,0.23253005390792258,0.04536399365882785,Control
2,0.042048673922607735,,0.06917772984701044,0.0072887565282171805,0.0018487368925552187,0.01324692291721835,0.004341471072100591,0.053562731799555396,0.0018998217837295067,0.1401833456105866,,,0.008272028981665142,0.4530917082519525,0.20503807239280142,Control
3,0.01802283593690287,0.03167836927632991,0.06769578632396378,0.00339154511758415,0.050581451720894004,0.10687569120179731,0.01140094310745854,0.04469937649809445,0.006323768189195282,0.2995567010969031,0.015237562110809396,0.011597640166577897,0.006461782147803894,0.32065605291428595,0.0058204941913994,Control
4,0.051165806428197215,0.004372996555385311,0.12004952346167201,0.0036070501377458877,0.02992378922049917,0.0432478889405935,0.0009461629515179873,0.07440254767396726,0.025483015349992953,0.06253304536341976,0.026641087005885855,0.0010856921773995914,0.010143377262028672,0.45803553936988645,0.08836247810180843,Control
5,0.008923162438566185,,0.29884948290641894,0.010850345999458222,0.004778322292543978,0.007468686492007593,0.007112074272908612,0.107229225080827,0.0012272104152814376,0.08423764610136417,0.015046432294689981,,0.019767762302300686,0.3760892738408931,0.058420375562740184,Control
6,0.01316289770715251,0.006761770504506642,0.07629412547729286,0.003836526708935211,0.0880180634037501,0.0019736303772161087,0.011189034205630093,0.015811189826828272,0.0022256377523366634,1.8999630964223112e-05,0.027510066890357215,5.11707852349322e-05,0.00803054954159602,0.6656666411007012,0.07944969608749808,Control
7,0.11200416452618174,,0.019629647588509287,0.22791596486350077,0.00017884307774414406,,,0.0011213924956500892,0.0005444550187624896,,,0.0037660943653306084,0.6290662860049331,0.003692234771656056,0.002080917287731734,Treat
8,,0.0003377463818223354,0.014002480313629913,0.14987218412335643,0.0006635087694856343,1.1701063599018725e-05,0.06715464210733098,0.009519380114811257,0.004595381113258147,0.00010325811902405101,0.0016183775382170222,0.0006680212256842857,0.7360491979869229,0.00401955260285721,0.011384568540000802,Treat
9,0.13591108218630138,0.0001913135782755236,0.007220111334180053,0.14245443844421019,5.204043282297697e-05,4.9031081065881145e-06,0.4965106732104205,0.00044730527414324494,0.003925104365305689,6.734568583672457e-05,0.0014966285165670654,,0.2083427253301619,0.0013223835292725205,0.0020539450043956073,Treat
10,0.140825747028463,,0.010465123926392038,0.22649263767852806,,,,0.00028417230136917665,5.337424334751661e-05,,0.0006002350298817242,,0.613317095544491,0.004064558058747254,0.003897056188780187,Treat
11,0.10378253063745789,8.600265673941733e-05,0.0025999671971042838,0.2406791785453274,0.0004504928038949121,2.376942779910115e-05,0.5910535255302165,0.017187937351155355,0.0004095177985434812,0.00015859530281582272,0.00769350532455025,0.004076975097772265,0.02678278533394427,0.0027529665715971966,0.0022622504210817775,Treat
12,0.007672627016088952,0.0008848184189824847,0.01417705599766745,0.0917007180912041,0.00041626744853846104,1.0965709966915808e-05,0.4387054905941951,0.002367602147340358,0.0006480688698244535,0.00011602610206935979,0.0015085031254625935,0.0034601643562566565,0.40760698674055523,0.005956918857339421,0.02476778652450832,Treat
13,0.3414268828288084,,0.0032398787982349984,0.06419379686075237,6.895894087283204e-05,3.681758937433892e-06,0.3762192244975237,0.0052986362621040076,0.00020928060685006735,0.00017104327738188136,,,0.19616454864781854,0.00438304012272861,0.008621027397987136,Treat
