,taxa102106,taxa1263,taxa1301,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa459786,taxa561,taxa572511,taxa577310,taxa61170,taxa724,taxa816,taxa830,taxa841,condition
0,0.009327499321461197,0.009172517582765148,,0.003351618334797841,0.056435470564686493,0.030463627634334106,0.019432909021453837,,0.07084735041260533,0.0005074427570761565,0.028113782189517558,0.00036399380831365663,0.006151716537294042,0.4102718926319376,0.0001131161314030287,0.02126188311817571,,0.00962055857251234,,,,0.00045009477425590603,0.014468911863891598,0.009239660537857727,,,0.0006719035011970406,0.02391932228902815,0.2618053903312249,0.014009338084210857,Control
1,,0.06066835311674205,0.0003129358949347422,,,0.0445339346141611,0.047677301073563993,0.00846216013263691,0.006720965730525145,0.028830399301329756,,,0.006404883221012727,0.14235588860497178,0.027465377596794432,0.006758014579584887,,0.03784839367355884,0.013212533107968062,0.036946533334118306,0.0018807619841861303,,,0.007323593173998244,,,0.0011773413705313254,0.45291964216293007,,0.0685009873264515,Control
2,0.012836674958926078,0.033345400247869146,0.00019714594358075826,0.023685138069281107,0.004066176690027222,0.055922882098405007,0.011481837444571428,7.399906829958685e-05,0.004059520102174186,0.17623538227175362,0.0010218971785719555,0.00031274868596182197,0.004152934218378462,0.16361449170239684,0.0003805349389319083,0.00443461882769278,0.0017858515778387545,0.03527436846454818,0.016541842701056967,,0.005874216894042766,0.011401403674680571,0.01353861214802876,0.019977640521401652,0.00011560274238106371,0.0008389519557443413,,0.3959194228915841,5.07010108139598e-05,0.0028600029710570455,Control
3,,,,,,0.22194022454820686,0.008403498372945203,0.002625534981704138,0.0020565773239734015,0.01861710884135065,,,0.015325297230522263,0.029191329201621954,,0.0011797718207673283,,0.0344948496245326,0.030907757506050244,,,,0.034727916616856036,0.01088113344508224,,,,0.19460678409822552,0.3788948490844486,0.016147367303712978,Control
4,0.01079635779879434,0.03317243741404043,0.00042217468422113894,0.016822511274076378,0.04147640400803117,0.05089720333912249,0.007350582810508863,0.00033490608461317004,0.1568093532226343,0.03583351368843919,0.023005953566534197,0.0008525628836994986,0.0058939158796407895,0.20756169068640756,0.0002918877984534773,0.01667918543283788,5.503055222337804e-05,0.0237778186628315,0.09316929163769694,,0.015977751229871242,0.002309127145626857,2.494855259380758e-05,0.018602482699256802,0.0001804919977774228,0.0008582096754388376,,0.19444162675240484,,0.04240258052222352,Control
5,,0.08450483003650268,0.0035127538201304644,,,0.06815624980299793,0.08724912889026319,,0.009416778795344267,,0.0041713684492606555,,,0.3645662765162107,,0.014416010019832164,,0.028414990043315345,,0.015375830787755026,,,,0.0008762651806451494,,,,0.24196821917293002,,0.07737129848481239,Control
6,0.00047381786220853853,0.04994250581144091,,0.0014028724939899864,0.004268444516500061,0.11717931254653567,0.0035208107727049466,,0.02920835459013734,0.04221389430809064,,0.0004976057445387667,0.0009235415603401074,0.07262369009677788,,0.02487375321634119,0.001226454207867092,0.0610379704628009,0.02600413704964714,,0.020262681519153374,0.0010597348437243331,,0.009900863745153986,,4.5125510686527476e-05,,0.4470845704138162,,0.0862498587275443,Control
7,,,,,,0.1799383851940553,0.01543279386301397,,,,,,,0.0018857149716084848,,0.0012843368880962741,,0.08258807005037458,0.0007666756792001915,0.033084135764154,,,,0.0061160110404552895,,,,0.6678623023218768,,0.01104157422716508,Control
8,,,,,,,,,,,,,,0.6664687334125066,,,,,,,,,0.2370119051952379,0.016303193478722604,,,,0.06880527247789099,,0.011410895435641824,Control
9,0.010157426557059233,0.017579911928217524,0.0002010329543084307,0.0013937292601710872,0.005093968820012039,0.18330569617467563,0.012753951610485523,0.0010220681241254641,0.06904137154015483,0.02575188557429619,,0.0,0.0036517620203567395,0.28641933624467897,6.740078954603125e-05,0.04614583362125731,0.00021028195855212904,0.01230085671293791,0.0014001078837874309,,,0.000882801508501961,0.00016371800615282034,0.015023997445148622,0.00013235644003913074,0.00010056963235101818,7.22910676518947e-05,0.2655431642523223,,0.04158447987320997,Control
10,0.002701191929766028,0.019114980158980572,0.0034662408949650185,7.423315544147387e-05,0.003260407385131936,0.18319985515929607,0.00409085495713408,1.8472238061943265e-05,0.08984965433967944,0.03332506480772465,0.0004155679891947734,6.941431072966258e-05,0.006289510224096931,0.11055749214470943,0.00362032919134508,0.12824666794098336,0.0008763413311622522,0.03460791011064756,0.017969012992752685,,,0.0023154548840253228,0.00010578511486404779,0.00950413858446666,0.001767253930857839,7.274160826877035e-05,0.00021512699606300386,0.18113234130913322,,0.1631339563105181,Control
11,,0.08678131300507241,0.04077426185251172,,,0.20890672013094905,0.04237758041804057,0.005732597337168314,,0.015101079944994827,,,,0.02553090539284775,,0.0024055562081090045,,0.04924786409091143,0.038201717392152446,0.0020400328045687478,,,,0.0017190956850046337,,,,0.3859552784849833,0.06953399236207511,0.025692004890610607,Control
