,taxa1263,taxa1301,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa283168,taxa292632,taxa33042,taxa375288,taxa397864,taxa572511,taxa816,taxa841,condition
0,0.04588547262974376,0.00010065514689589142,0.11862047051838971,0.003058432246438919,0.00016274149918681514,0.025065431071606265,0.03298572641032181,0.0008822742418984627,0.0620298056299988,0.02461953817788054,0.06310366957517884,0.024224965821149493,0.00887939360238813,0.5098104798417948,0.08057094358712787,Control
1,0.07103960943732067,7.698749198474667e-05,0.27674779285414647,0.006250928126986705,7.151282588805357e-05,0.061896460833668475,0.09044045741747682,0.008283055748752974,0.03121757258323716,0.008259332195667303,0.04047477673057047,0.014327429286133194,0.008182572814769919,0.27292807269626623,0.10980343895713084,Control
2,0.08561525686434245,,0.19603997919953467,0.02916251685630932,0.0025473854830715017,0.004621766033377276,0.0034083006280011363,,0.16261800465786047,0.001886353744734305,0.044597922723501146,0.06384496350475251,0.026372018589471587,0.348111904489098,0.031173627225945688,Control
3,0.07519694774683788,0.04003292539508413,0.21076290914948664,0.043896980811177,0.0025697048589815707,0.0015669196823131404,0.005165136075061042,,0.03167934929033247,0.0008160791251562307,0.04737416392053181,0.04251785268067556,0.02283328169970242,0.45612396934460325,0.019463780220056966,Control
4,0.06505780408794759,0.0003355773001712283,0.04775603497623256,0.05112682895343094,0.009074410755976306,0.007207238194465683,0.03091632413218762,0.006868286617192507,0.15265556152161608,0.0072469675861499185,0.04058678461107592,0.014168480703434457,0.007853466683313099,0.4856890921485687,0.07345714172823721,Control
5,0.0709542538358609,,0.06341613946743938,0.019903494827339694,,,0.0010197884005984006,,0.0059295832986675165,0.011389644597496968,0.03552262928751096,,0.009616167438013617,0.7702179407367323,0.012030358110340122,Control
6,,,0.08256737986341038,0.021543150293532858,,0.00726555360318809,0.0038248091447845743,0.001243260943542812,0.14119433523314623,0.06114600878779383,0.022855861775237084,0.01279848214725226,0.03880530092736265,0.5243558435832625,0.08240001369748673,Control
7,0.39046476889379733,,0.1086981930028723,0.0463509481900309,0.00143149228892698,0.020149413331804776,,,0.01871297755692689,0.028162333250039515,0.03363371287927571,0.07284108846615284,0.041609792056971566,0.207183850243449,0.030761429839752198,Control
8,0.10672786565123632,1.984508317135778e-06,0.001199722131897443,2.4194669796583386e-05,1.0027217915360839e-06,0.34272350739455226,3.969896621241737e-06,,0.13668154047039877,,3.707362403510439e-05,,2.4463099087952006e-06,0.41259579304217925,8.995792655580039e-07,Treat
9,0.032417445489087246,1.3512425402020676e-06,0.0001657956351360838,1.2953559168880304e-05,6.463665259508305e-06,0.7222247036000521,3.6959538846489237e-06,0.0001742104911068787,0.193976140305198,0.0005826483676802077,3.6868183448897086e-06,0.000979571955832409,3.1827177670365027e-07,0.04945020926443837,8.05380493808697e-07,Treat
10,0.09444457049906563,,0.005574016280393599,2.439351642289695e-05,4.610095932645209e-07,0.4926059172734186,4.1305589455385176e-07,0.0001790955507779716,0.3606680669159561,0.011346853688264413,,0.002800220753485059,4.480014793890775e-06,0.03234987269702157,1.6387449125031303e-06,Treat
11,0.22481350574619116,,0.00210079035668774,0.000201350937038398,,0.15182170236304401,1.2051765936261907e-06,0.0007608440832986734,0.3964604341055886,0.0033219262392191564,1.637695255456107e-05,0.005675489393831497,1.5312220059675305e-06,0.21482380624905145,1.0371748950657373e-06,Treat
12,0.011175454673852427,4.83936243127344e-06,0.003097539145229936,1.3297880816813712e-05,1.9982194430505503e-07,0.8417906401160876,1.6533906841587793e-06,0.00014324839813609834,0.06714532988405103,0.0027504306131470205,1.0082168552028338e-05,0.001882837797486281,2.1745918079904893e-06,0.07198069377334951,1.5783824233479527e-06,Treat
13,0.0011626149391535197,9.647226252147085e-08,0.0013888438680387067,8.576305559556875e-06,1.044666839691211e-06,0.9124767721277782,2.289255950876357e-06,0.00013432481465766152,0.024200881250924816,0.00046674042826667017,5.784399592726257e-06,0.0033027118601440856,1.5962424623075934e-06,0.0568470694087047,6.539596639643237e-07,Treat
14,0.027861405922240918,,0.0024388715425558327,1.229245255480269e-05,,0.5920961532172773,1.676225303186663e-06,4.88370969677852e-05,0.33767942950030844,0.002381106465529709,3.6638365824971566e-06,0.0012901433985767791,2.3501123194433377e-07,0.03618579053385974,3.94797011209716e-07,Treat
15,0.0,2.2735635326285228e-05,0.00021566093737825009,,,0.5439399751695323,2.518422736461042e-06,0.0011553642650274955,,,2.803417059281918e-05,0.011990980190874,1.1777729239909073e-08,0.44264460598062494,1.1345017818300982e-07,Treat
