,taxa100883,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa133925,taxa1348911,taxa1350,taxa1357,taxa135858,taxa1485,taxa1578,taxa158846,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa29521,taxa32207,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa570,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa830,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa904,taxa906,taxa946234,condition
0,,1.8408820856034587e-05,0.0016221120653751135,,0.009820241424057562,0.0003818050469257116,,9.214581047274765e-05,,,,0.005075240715673932,,,0.009743249836278457,0.005348932079892655,0.0018117941145270719,0.0044565619462415655,0.05342951755769258,,0.007041424830529516,0.00015510194367653445,,0.007605995905512098,0.07947942295567757,0.00013404876181355568,,,0.04038742736525125,0.0012029808457744587,0.004952277928851026,0.06820051131771256,0.011175374733923887,,0.020832377718898936,,0.006539911594943291,,0.0005143282158506456,,0.002811972812307426,,8.960315565837827e-05,0.00034803859099088584,,0.5861999138955375,,,0.07031315234987583,3.915688414128903e-05,,,,,0.00017696877508011142,Control
1,,,0.0018957636092785445,,0.05491582807554488,0.0012000677614018814,,,,,,,,,0.004659353997867152,0.02047024675433694,0.012009061925819851,0.0033215006786746853,0.04180286543452303,0.0018976829095703489,0.10295732860067554,0.0008823730552058446,0.0008433809545407665,0.011515902766630969,0.1846639623388836,0.020882290222245886,,,,0.004616624312423298,0.0007852968667624769,0.029098208676631338,0.01482568561194516,0.05623650870791594,0.019162092081765024,,0.00024223589998667607,,,,0.0077370025236778535,,,,0.0011821879639466516,0.35201987667788515,,,0.050176671591860594,,,,,,,Control
2,0.0,,0.001396301356003372,3.5548108795037614e-05,0.015269786345738478,0.0002767891206177715,1.3571072873319205e-05,,,0.0004124998493509635,,0.004449286369184024,0.0,,0.03869538238168886,0.017112717786602578,0.007023739148585323,4.496683847577407e-05,0.05026360796289791,,0.05582997592754992,0.0026551702799985782,0.0003516325747474945,0.008145479470562067,0.011359089271631404,5.2258758228602314e-05,,,,0.005509855586567596,0.005938458425372723,0.07353931453726238,0.06628344927654538,0.07392983735069163,0.01594266849626335,0.00029613296329541306,0.00787284269313688,,5.398046150357563e-05,,0.02046781108620943,,8.983240028831442e-05,0.0024215250179183746,,0.4791368554588578,,,0.03397487710836492,0.0,0.0001414834985375143,,,,0.0010132730156534224,Control
3,0.00013830086730524282,,0.0016091547133407975,,0.011408916968521378,,,,,,0.002359859057746945,,,,0.004769470244357331,0.10318289998224002,0.0060358880699722,0.0001733786308877499,0.020613663864365448,,0.0017486616928609115,0.00202908278281849,,0.0014118548568581002,0.02806904550188993,0.0004495783280932784,,,0.08226177801243363,0.012040417222357745,0.0008064870343439449,0.007310849190442406,3.407267007011432e-05,0.010790482930346115,0.005373531445305375,0.0,0.0002906730437839841,0.0034796337399037106,0.2178912072710877,,0.009066747556592543,0.0010351458084132963,2.3921225594947518e-05,0.0002542886586353665,1.2362650202430862e-05,0.021872543488637368,0.01146670984548396,0.4003237205184715,0.03158405853342987,,,,8.161359320629155e-05,,,Control
4,,,,,,,,0.007350499264950071,0.002513899748610025,,,,,,,0.19706598029340192,0.00402589959741004,,,,0.014816598518340145,,,,0.04881839511816048,,,,,,,0.03338249666175033,0.03324099667590033,,,,,,0.024099897590010237,0.0031037996896200316,0.0069651993034800675,0.008777699122230087,,,,0.2693449730655027,0.3310939668906033,,0.015399698460030151,,,,,,,Control
5,,,,,0.007753093539547225,,,0.000595247495900159,,,,,,0.12981530719386453,,0.25966220061226325,0.009427571004049657,,0.004151754487409068,,0.006489338885036841,,,0.006179488211460602,0.09316856192504791,,,,,0.0010662898056479225,,0.07319180327284232,0.01307343644367641,0.0007165997327397837,,,,,,,0.017175671882299536,,,,,0.3267737575533107,,,0.05075987795490403,,,,,,,Control
6,,,0.0010275441630814182,,0.0009661988700565205,4.600948081856213e-05,1.533649360618738e-05,,1.533649360618738e-05,,,0.0010582173774270768,9.201884807048223e-05,,0.006272614982533001,0.05985825141416738,0.0032820078146578277,,0.12088260510869028,,0.015919317613081088,1.533649360618738e-05,0.00024538344343242994,0.0019784104007975803,,6.134597442474952e-05,,,,0.0037114260014985286,0.0005367772762165582,0.044261122364523044,0.007223485762914846,0.062235428365121984,1.533649360618738e-05,,0.009125204610350128,1.533649360618738e-05,1.533649360618738e-05,,0.004248210091713609,0.00013802776105583428,0.0014569691639206418,3.067298721237476e-05,,0.19526421297211613,,0.4313840254142266,0.021793097905471848,,,0.006717376022711847,7.668235446429488e-05,1.533649360618738e-05,,Control
7,,,,,,,,6.850862301620159e-05,,,,,,,,0.17974899291817448,0.006702393170379426,,,,,,,,0.006324176926153887,0.001624039473128151,,,,0.0025492099161975364,,0.07786724549021215,0.004593624786176582,0.04534946542498504,,,,,,,0.008957401115251472,,,,,0.6587114237419471,,,0.007503518414378054,,,,,,,Control
8,,8.118340015015907e-05,0.006115346100144862,,0.07714709445013757,0.0002501979726712099,,0.004647497849042791,,,,0.01856340030728824,,,0.004124036148570861,0.15356756725178478,0.009885539463693997,0.00032261840034858506,0.014719577830203405,,0.12839265529951335,0.0026237548269373375,0.0006376825140827013,0.014104054556856482,0.024250468718303473,2.8202670027350546e-05,,,,0.005881465386560904,0.006923956939357612,0.05341585703180194,0.03934121383083112,2.880701295650806e-05,0.0234763054260527,0.00041739951640478806,0.01418554012847122,,,,0.01696148864973472,,,0.0007273267152410653,,0.35365644595189955,,,0.02030572097204934,0.0,0.00012358812901271113,0.004594114223633879,,,0.0004998923262347885,Control
9,,,,,0.07589884874302147,,,0.011011870641888879,,,,0.0002257759959093521,,,,0.06665095963825288,0.011994412470377556,0.00010641862801413712,0.004271088064774742,,0.008146591710239627,0.0009519502341962068,,0.00300479666168475,0.0034761078144071155,,,,,0.01011197626814445,,0.03298626417356205,,0.08218797902800774,0.00406416852698665,,,,,,0.005397761437520078,,,,,0.6736018312429244,,,0.005911198720087814,,,,,,,Control
