taxa100883,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa133925,taxa1348911,taxa1350,taxa1357,taxa135858,taxa1485,taxa1578,taxa158846,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa2316,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa29521,taxa32207,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa570,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa674963,taxa724,taxa816,taxa830,taxa836,taxa838,taxa841,taxa84108,taxa84111,taxa846,taxa872,taxa904,taxa906,taxa946234,condition
,,32455452.74512799,,2704622.452787676,29750817.776097227,14875429.74845376,,1352309.1403533232,2028465.7965704994,,824908033.2449932,2704622.452787676,,51387939.24915364,28398521.151986986,,,,52740110.71083298,,,18256192.169134494,,,12170794.779422998,,5409228.217251233,,,,,4056931.593140999,18256192.169134494,16903895.545024257,1039248696.138472,,,676156.6562171764,676156.6562171764,,,1352309.1403533232,41921487.39308934,,,676156.6562171764,,6761566.562171764,176476524.30163345,,2704622.452787676,35319669813.5393,2028465.7965704994,4056931.593140999,,,3380774.936923823,2028465.7965704994,1352309.1403533232,,Control
,,,,2100491313.4206703,25353733.152314726,,,,,,,,,,1875375706.4862287,855219965.7866483,,,,1934990991.0639381,,,,,,6223233217.476952,,,,,213998186.98583147,,336868236.1785376,,58534777.78978009,,,,,,,462996001.76825583,,,,,,,5831127253.12919,,,,2253992688.877612,,,,,,,,Control
,,,,2196093104.5849047,,,19968042.94661183,,,,,,,,10144084576.971457,965141808.520545,,,75965083.79370092,262790374.09487388,,362070481.8079938,,,302466898.1983696,3661952374.0686293,71857632.31414701,,,,235968989.1563234,,1704073240.435414,554719974.3734123,,,,,,,,307781084.31437784,,,,,,,9961070746.635237,,,9451692118.58324,1830229377.6743956,,,,,,,,Control
,,66944455.651050895,,655440891.7633,1299807.075940378,,689038269.9322859,,,,22658799.026528213,,,1152055019.5749528,2461909252.91314,123341152.53045048,,25214500.77719477,1839508051.823406,,,3886774456.2714443,,,414620892.26449496,1625593180.5485425,,,,,229978027.6390185,234672263.32881674,10894051967.626507,554148155.8825003,4828168513.501506,758902900.2640812,6903029.4708725475,421774222.4222884,18478338.430936188,,,234997215.0978018,419029697.3464008,,,,,,11661377266.443472,,,,211675338.81293914,,,,48979892.31432088,,,,Control
,,,,,,,263807971.54463476,,,,,,,,6497905401.319551,1111554544.850601,,,,,,,,,,2051511943.933727,,,,,,,3263982787.7379785,,4206678905.3120313,,,,,,,,456993522.26991796,,,,,,47805463262.760635,,,3780841044.59489,2197744904.8505707,,,,,,,,Control
,,,,,,,5414289.498253069,,,,,,,,14205702024.521532,529695319.47776145,,,,,,,,,,499804596.9814885,128349096.46376543,,,,201466032.60215634,,6153908675.348009,363037722.0226581,3584003350.1158037,,,,,,,707910342.5925974,,,,,,,52058473618.74318,,,,593008867.530558,,,,,,,,Control
,,,,,,,,,,,,,,,4333798198.589678,3044662520.02131,,,,,,,,,,12355986342.487597,,,,,,,,,,,,,,,,,,,,,,,379534524.7516752,14238573089.546196,,22161212265.19018,2879507806.0879455,,,,,,,,Control
,,,,6992753088.156999,,,,,,4402184856.139431,,,,,4378417857.075191,5030859420.651992,,,,2062411156.5462422,,65560310.13753119,376084334.08420485,,,6846975689.579192,,,,,,,876959279.6495249,1349262520.6804998,,,,,,436784473.176219,,,,,,,178099962.64941847,,28944433201.11672,,,,4811229608.412493,,,,,,,,Control
2392587222.319706,,,,1544792111.7821255,353474793.07787675,,459431443.9764056,,,,6051429632.104792,143057926.60123408,,78807960.10703269,6003524351.39478,875563015.944421,,46234691.279031776,93875515.74707429,2677167939.2883,488921540.03217196,150701357.00938874,1280381020.8779192,,419311497.0238976,16162855992.454048,6914563.204676628,,,,476440495.441641,7598279.342452489,5102044623.7373085,,,,,,,2123480420.5824733,,1037384435.4210324,,71216130.91682336,4695710.833026665,,286599614.6207058,37520535.598511145,11930266090.486881,,,,279033586.0394691,,,,,,,,Control
,,57145491.74303274,3174749.5412795963,38096994.49535516,104767072.28872779,9524238.983081615,,3174749.5412795963,,,165087361.776826,57145491.74303274,,720667808.4439673,73019191.24564485,3174749.5412795963,,,130164682.98867758,,,1247677871.2251,3174749.5412795963,276202872.6648238,247630560.62738025,,6349499.082559193,,12698998.165118385,,19048497.24767758,9524238.983081615,400018152.9785139,657172817.6183753,82543488.0732695,,,282552275.3398112,,,6349499.082559193,28572697.6677305,539706939.9796727,301601447.440491,,,,,3387453566.815959,,,3212849813.6323905,41271695.832848884,,,,3174749.5412795963,9524238.983081615,3174749.5412795963,,Control
