,taxa102106,taxa1263,taxa1348911,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa239934,taxa283168,taxa292632,taxa33042,taxa375288,taxa397864,taxa40544,taxa572511,taxa816,taxa841,condition
0,0.001583260597603179,0.03902166138621316,0.0022595496833916536,0.4036881173600126,0.009761324668662119,,0.06079904540372926,0.005022486064943012,0.002154932795687158,0.003336359489889807,0.21101094931727632,0.004198682790215564,0.02471453596938709,0.0033945772558508854,,0.010899854061630292,0.19259181116783086,0.02556285198767709,Control
1,0.00021213636756205073,0.07917760050124606,0.0028848575681619435,0.2613234353875643,0.009694073743986868,0.00017584988363696306,0.003359865703887185,0.012509806381232697,0.0035851374502456476,0.008630764830417335,0.06685710776691665,0.008261003917298343,0.017582197095702072,0.013648479530646643,0.001283654892879344,0.024589100722412993,0.4473499537470474,0.03887497450915552,Control
2,,,0.02625768826581906,0.368555555498064,0.013954910684949653,0.004359982538683009,0.0034151673028388085,0.030915706716794642,,0.025449300348622673,0.048475334165005296,0.0019591376896594126,0.057282398857942944,0.05132564752527571,,0.018069289555169326,0.32316544494364313,0.02681443590753228,Control
3,,0.1884117756599822,,,,,,,,,0.28545655688111055,,,,,,0.47702641144735486,0.04910525601155237,Control
4,,0.07246469616008847,0.011875203566560601,0.07442606196592698,0.022782329135456678,,,,,,,0.010814902338045048,0.03562763173934289,,,0.010105091934966772,0.7564708903275382,0.005433192832074368,Control
5,,0.036712456298543174,0.0007066011685160119,0.08859363929645646,0.033618192229237946,,0.00017392479425977188,0.03262091354378487,0.00035672330251238925,0.005840044713377136,0.19662248698004314,0.02047508089974896,0.06940220450944397,0.011795194173975756,0.000763646472755733,0.0017453327750499557,0.47547261083807535,0.025100948004219324,Control
6,0.00485499340844617,0.08383313227123665,,0.05174093165110777,0.021852242896318128,4.002440946641279e-05,0.03853027331356772,0.0499489444728026,0.009861732477714866,0.008143611485985925,0.467693359657608,0.028416896852215778,0.044659756725348165,,0.01634590374574239,0.014887778714693645,0.12432731332951673,0.03486310458822909,Control
7,0.00023935051837138663,0.007768546638024543,,0.037650095170045264,0.0066913517461596045,0.0006840769481351172,0.02540301348885944,0.16691406998980643,0.0008711136253104003,0.01955444360232875,0.35301497598324455,0.006794921395808519,0.03919834975106253,0.1516137409298674,0.0004049914222934317,0.007399998565777836,0.165647957473667,0.01014900275123781,Control
8,,5.285280943574628e-05,,0.00031969980029717136,,,0.00010192226397443448,,,,0.026529128645739995,,7.17044557614582e-05,,,,0.9703116511204155,0.0026130409043756578,Treat
9,3.1773347831050504e-05,3.810871607921436e-05,0.0032725305466274075,0.0007978870941979251,5.136204537468214e-05,2.4236978065619205e-06,7.647813527907993e-05,0.0006670864459637,4.0714159918377874e-05,7.328007669958344e-05,0.0036804713123059383,3.055817976991634e-05,0.00027753140662388747,0.0002044041417562813,1.9896112658670777e-05,0.00010364267271572162,0.9878216532238671,0.0028101986845250407,Treat
10,1.9598686971401847e-05,5.8732759022186065e-05,0.0027346235122215723,0.00014597465015692994,5.632368011135422e-05,1.0115628530748619e-05,0.00030459686681326697,0.0014306873452367378,0.0,5.942451838153658e-05,0.03594959384244279,0.0001393203946204837,0.0007305890873650855,0.00026819002326461947,2.831034063235267e-06,3.928740741990624e-05,0.9572751521850725,0.0007749583783055909,Treat
11,1.085031095189669e-05,1.2595378387403742e-05,,0.0009730883894999264,4.9491652315576405e-06,2.188467261076475e-06,0.0006643123846535703,0.00016040077918892776,2.9904435366249356e-06,2.245653974429005e-06,0.010043347826654673,0.0001407894144649779,,,1.0483744787902791e-05,4.53455757927802e-05,0.978556339936592,0.00937007252902227,Treat
12,,9.125411537468676e-06,,0.00021105710594016217,4.1388711710799864e-05,,2.69589778860976e-06,2.7793456893844047e-05,2.751585243377862e-06,7.521887657108713e-06,0.004451239106424156,2.6105204566033317e-06,0.00039620387986870126,,,2.9063192935660886e-05,0.9786084795917247,0.016210069651818818,Treat
13,7.84964101800211e-06,2.589377887088674e-05,0.0003613758331702939,0.0012629847430580534,4.1461552760345974e-05,1.0094039303267294e-05,0.0004317512869354432,0.0002272342658484841,,8.132602827857835e-05,0.015242868545174065,0.0007106101505482581,0.00017665739154226786,7.954413363813555e-05,2.2594411984586896e-06,3.948194961269918e-05,0.9723645249068749,0.008934082312167987,Treat
14,1.1239984466873719e-05,1.361563852011037e-05,0.0014626636201714462,0.0001602578050727845,8.114666045101484e-05,,0.0001570097062844426,0.00027006302662318675,9.879647443069402e-06,3.97301030798929e-05,0.05215861144209461,2.524201982467731e-05,0.00019946938941451972,0.0004742153201014985,1.0502324072168918e-05,4.98829970843151e-06,0.9429214260718346,0.001999938940836654,Treat
15,,4.880959891356579e-05,,0.0011607715328686538,7.089603601609616e-06,3.5017567730189887e-05,0.00010324235244844003,7.146429766841675e-05,8.077731159029186e-06,1.5395574866604163e-05,0.04277134731998669,0.000495252258412685,0.0005813251964570241,0.0004603509225005404,,0.00018462998866139815,0.9509231306800695,0.0031340953746555947,Treat
