,taxa100883,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa133925,taxa1348911,taxa1350,taxa1357,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa29521,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa674963,taxa724,taxa816,taxa830,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa904,taxa906,taxa946234,condition
0,,1.8408820856034587e-05,0.0016221120653751133,,0.009820241424057564,0.0003818050469257116,,9.214581047274764e-05,,,,0.005075240715673932,,0.009743249836278457,0.005348932079892655,0.0018117941145270717,,0.0044565619462415655,0.05342951755769258,,0.007041424830529515,0.00015510194367653445,,0.0076059959055120975,0.07947942295567757,0.0001340487618135557,,0.04038742736525125,0.0012029808457744587,0.004952277928851026,0.06820051131771256,0.011175374733923887,,0.020832377718898936,,0.0065399115949432915,,0.0005143282158506457,0.002811972812307426,,8.960315565837827e-05,0.00034803859099088584,,,0.5861999138955375,,,0.07031315234987584,3.915688414128903e-05,,,,,0.00017696877508011142,Control
1,,,,,0.02603089023526494,,,0.00038404747172647596,,,,,,,0.06862434907768583,0.01597372972865189,,0.0005324780045076491,0.001110533033474493,0.030796029183131537,0.0236380964511572,0.001088965334400053,,0.021159845746188462,0.16852715200364946,,,,0.016019510221970283,,0.04651389682134845,0.00851242492762104,0.07574036722466644,0.0012429912608090288,,,,0.0871031874007199,0.006216075382770705,,0.00035637570687625043,,,,0.3668085726313631,,,0.023279686055689017,,,,,0.010340796096327856,,Control
2,,,0.0018957636092785445,,0.054915828075544876,0.0012000677614018814,,,,,,,,0.004659353997867153,0.020470246754336934,0.012009061925819851,,0.003321500678674685,0.04180286543452302,0.0018976829095703487,0.10295732860067554,0.0008823730552058444,0.0008433809545407665,0.011515902766630965,0.18466396233888357,0.020882290222245886,,,0.004616624312423298,0.0007852968667624769,0.029098208676631335,0.014825685611945161,0.05623650870791594,0.019162092081765024,,0.000242235899986676,,,0.007737002523677853,,,,,0.0011821879639466514,0.35201987667788515,,,0.050176671591860594,,,,,,,Control
3,,0.00010262370234896493,0.00482583176561109,,0.044933168705712685,0.00026496855827294087,6.848294170490298e-05,0.0006243025818069022,,,0.003372784878966471,0.00017181161551259484,,0.007191313140265151,0.10044745545587486,0.013230803627178867,0.0,0.002038072487179591,0.05202004535987785,0.002489153510556444,0.0026644899833626733,,0.00026436429702260335,0.0016053207217296373,0.19484202596712016,0.00015469088008636907,,0.04695150199204793,0.06783547577516648,3.111945439237502e-05,0.00410625732666766,0.0010628955393434502,,,,0.001603608648187015,,0.0001015158900566797,0.010932697381937423,0.008956863803542584,1.6415763967498805e-05,,0.0024787803590923196,,0.10478393631892105,0.2018907334523057,0.09175475452893805,0.01577575059318313,,0.00022327453199966167,0.0009108231246752095,,0.009271885335385133,,Control
4,,,0.0026097027809891572,,0.04063950276402761,,,0.0004147906767834817,,,,,,0.0013219285338888817,0.1698088085061619,0.007420202712522948,,,0.04146319907125561,0.0016214353564966656,0.037252658595956153,0.0001993559447322687,,0.017151231924106444,0.12357966771136747,0.00232816636773784,,,0.005697355396792419,,0.029595582768290066,0.01650618880931115,,0.011797521197464007,5.653848089929393e-05,0.0005618117451442851,,0.0009740802592110695,0.009302997180537353,,0.00040291549399236606,,,,0.14215749792210575,,0.3038544005906906,0.032341061975528086,,0.0009413972340072025,,,,,Control
5,0.03981249429808792,,,,0.02570523931931245,0.005881797350019589,,0.007644909064564428,,,,0.10069539178173346,0.0023804745064156577,0.0013113592821762253,0.09989825105585996,0.014569311101689913,,0.0007693422274217698,0.001562082418791356,0.04454789874477438,0.0025076606865907136,0.021305456126134346,,0.006977315781282702,0.26894886256916084,0.00011505787776173788,,,0.007927938564245124,0.00012643486940608887,0.08489768757278324,,,,,,,0.035334574784937296,0.01726200889766611,,0.0011850317428799889,7.81363199725235e-05,0.004768998771070243,0.0006243392490112215,0.19851884448403734,,,0.004643100552213416,,,,,,,Control
6,,,,,0.07589884874302147,,,0.011011870641888879,,,,0.0002257759959093522,,,0.06665095963825289,0.01199441247037756,,0.00010641862801413715,0.004271088064774743,,0.00814659171023963,0.000951950234196207,,0.0030047966616847505,0.0034761078144071164,,,,0.010111976268144451,,0.03298626417356206,,0.08218797902800776,0.0040641685269866504,,,,,0.005397761437520081,,,,,,0.6736018312429245,,,0.005911198720087815,,,,,,,Control
7,,,,,0.031276781116426865,,,,,,,,,0.007357878865827026,0.19314469658748296,0.006520152747770771,,,0.02942097739664992,,0.03470988250858576,,,0.002025617136783201,0.2112541132332324,,,,0.013037495344432692,0.0010129591122010034,0.02040320248834866,0.014156638023532403,,,,,,,0.004963027945848789,0.010806737176703404,3.9241752984305204e-05,,,,0.16802596017594354,0.2353993330106343,,0.016445305376611933,,,,,,,Control
8,,,0.0017572022156046056,,0.0015520111847348713,,,0.0005646140199351057,,,,,,0.001120995388047607,0.10921915277467464,0.004412805587698792,,0.000593271985140376,0.039317060889109724,0.003670512183491011,0.03737561400993087,0.023281939354326663,,0.009847293687661109,0.042166183684426414,,,0.09234117443050892,0.013004255134673676,0.00014328982602635114,0.09359441330163104,0.01211127293887746,,0.0056098748470185715,,0.00010389815021692516,,,0.02043312919135768,0.006868636889616604,,,,,0.2066874977073628,,0.22048708953456966,0.05373681108335863,,,,,,,Control
9,,,,,0.03748213377370522,,,,,,,9.145806317569263e-05,,,0.2723737542896854,0.01627337833771556,,0.00017765476898387293,0.016622307080578023,,,,,,0.028830223386039452,,,,0.008376976479269804,,,,,0.01655961856726298,0.001459746810050222,0.001630908840155038,0.0006518485947026414,,0.014457762270828707,,,0.0007540532601609125,,,0.5663224320993846,,,0.01641946496249436,0.0008546907127863075,,,,,0.0006615877030212282,Control
