,taxa1263,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa283168,taxa292632,taxa33042,taxa375288,taxa397864,taxa572511,taxa816,taxa841,condition
0,0.08601818743322866,0.35814291339082066,0.010497548923801907,0.0001022522150547878,0.019859062795026763,0.00693943070626252,0.006026797328602638,0.1830638232439735,0.05040632959331835,,0.024929219463540875,0.07675944350979305,0.12187234419286373,0.05538264720371256,Control
1,0.007695321896300742,0.28954325353179,0.0133595431175971,0.00016347624009375945,0.0021112430399961224,0.0054019263718617545,0.003019050360256478,0.09231088381780259,,0.07575273834522561,0.012400198819259458,0.007390118966494462,0.43231604933601814,0.05853619615730361,Control
2,0.0008180716638100782,0.05308891471702073,0.03566194386154846,0.0005236146867206615,0.03586119816832503,0.10157758758264246,0.03329438771104403,0.031788232644812564,0.010534541634233171,0.16456727487543554,0.04497807439783548,0.015125324245953654,0.4649185788316252,0.007262254978992861,Control
3,,0.1860951835103674,0.015960844613104475,,,,,0.0019502368730900553,0.001328281948410564,0.08541391563126742,0.0007929083672715368,0.006325277375905684,0.6907139773217896,0.011419374358793088,Control
4,,,,,,,,,,,,,,1.0,Control
5,0.053424587459449335,0.29148768476639636,0.01237657176067035,1.8117254873541566e-05,0.08715181122815097,0.047678457328772995,0.009651168243223082,0.07004272830227824,0.00889486166232563,0.027967002439790327,0.03753101839813155,0.023364509221327497,0.3004302670412321,0.02998121489337818,Control
6,0.03677965165343651,0.08875579355236915,0.03367972410657533,,0.00017424313139799,0.03268062008710887,0.005850733834091838,0.19698236804289532,0.02051255674490463,0.0695292323967765,0.01181678309333628,0.0017485272835914914,0.476342875430766,0.02514689064275015,Control
7,0.005876408197117938,0.014844710623859888,0.0008889384056992949,0.00045242301760183733,0.46827068267400207,0.0023511712513291606,0.00161944980735497,0.009213822964491367,0.4764588684919624,5.359905009093461e-06,1.661765397746241e-07,0.002730062063160753,0.01724885811815818,3.9078303713326645e-05,Treat
8,0.019296931308091746,0.056539401303972926,0.02720757279325225,,,0.03011657845388525,0.007075835924442775,0.25901110269751476,0.2392772236806844,0.0001528163702799479,6.864783260111023e-05,,0.36096534420176163,0.0002885454335129999,Treat
9,0.03362748095871371,0.061162325834156046,0.008671170787319287,0.0009243114407970572,0.25965000218885104,0.006758965704499651,0.021290361858188316,0.18808977598248938,0.1110040161307091,0.00021183530405418017,0.0004173695076213743,0.015021689960033268,0.2930754429004512,9.525144211664196e-05,Treat
10,0.0030456271737699923,0.003843122059049277,0.0015333609238014322,3.6466669038294545e-05,0.8541511313948003,8.367436565426157e-05,0.00034031449179291106,0.027866275432126414,0.10636056515861471,4.224608612756653e-06,5.090400887183621e-06,0.0008673819975018782,0.0017908814620366123,7.188386231412583e-05,Treat
11,0.057792214923290036,0.15744741671777007,0.01489096383491376,2.5816669939937637e-05,0.1934253103474237,0.014041869553216606,0.006924807662650527,0.09255870185342364,,0.0003200504689258763,3.615132229856005e-05,0.007393048946207182,0.4546921011603024,0.00045154653963768457,Treat
12,0.1574047349933914,0.045712491944366,0.014160525739024004,0.0005282053495613979,0.1697255868088523,0.020916993066085375,0.009060765077755906,0.0734618694204981,0.19375566136758723,4.765007112571179e-05,0.00013977890584758573,0.01214696286560906,0.30292829344093997,1.0480949355802279e-05,Treat
13,0.07073126692430702,0.06863970175359407,0.009288179674577087,,0.08208352643746998,0.004917254588703811,0.0025607147913975746,0.002423120694388404,0.08335022582217547,0.0001087757163036684,,0.006087767957378468,0.6697835902205899,2.5875419114538118e-05,Treat
