,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa375288,taxa397864,taxa39948,taxa40544,taxa572511,taxa577309,taxa816,taxa830,taxa838,taxa841,condition
0,0.0015587893527468112,0.01008213188908692,0.0003954993500142509,0.00013967608196825627,0.005009836682725137,0.01031153862401947,0.005275820155814765,0.0019751438604822024,0.00430985202998223,0.05198484953003704,,0.008479172381782002,0.00016962194946527903,0.008368907419676896,0.07924425186399654,0.00015871309773422078,0.0012195454538162529,0.06559567410554097,0.011424027601533868,,0.0218833704715565,0.0038019487273273683,,0.6370256053209528,,0.0,0.07158602404974006,Control
1,,0.03563830282575328,0.003443187407771765,0.006069498038794689,0.16404187322704414,0.00015506742450900282,0.06481964831921874,0.00918968062911754,0.0009795824752046457,0.004415654778478023,,0.007163131453752918,,0.022563461238846425,0.19933697689463975,,0.0090835818649798,0.0638083617754404,0.04509228866020804,0.019560991774416028,0.00040451461751133945,0.015919941681255247,,0.31060046982709144,,,0.017713785085966677,Control
2,,0.13723490700018778,,,,0.0007895743167424759,0.04082923685930607,0.0343850643756793,,0.0034665097424862743,0.011501829130966304,0.01390467560526876,0.005880473881084142,0.0026093488328984235,0.24090217314011927,,0.008097622338887982,0.031066386545556778,0.033446557387731946,,,0.014833495915414172,,0.3980982409653566,,0.00422074970042848,0.018733154261885064,Control
3,0.005351822250294298,0.026435795763713847,0.0010994782644095649,0.0002829139021650418,0.005388934139350107,0.026899745778419817,0.07947752628390431,0.007107492170779249,0.0004754639525847815,0.12456333133587072,,0.04206092908637623,0.0007068735433455041,0.004109447792567362,0.09732289635985826,0.0006178461308182781,0.03676914379787858,0.06709017397457333,0.018220292678132702,0.13885397869777572,0.0004863610723629407,0.007451882276975794,,0.2808033562306493,9.581241163438189e-05,,0.02832850210555999,Control
4,,,,,,,0.1812564372928082,0.005708170217890614,,,,,,0.003449049142633343,0.0018037919774660492,0.001088653257976996,0.00243721802377798,0.09849647662492836,0.003682062713152144,0.047313471719824564,,0.02641010653315237,,0.6203357168234066,,,0.008018845672982826,Control
5,0.010357281332245113,0.08599161139275305,0.0006895594565536409,9.006796124492086e-05,0.0010629728901847188,0.004382239025411239,0.11136481381307041,0.0171489184525961,0.00010353007644878802,0.030425555624765545,0.0037463143453047515,0.014952349988498436,0.001185520875413573,0.002333219617635329,0.5503878958916937,0.0,0.07219027225418526,0.0153909371544657,0.00014177957837723602,,0.0006219283539818319,0.028288177730691234,0.002385785972240905,0.03655712173139041,7.147742120148526e-05,0.0016543443794974552,0.008476324680149222,Control
6,0.004536414008365269,0.061726589617315426,0.005358956190418973,0.0017420032763666637,0.0013324067005777995,0.012884735098793357,0.023085070042435256,0.008666478985645652,0.0031286033791920478,0.11215598606722132,0.0063322047438915206,0.04566524836917439,0.0014922467914765753,0.003837785953922617,0.06650149518987887,0.0011741903820310104,0.13135810898719436,0.01747148605007024,0.006919807363767023,,0.002374259635921822,0.012621683977771369,,0.3855180615243284,5.662906077556644e-05,0.00031968018179755246,0.08373986842166689,Control
7,,0.3650640705381168,,0.013250216899162904,,,0.10162710687109255,0.04333570444138176,0.0013383701772124485,0.018838644189853558,,,,,0.017495652112670474,,0.0263303038613113,0.031445756721673136,0.06810259561500541,0.05121934524844472,0.0005829096224876122,0.03890297223382588,,0.19370602867426737,,,0.028760322793493946,Control
8,,0.005651891510300562,,,,,0.2920794919903811,0.025320676491053462,,0.0002987242377468815,,0.0016373174322349253,,,0.09185131392855402,,,0.09413104518764656,0.009401977703936554,,,0.022477974210864112,,0.4026556801726671,,,0.05449390713461493,Control
9,0.002218303241569114,0.03596172214312748,,,,0.0016400676581973773,0.12812629530177153,0.004005221112035075,,0.039356886693115496,0.005344070768208885,0.05288378906501417,0.010988432713819727,0.0008271394845310396,0.10857235539605016,,0.054778218591587005,0.03429384974628175,,,0.01438555389356449,0.010017944354479525,,0.2179860615874961,0.23967890675886855,,0.038935181490282494,Control
10,0.0018965860729238482,0.03808229814864877,,,,0.0012976804284417001,0.13037612119599326,0.00443897196830943,7.874099335473427e-05,0.03637730828861295,0.004651181006682987,0.04931381449920573,0.009379969301319005,,0.10584273630311242,,0.05493616877863958,0.03469818752456147,,,0.013709796358682544,0.01591371965959568,,0.21564725766454418,0.24254699492316417,,0.04081246688420755,Control
11,,,0.0007501139803584117,0.003556700607484504,,,0.09284028784661323,0.011616138797271042,7.639764563814625e-05,0.006917683590525049,,0.007177271289682621,,0.0010737771242447518,0.030522399707553095,,0.0029492161026521482,0.0483173007808168,0.0007428233448203628,0.04998634289399211,0.0010020003039476226,0.006616303093283169,0.010204322628079007,0.6183167462817759,,0.06632065241946414,0.04101352156179789,Control
