,taxa102106,taxa1263,taxa1348911,taxa1678,taxa1730,taxa189330,taxa216851,taxa239759,taxa283168,taxa292632,taxa33042,taxa375288,taxa397864,taxa572511,taxa816,taxa841,condition
0,0.00158343734171646,0.039026017490919426,0.002259801923677182,0.002043540368021132,0.40373318227128047,0.009762414354513976,0.06080583258291157,0.005023046740075937,0.0033367319376728945,0.21103450510031427,0.004199151501726372,0.024717294926915417,0.003394956202657215,0.01090107084492164,0.19261331076741767,0.025565705645258376,Control
1,,,,,,,,,,,,,,,0.874337,0.12566300000000002,Control
2,0.0002670616787272529,0.08578191503230685,,0.0025816822794701723,0.3571591762470257,0.010468714543980243,0.019804514465346132,0.006920369668092284,0.006010243086794142,0.18256098854900446,0.050267874867985826,,0.02486074456641136,0.07654860277305281,0.12153758857631727,0.05523052366548543,Control
3,,0.032537524133021176,0.0018783207809784522,,0.0691509690745684,0.008209516298025275,0.013297907613678436,0.045632231921329786,,0.26503341055332286,0.0028516114415372803,0.023222819802759892,0.050880749566436054,0.0696998519561512,0.38909359615141964,0.028511490706771576,Control
4,0.003611444044923869,0.011517512318551073,0.0014249567186043412,0.006501975407289032,0.07728436986727037,0.005147378701114218,0.06629111732587561,0.05543858480933989,0.021356372353176188,0.02561970080348027,0.046268255870732904,0.07034225595951528,0.035161139965374885,0.006865761086695964,0.5424313046566342,0.024737870111421846,Control
5,0.0016101979720454164,0.010414638958814506,0.00014428257643165103,0.01065161149054949,0.005449815846380816,0.002040283783721081,0.05369930141160505,0.008758814107698437,0.008644912625078964,0.08185771440048377,0.0012597658645100436,0.06775900876765224,0.011800790173583212,0.003927336377924015,0.6580346061649095,0.07394691947861182,Control
6,,,,,0.45040643819383913,0.021136871783620514,0.005282981230402238,0.007066258136083897,,0.023994419939650954,,0.0159623204205528,0.02583344931719266,,0.4155644857556446,0.03475277522301323,Control
7,0.0002563496399690797,0.001282473123494655,3.53264135120352e-05,0.0005282554284115509,0.014532342368744568,0.00023864248853641869,0.006639052807794085,0.00113227132016754,0.0004504746860445939,0.002445274424890722,0.002196934597046216,0.9599048579488277,0.00021514783190395526,0.00037920637252669616,0.0066147025035756144,0.0031486880445546145,Treat
8,,0.0028252337627356168,6.781442153882285e-05,,0.00282205508453623,0.0004912303381609936,0.0005972261361743924,0.00018389500366670323,5.5303021964248334e-05,0.010468247579810385,0.0006357057463519189,0.9711116185345552,5.717634955510936e-05,0.0016784350913550646,0.007253165709509252,0.0017528932200861487,Treat
9,4.465228236903546e-05,0.0005711785820367578,,0.00016000439763160052,0.0002697748379084898,3.7210261915062206e-06,0.0031926484865011737,7.442052383012439e-05,2.9768241461088947e-05,,0.005040142516525317,0.9604231353340205,0.0001376781766244849,0.02649184310479727,0.0034159122930242903,0.0001451201970784581,Treat
10,4.6068317986540636e-05,0.0009073247752203972,2.5130615553637147e-05,0.00013935198369134636,0.0029607124504578484,0.00023959406541217238,0.002830741160070967,0.0038930743550187564,0.0003254584240002951,0.007060747701753883,0.0009999119062542767,0.9708980711307862,0.0003861401086898026,0.00028532624477642523,0.0036702872207209766,0.005332059539606615,Treat
11,,,,,0.1917514841880986,0.06591693951453467,,,,0.6786444747239992,0.038662139904818524,,,,0.009735406313382015,0.01528955535516685,Treat
12,,0.002338955605267871,7.784913997753352e-05,,0.000882924603732992,7.439107431516176e-05,9.918698245587537e-05,0.00012014391319463577,0.00012081054190579518,0.002176124005307886,0.0014085965163589125,0.9767890592671309,,0.000137191518778004,0.014196411136488254,0.001578355695086122,Treat
13,0.0002560559257055458,0.012129646227810738,0.0006710669328195951,0.000767477366801287,0.016717940581050052,0.00766407230812494,0.007813287237530027,,0.0016111587721593643,0.0039103977248547295,0.003335199630878504,0.9223663061763987,0.00012237522839584223,0.0036331979832415814,0.012753259345150902,0.00624855855907797,Treat
