,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa459786,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa830,taxa838,taxa841,condition
0,0.012596214810505374,0.032720764980683006,0.00019345295119716562,0.0006443714226989441,0.02324146150710844,0.0039900079427840855,0.05487531919192622,0.01126675648747792,7.261289726984214e-05,0.0039834760479772035,,0.17293409231047924,0.0010027547177698891,0.004075140305100452,0.1605496197566303,0.0003734066531267744,0.004351548320345024,0.001752398511773087,0.03461359923080407,0.016231976324929544,,0.005764179437246781,0.01118782942522809,0.013285003117891122,0.019603413829501867,0.014878349991116622,0.00011343723981285687,0.0008232364754940725,,0.38850295067461404,4.9751265445753924e-05,0.0035164455692851143,0.0028064286037770034,Control
1,0.0018209181774976142,0.005493149221343336,0.006673118118468469,,0.0002028359370426725,0.017769431007331155,0.0681191029698374,0.005169553241056286,0.0004428209382359455,0.08049823547062235,,0.0341943319738618,0.00013437113286429313,0.007207532479334682,0.19333478245385227,0.004475387670440519,0.0850164008512969,0.0006587562698000419,0.03689157917703874,0.002694484049645068,0.12303913321306455,,0.002537803010486475,0.0001045904781319936,0.01049005653616804,,6.846480417837938e-05,0.0004917389896518878,0.002000523157068699,0.21171077683093717,,,0.09876012184074329,Control
2,0.007202701602406301,0.0762997632381925,,0.004372800462633046,0.01664105804457455,0.004238057970563963,0.15866777658521353,0.008327580099985313,0.00029768929493031635,0.016343162878762536,,0.14737987614190148,0.002747964528858826,0.013939723270419537,0.025279194369596084,,0.005868246547262241,0.007874149483053072,0.04826179611844864,0.04089151561834297,,,0.016364779321340464,,0.014024439138236844,,,0.0005865261419477671,,0.36348562871989376,,,0.02090557042343626,Control
3,,,,,0.022129945704142753,0.001166492181051464,0.1386438354680234,0.00639704793612743,1.7053979255138364e-05,0.03310357944967411,,0.01932155659092159,0.0001988293346099072,0.001395416773170439,0.15008103649671942,,0.04391680547268214,,0.02183009662182741,0.01570821965685789,0.07305322807751093,,7.915052724884807e-05,,0.02617645371128697,,0.0001988293346099072,0.0024106301264763224,,0.38459030523412696,,,0.05958148732367689,Control
4,0.008239929738482959,0.008103018590747458,,,0.002960825687266747,0.04985519657356477,0.02691162364479247,0.01716706690963627,,0.0625866772473909,0.0347451463881625,0.00044827584763143004,0.024835765936925127,0.005434437494059857,0.3624349305695797,9.99269946774919e-05,0.01878278592832527,,0.00849881880988903,,,,0.0003976145360840425,0.012781862859690081,0.008162332798482,0.0003108064485290146,,,0.0005935607658706327,0.021130372489037687,0.23127935442695427,0.08186379476111795,0.012375874553102333,Control
5,0.0009711591269659391,0.015171873655635135,0.00012584260266625501,,0.10542936450691812,0.0,0.004998423952068845,0.00023128101336665556,0.00010513687091765389,,,0.030464865790673493,5.578485980812421e-05,0.01414995533190685,0.06172408788236249,3.005346501374619e-05,0.004324482537630154,0.005614871781263846,0.06648389335301784,,0.054847372623564976,,0.010291351758620216,0.015202731226736205,0.06490764439534037,,0.00046607999086535477,,,0.5411704326975267,5.2367408936995874e-05,0.0,0.0031809431681940658,Control
6,,0.038084301236212564,,,,,0.18754591697607192,0.011591461129616594,,0.01759140735977456,0.0070616262743589744,,,,0.21343225521142245,,0.0016521606972083025,,0.00566843869387567,,,,,,0.014577882049816113,,,,,0.0018722878464245527,0.36732702982525356,0.12059258755293997,0.013002645147024856,Control
7,0.0009971046198440179,0.014552637914292225,0.002285342784250553,0.00026013181088902073,0.00031718711878975697,0.003568329840673305,0.21100365638688226,0.013470202789711708,,0.06272488879769017,,0.025394459192428068,,0.0029094167715541827,0.11928699647933408,0.0018252649385943514,0.11326639921023336,0.000136326841886715,0.004384271235076755,0.0077858783972649,0.0804254649654154,,6.220543303867887e-05,0.0010147766178663698,0.014120734282625941,,0.0016631874710179237,,0.00288114157471842,0.21885709230801545,0.025602887786245976,0.0009272244905213463,0.07027678994113913,Control
8,,,,,,,0.1812564372928082,0.005708170217890613,,,,,,0.003449049142633343,0.0018037919774660492,0.001088653257976996,0.00243721802377798,,0.09849647662492833,0.003682062713152144,0.047313471719824564,,,,0.02641010653315237,,,,,0.6203357168234066,,,0.008018845672982824,Control
9,0.0017803066081278425,0.03963954125829184,0.001015778934872472,0.0008445473298486603,0.0006290695617673821,0.0008679779221060419,0.15658643885436538,0.0074550077713207655,0.0010852339047782826,0.057186544438471716,,0.020872996671286892,0.002193479998380779,0.013016112402408709,0.09862417445080104,0.0008828312439834893,0.31615086414430066,0.0030836333024446996,0.02147487000989838,0.004644068906443005,,,0.001162115535622816,3.566889267753197e-05,0.013218515063203502,,0.00043545337306910743,0.00023828075518890862,0.0001824238968610433,0.19242792294807895,6.966417162239383e-05,1.663153646840934e-05,0.0441798461133093,Control
