,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa459786,taxa561,taxa572511,taxa577309,taxa61170,taxa816,taxa838,taxa841,condition
0,0.005951562705919327,0.03794592621878897,0.003328872803949596,2.6864551970236108e-05,0.002935535212838215,0.05154020052107095,0.130591121519013,0.031863893028395325,0.00036404002311365237,0.07133106251837434,0.06966961669860001,0.0024958689415366525,0.004955850896667782,0.0730308283405817,0.0007031416319455006,0.019345620064272175,,,,0.02734993866772098,,0.00239124925235445,4.1462648135194586e-05,0.06588718915685857,,0.0016172460286082136,0.39082651581967304,2.7067303305860533e-05,0.005779325446306377,Control
1,0.0013991313084680606,0.044091968181576714,0.00027955383292090064,0.0007355576863211104,0.00017267792978022648,0.0015056928707171443,0.17519789592780807,0.007027404972390916,,0.03990054673311274,0.03334852996910344,,0.020164444294026508,0.11453429506278383,0.002558106175761195,0.005137587532150525,,0.02285698359109112,0.017654013153489828,,0.00994606015080609,2.8185899945922876e-05,0.0018091366113989014,0.012868801760811939,,,0.15917803628939856,0.29855154860564137,0.031053841460494842,Control
2,,0.08329193046258156,0.0011640641138781747,,,,0.1733048707967664,0.0018839485281127847,0.0014217792979717106,0.012442893347148213,0.009759825618789316,,0.006602764081254463,0.2187678505664276,,0.08028474799093328,,0.039279735582199826,0.06790400948230173,,,,,0.0005682872471207654,0.019208472785882943,,0.2570087412947854,,0.027106078803845798,Control
3,0.004532641559618078,0.06167525823635221,0.00535449972160252,0.0017405546391687763,0.001331298680899905,0.012874020247218586,0.023065872666843044,0.00865927200503681,0.0031260016554788845,0.11206271796859782,0.045627273482252075,0.0014910058499468509,0.0038345944791614594,0.06644619303232606,0.0011732139338877215,0.1312488725434376,0.0029338460457366856,0.017456956889914305,0.00691405290251809,,0.0023722852189544726,0.002864386102373411,8.700238161414566e-05,0.01261118787758704,,0.0013298790616194872,0.3851974675208854,0.0003194143380938914,0.08367023095887474,Control
4,,0.02553143879369152,,,,,0.10679035628432372,0.012027939258116436,,0.00023781696833366855,,,,0.005262656031227374,,,,,0.003889681439935255,,,,0.22681354292219197,,0.11866570837379166,,0.4758725801064557,,0.02490827982193274,Control
5,,0.01963755675521915,4.6662021108318044e-05,,0.0009636721750630899,0.007082803625073116,0.15994075097878124,0.0007901577945115641,0.0005301531688851238,0.0875734019218773,0.02333229189112309,,0.007218838899425512,0.1644777516124024,7.666666168368958e-05,0.004106684969853345,0.0014136350056133235,0.059796792770867704,0.026741288884038785,,0.007307357928026875,0.001932790032223489,0.00010442896257193372,0.005432121281106324,1.4735375086837275e-05,0.00020042245679705484,0.36532198182679787,,0.05595705300186285,Control
6,2.5343066307042364e-05,0.09393448734943154,0.0002779495646195134,,0.07686376875914888,0.0013559570680215106,0.1063141631580427,0.03391324656320719,0.0011872093338307168,0.009250013160880977,0.02644075074404048,,0.0013215481893769899,0.0739039870721516,0.0004039437519915167,0.0144594555753046,0.0003356410976761953,0.06704971784204408,0.06898578387906946,0.03683006866219618,,9.807560619635907e-05,,0.039071796803827254,0.018278635063656935,7.005400442597077e-05,0.3029454515222683,,0.026682952162283797,Control
7,,0.13862790916182002,,,,0.0007975888864611705,0.04124367380137891,0.03473408978073255,,0.0035016965303827094,0.01404581493780686,0.0059401635985680545,0.0026358350137407017,0.2433474493111859,,0.008179817209484115,,0.03138172572971934,0.033786056482814256,,,,0.0014680839353055674,0.014984063233353963,,,0.40213913495019377,0.00426359239683077,0.018923305040221373,Control
8,,,,,,,0.09597667661492605,0.06742736433384586,,,,,,0.27363676182183355,,,,,,,,,,,,,0.008405205013501834,0.4907841587231854,0.06376983349270715,Control
9,,0.008020743562224217,2.1593447733110683e-05,,0.003968916435699958,,0.18356467690854758,0.0013950182082673773,,0.002709773978734324,0.015806505596522556,,0.0018327948042905365,0.009808619920994462,,0.004480640404620468,,0.024768397541076695,,,,,0.1835860666445096,0.011980798535882757,,,0.4897485616166485,,0.05830689239424787,Control
